Struthio camelus,1,4个亚种;-----------------------------------------------------;2017-12-23 厦门中山动物园;2018-5-26 北京动物园
Struthio molybdophanes,0,
Rhea americana,1,5个亚种;-----------------------------------------------------;2018-5-26 北京动物园
Rhea pennata,0,
Apteryx australis,0,
Apteryx haastii,0,
Apteryx mantelli,1,单型种(全);-----------------------------------------------------;2019-1-14 新西兰奥克兰动物园
Apteryx owenii,0,
Apteryx rowi,0,
Casuarius bennetti,0,
Casuarius casuarius,1,单型种(全);-----------------------------------------------------;2018-5-26 北京动物园;2019-8-19 新加坡裕廊飞禽公园
Casuarius unappendiculatus,0,
Dromaius novaehollandiae,1,4个亚种(全，仅剩指名亚种);-----------------------------------------------------;2018-5-26 北京动物园;2019-8-19 新加坡裕廊飞禽公园
Tinamus guttatus,0,
Tinamus major,2,3-19 Tirimbina Rainforest 12.39%;3-20 Estacion Biologica La Selva 43.98%;3-26 PN Carara-Entrada principal 44.19%
Tinamus osgoodi,0,
Tinamus solitarius,0,
Tinamus tao,0,
Nothocercus bonapartei,2,3-24 Curi-Cancha Refugio de Vida Silvestre 2.52%;3-24 Reserva Bosque Nuboso Monteverde 7.07%
Nothocercus julius,0,
Nothocercus nigrocapillus,0,
Crypturellus atrocapillus,0,
Crypturellus bartletti,0,
Crypturellus berlepschi,0,
Crypturellus boucardi,2,3-20 Estacion Biologica La Selva 11.66%
Crypturellus brevirostris,0,
Crypturellus casiquiare,0,
Crypturellus cinereus,0,
Crypturellus cinnamomeus,0,
Crypturellus duidae,0,
Crypturellus erythropus,0,
Crypturellus kerriae,0,
Crypturellus noctivagus,0,
Crypturellus obsoletus,0,
Crypturellus parvirostris,0,
Crypturellus ptaritepui,0,
Crypturellus soui,2,3-20 Estacion Biologica La Selva 11.95%
Crypturellus strigulosus,0,
Crypturellus tataupa,0,
Crypturellus transfasciatus,0,
Crypturellus undulatus,0,
Crypturellus variegatus,0,
Rhynchotus maculicollis,0,
Rhynchotus rufescens,0,
Nothoprocta cinerascens,0,
Nothoprocta curvirostris,0,
Nothoprocta ornata,0,
Nothoprocta pentlandii,0,
Nothoprocta perdicaria,0,
Nothoprocta taczanowskii,0,
Nothura boraquira,0,
Nothura darwinii,0,
Nothura maculosa,0,
Nothura minor,0,
Taoniscus nanus,0,
Eudromia elegans,1,10个亚种;-----------------------------------------------------;2022-7-3 多伦多动物园
Eudromia formosa,0,
Tinamotis ingoufi,0,
Tinamotis pentlandii,0,
Anhima cornuta,0,
Chauna chavaria,0,
Chauna torquata,0,
Anseranas semipalmata,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园
Dendrocygna arborea,0,
Dendrocygna arcuata,0,
Dendrocygna autumnalis,1,2个亚种;-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园;;3-19 La Paz Waterfall Gardens 2.18%;3-25 Tarcoles--Tour en Bote 11.32%
Dendrocygna bicolor,0,
Dendrocygna eytoni,0,
Dendrocygna guttata,0,
Dendrocygna javanica,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园
Dendrocygna viduata,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园;2023-1-11 阿联酋迪拜
Thalassornis leuconotus,0,
Cereopsis novaehollandiae,1,2个亚种;-----------------------------------------------------;2018-5-26 北京动物园
Branta bernicla,1,3个亚种;-----------------------------------------------------;2022-11-8 多伦多安省游乐宫(hrota)
Branta canadensis,1,7个亚种;-----------------------------------------------------;2019-1-29 新西兰库克雪山附近(引进种);2022-6-9 多伦多Thompson公园(canadensis)
Branta hutchinsii,1,4个亚种;-----------------------------------------------------;2022-10-10 加拿大马卡姆Reesor Pond(huchinsii)
Branta leucopsis,0,
Branta ruficollis,0,
Branta sandvicensis,1,单型种(全);-----------------------------------------------------;2019-5-7 香港动植物公园;2019-8-19 新加坡裕廊飞禽公园
Anser albifrons,1,5个亚种;-----------------------------------------------------;2018-4-8 湖南长沙动物园
Anser anser,1,2个亚种;-----------------------------------------------------;2021-5-17 内蒙古阿拉善月亮湖(rubrirostris)
Anser brachyrhynchus,0,
Anser caerulescens,1,2个亚种;-----------------------------------------------------;2022-12-8 多伦多Centennial Park(atlanticus)
Anser canagicus,0,
Anser cygnoides,1,单型种(全);-----------------------------------------------------;2020-1-31 闽江口湿地公园
Anser erythropus,0,
Anser fabalis,1,3个亚种;-----------------------------------------------------;2021-12-5 石狮湿地公园(middendorffii)
Anser indicus,1,单型种(全);-----------------------------------------------------;2020-7-26 拉萨宗角禄康公园
Anser rossii,0,
Anser serrirostris,1,2个亚种;-----------------------------------------------------;2021-12-5 石狮湿地公园(serrirostris)
Coscoroba coscoroba,0,
Cygnus atratus,1,单型种(全);-----------------------------------------------------;2019-1-14 新西兰奥克兰Western Springs Park
Cygnus buccinator,1,单型种(全);-----------------------------------------------------;2022-6-9 多伦多Thompson公园
Cygnus columbianus,1,2个亚种(全);-----------------------------------------------------;2020-1-31 闽江口湿地公园(bewickii);2022-10-22 多伦多Thompson公园(columbianus)
Cygnus cygnus,1,单型种(全);-----------------------------------------------------;2018-3-18 福州动物园
Cygnus melancoryphus,1,单型种(全);-----------------------------------------------------;2018-3-18 福州动物园
Cygnus olor,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园;2022-6-9 多伦多Thompson公园
Stictonetta naevosa,0,
Hymenolaimus malacorhynchos,0,
Tachyeres brachypterus,0,
Tachyeres leucocephalus,0,
Tachyeres patachonicus,0,
Tachyeres pteneres,0,
Merganetta armata,0,
Plectropterus gambensis,0,
Sarkidiornis melanotos,0,
Sarkidiornis sylvicola,0,
Cyanochen cyanoptera,0,
Alopochen aegyptiaca,1,单型种(全);-----------------------------------------------------;2023-1-9 阿联酋迪拜
Alopochen kervazoi,0,
Alopochen mauritiana,0,
Neochen jubata,0,
Chloephaga hybrida,0,
Chloephaga melanoptera,0,
Chloephaga picta,0,
Chloephaga poliocephala,0,
Chloephaga rubidiceps,0,
Radjah radjah,0,
Tadorna cana,1,单型种(全);-----------------------------------------------------;2022-7-3 多伦多动物园
Tadorna cristata,0,
Tadorna ferruginea,1,单型种(全);-----------------------------------------------------;2020-7-29 西藏日喀则贡觉林卡;2021-5-4 泉州淗江;2021-5-17 内蒙古阿拉善月亮湖
Tadorna tadorna,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园;2020-1-31 闽江口湿地公园;2021-5-17 内蒙古阿拉善月亮湖
Tadorna tadornoides,0,
Tadorna variegata,1,单型种(全);-----------------------------------------------------;2019-1-13 新西兰基督城植物园
