乌林鸮	Strix nebulosa
长尾林鸮/四川林鸮	Strix uralensis
猎隼	Falco cherrug
猛鸮	Surnia ulula
Helmeted Hornbill	Rhinoplax vigil
Black-browed Babbler	Malacocincla perspicillata
Orange-breasted Falcon	Falco deiroleucus
Tricolored Parrotfinch	Erythrura tricolor
Maroon-fronted Parrot	Rhynchopsitta terrisi
棕噪鹛	Pterorhinus berthemyi
Javan Oriole	Oriolus cruentus
Large-billed Seed Finch	Sporophila crassirostris
海南孔雀雉	Polyplectron katsumatae
Omani Owl	Strix butleri
Yellow-headed/Tres Marias Amazon	Amazona oratrix
Orange-bellied Parrot	Neophema chrysogaster
Jonquil Parrot	Aprosmictus jonquillaceus
Marigold Lorikeet	Trichoglossus capistratus
Fawn-breasted Whistler	Pachycephala orpheus
Greater Green Leafbird	Chloropsis sonnerati
棕颈鸭	Anas luzonica
Grey-cheeked Bulbul	Alophoixus tephrogenys
Desert Owl	Strix hadorami
Great Green Macaw	Ara ambiguus
Javan Kingfisher	Halcyon cyanoventris
Azure-rumped Parrot	Tanygnathus sumatranus
Ruby-throated Bulbul	Rubigula dispar
Mexican Parrotlet	Forpus cyanopygius
White-cheeked Laughingthrush	Pterorhinus vassali
Marsh Seedeater	Sporophila palustris
Green Racket-tail	Prioniturus luconensis
Citron-crested Cockatoo	Cacatua citrinocristata
Rose-bellied Bunting	Passerina rositae
Yellow-naped Amazon	Amazona auropalliata
Philippine Eagle-Owl	Ketupa philippensis
Great-billed Seed Finch	Sporophila maximiliani
矛隼	Falco rusticolus
White-crowned Shama	Copsychus stricklandii
Blue-eyed Ground Dove	Columbina cyanopis
Chestnut-eared Laughingthrush	Ianthocincla konkakinhensis
Philippine Eagle	Pithecophaga jefferyi
Sunda Forktail	Enicurus velatus
阿尔泰雪鸡	Tetraogallus altaicus
Javan Leafbird	Chloropsis cochinchinensis
Black-lored Parrot	Tanygnathus gramineus
大紫胸鹦鹉	Psittacula derbiana
Straw-headed Bulbul	Pycnonotus zeylanicus
Timor Sparrow	Padda fuscata
Iris Lorikeet	Saudareos iris
银鸽	Columba argentina
Red Siskin	Spinus cucullatus
Javan/Sumatran Blue Robin	Myiomela diana
Finn's Weaver	Ploceus megarhynchus
Santa Marta Sabrewing	Campylopterus phainopeplus
Night Parrot	Pezoporus occidentalis
Chestnut-capped Thrush	Geokichla interpres
Mindanao Lorikeet	Saudareos johnstoniae
Plains-wanderer	Pedionomus torquatus
