灰胸薮鹛	Liocichla omeiensis	99		
白尾蓝仙鹟	Cyornis concretus	99		
白眉蓝姬鹟	Ficedula superciliaris	99		拉萨石头
山鹨	Anthus sylvanus	99		
蓝胸鹑	Excalfactoria chinensis	98		无足之鸟
褐胸山鹧鸪	Arborophila brunneopectus	97		
白眉田鸡	Poliolimnas cinereus	97		无足之鸟
灰胁噪鹛	Pterorhinus caerulatus	97		
栗腹文鸟	Lonchura atricapilla	97		
布氏鹨	Anthus godlewskii	97		
藏雀	Carpodacus roborowskii	96		
靴篱莺	Iduna caligata	95		Kenneth
喜山山鹪莺	Prinia crinigera	95		
锈红腹旋木雀	Certhia nipalensis	95		拉萨石头
黑喉岩鹨	Prunella atrogularis	95		火柴盒
喜山白眉朱雀	Carpodacus thura	95		拉萨石头
黑头鹎	Brachypodius melanocephalos	94		
黑顶奇鹛	Heterophasia capistrata	94		拉萨石头
黄额鸦雀	Suthora fulvifrons	94		
棕腹林鸲	Tarsiger hyperythrus	94		拉萨石头
黑琴鸡	Lyrurus tetrix	93		无足之鸟
雉鹑	Tetraophasis obscurus	93		
赤颈䴙䴘	Podiceps grisegena	93		
灰燕鸻	Glareola lactea	93		
朱鹀	Urocynchramus pylzowi	93		
黑额山噪鹛	Ianthocincla sukatschewi	92		
靛冠噪鹛	Pterorhinus courtoisi	92		
褐翅鸦雀	Sinosuthora brunnea	92		
斑尾林鸽	Columba palumbus	91		
黑额伯劳	Lanius minor	91		
纹胸斑翅鹛	Actinodura waldeni	91		拉萨石头
斑背噪鹛	Ianthocincla lunulata	91		
孤沙锥	Gallinago solitaria	90		蒹葭
黄腰响蜜䴕	Indicator xanthonotus	90		拉萨石头
库页岛柳莺	Phylloscopus borealoides	90		
贺兰山红尾鸲	Phoenicurus alaschanicus	90		阿拉善刺猬
黑胸麻雀	Passer hispaniolensis	90		
黄喉雉鹑	Tetraophasis szechenyii	89		2022/2/13 四川省甘孜藏族自治州雅江县帕姆岭
藏马鸡	Crossoptilon harmani	89		拉萨石头
栗颈噪鹛	Pterorhinus ruficollis	88		
日本歌鸲	Larvivora akahige	88		Kenneth
棕尾虹雉	Lophophorus impejanus	87		拉萨石头
远东苇莺	Acrocephalus tangorum	86		Kenneth
褐马鸡	Crossoptilon mantchuricum	85		
巨䴓	Sitta magna	85		
棕草鹛	Pterorhinus koslowi	84		
厚嘴绿鸠	Treron curvirostra	83		猬胄
斑胸噪鹛	Garrulax merulinus	83		
白腹幽鹛	Pellorneum albiventre	82		
棕胸佛法僧	Coracias affinis	80		
琉球山椒鸟	Pericrocotus tegimae	80		
鹊色鹂	Oriolus mellianus	80		
橙额鸦雀	Suthora nipalensis	80		拉萨石头
剑鸻	Charadrius hiaticula	79		
路德雀鹛	Fulvetta ludlowi	79		拉萨石头
蓝枕花蜜鸟	Kurochkinegramma hypogrammicum	79		
黑海番鸭	Melanitta americana	78		1-27 广州市南沙区南沙湿地
暗绿背鸬鹚	Phalacrocorax capillatus	78		
领燕鸻	Glareola pratincola	78		
金额雀鹛	Schoeniparus variegaticeps	78		无足之鸟
纹胸鹪鹛	Napothera epilepidota	78		无足之鸟
灰头鹦鹉	Psittacula finschii	77		
