中文名	拉丁名	英文名	记录次数	定点记	随手记
白颈长尾雉	Syrmaticus ellioti	Elliot's Pheasant	1	0	1
黄腹角雉	Tragopan caboti	Cabot's Tragopan	1	0	1
勺鸡	Pucrasia macrolopha	Koklass Pheasant	1	0	1
花尾榛鸡	Tetrastes bonasia	Hazel Grouse	1	1	0
环颈山鹧鸪	Arborophila torqueola	Common Hill Partridge	1	1	0
白眉山鹧鸪	Arborophila gingica	Rickett's Hill Partridge	11	10	1
环颈雉	Phasianus colchicus	Common Pheasant	9	8	1
藏马鸡	Crossoptilon harmani	Tibetan Eared Pheasant	1	0	1
黑鹇	Lophura leucomelanos	Kalij Pheasant	1	1	0
海南孔雀雉	Polyplectron katsumatae	Hainan Peacock Pheasant	1	1	0
白鹇	Lophura nycthemera	Silver Pheasant	10	8	2
黑雁	Branta bernicla	Brant Goose	6	6	0
灰胸竹鸡	Bambusicola thoracicus	Chinese Bamboo Partridge	15	14	1
红原鸡	Gallus gallus	Red Junglefowl	1	1	0
中华鹧鸪	Francolinus pintadeanus	Chinese Francolin	1	1	0
鹌鹑	Coturnix japonica	Japanese Quail	2	2	0
大天鹅	Cygnus cygnus	Whooper Swan	2	2	0
小天鹅	Cygnus columbianus	Tundra Swan	9	9	0
斑头雁	Anser indicus	Bar-headed Goose	3	1	2
灰雁	Anser anser	Graylag Goose	3	3	0
鸿雁	Anser cygnoides	Swan Goose	4	4	0
豆雁	Anser fabalis	Bean Goose	6	6	0
普通秋沙鸭	Mergus merganser	Common Merganser	13	12	1
短嘴豆雁	Anser serrirostris	Tundra Bean Goose	5	5	0
白额雁	Anser albifrons	White-fronted Goose	11	11	0
长尾鸭	Clangula hyemalis	Long-tailed Duck	1	1	0
鹊鸭	Bucephala clangula	Common Goldeneye	4	4	0
蓝胸鹑	Synoicus chinensis	Blue-breasted Quail	2	2	0
鸳鸯	Aix galericulata	Mandarin Duck	5	5	0
中华秋沙鸭	Mergus squamatus	Chinese Merganser	2	1	1
红胸秋沙鸭	Mergus serrator	Red-breasted Merganser	3	3	0
翘鼻麻鸭	Tadorna tadorna	Common Shelduck	8	8	0
赤麻鸭	Tadorna ferruginea	Ruddy Shelduck	11	10	1
棉凫	Nettapus coromandelianus	Cotton Pygmy Goose	3	3	0
赤嘴潜鸭	Netta rufina	Red-crested Pochard	1	0	1
红头潜鸭	Aythya ferina	Common Pochard	9	8	1
白眉鸭	Spatula querquedula	Garganey	6	6	0
青头潜鸭	Aythya baeri	Baer's Pochard	2	2	0
环颈潜鸭	Aythya collaris	Ring-necked Duck	2	2	0
凤头潜鸭	Aythya fuligula	Tufted Duck	21	21	0
斑头秋沙鸭	Mergellus albellus	Smew	1	1	0
白眼潜鸭	Aythya nyroca	Ferruginous Duck	3	3	0
花脸鸭	Sibirionetta formosa	Baikal Teal	1	1	0
斑背潜鸭	Aythya marila	Greater Scaup	2	2	0
罗纹鸭	Mareca falcata	Falcated Duck	15	15	0
赤膀鸭	Mareca strepera	Gadwall	5	5	0
琵嘴鸭	Spatula clypeata	Northern Shoveler	36	35	0
针尾鸭	Anas acuta	Northern Pintail	25	25	0
赤颈鸭	Mareca penelope	Eurasian Wigeon	45	42	0
斑嘴鸭	Anas zonorhyncha	Chinese Spot-billed Duck	47	44	1
绿头鸭	Anas platyrhynchos	Mallard	24	23	1
小䴙䴘	Tachybaptus ruficollis	Little Grebe	60	59	0
绿翅鸭	Anas crecca	Eurasian Teal	43	41	0
凤头䴙䴘	Podiceps cristatus	Great Crested Grebe	13	13	0
岩鸽	Columba rupestris	Hill Pigeon	3	2	1
雪鸽	Columba leuconota	Snow Pigeon	1	1	0
山斑鸠	Streptopelia orientalis	Oriental Turtle Dove	21	21	0
黑颈䴙䴘	Podiceps nigricollis	Black-necked Grebe	1	1	0
灰斑鸠	Streptopelia decaocto	Eurasian Collared Dove	1	1	0
斑尾鹃鸠	Macropygia unchall	Bar-tailed Cuckoo Dove	6	6	0
绿翅金鸠	Chalcophaps indica	Emerald Dove	8	8	0
针尾绿鸠	Treron apicauda	Pin-tailed Green Pigeon	1	1	0
普通夜鹰	Caprimulgus jotaka	Grey Nightjar	6	5	1
长尾夜鹰	Caprimulgus macrurus	Large-tailed Nightjar	2	2	0
凤头雨燕	Hemiprocne coronata	Crested Treeswift	1	1	0
灰林鸽	Columba pulchricollis	Ashy Wood Pigeon	1	0	1
火斑鸠	Streptopelia tranquebarica	Red Turtle Dove	4	4	0
珠颈斑鸠	Spilopelia chinensis	Spotted Dove	94	87	2
林夜鹰	Caprimulgus affinis	Savanna Nightjar	1	1	0
普通秧鸡	Rallus indicus	Eastern Water Rail	2	2	0
小白腰雨燕	Apus nipalensis	House Swift	29	29	0
红翅凤头鹃	Clamator coromandus	Chestnut-winged Cuckoo	1	0	1
乌鹃	Surniculus lugubris	Square-tailed Drongo-cuckoo	2	1	1
四声杜鹃	Cuculus micropterus	Indian Cuckoo	1	1	0
红胸田鸡	Zapornia fusca	Ruddy-breasted Crake	1	1	0
白胸苦恶鸟	Amaurornis phoenicurus	White-breasted Waterhen	35	33	1
