1	花尾榛鸡	Tetrastes bonasia	Hazel Grouse	鸡形目	雉科
2	斑尾榛鸡	Tetrastes sewerzowi	Chinese Grouse	鸡形目	雉科
3	镰翅鸡	Falcipennis falcipennis	Siberian Grouse	鸡形目	雉科
4	西方松鸡	Tetrao urogallus	Western Capercaillie	鸡形目	雉科
5	黑嘴松鸡	Tetrao parvirostris	Black-billed Capercaillie	鸡形目	雉科
6	黑琴鸡	Lyrurus tetrix	Black Grouse	鸡形目	雉科
7	岩雷鸟	Lagopus muta	Rock Ptarmigan	鸡形目	雉科
8	柳雷鸟	Lagopus lagopus	Willow Ptarmigan	鸡形目	雉科
9	雪鹑	Lerwa lerwa	Snow Partridge	鸡形目	雉科
10	雉鹑	Tetraophasis obscurus	Chestnut-throated Monal Partridge	鸡形目	雉科
11	黄喉雉鹑	Tetraophasis szechenyii	Buff-throated Monal Partridge	鸡形目	雉科
12	暗腹雪鸡	Tetraogallus himalayensis	Himalayan Snowcock	鸡形目	雉科
13	藏雪鸡	Tetraogallus tibetanus	Tibetan Snowcock	鸡形目	雉科
14	阿尔泰雪鸡	Tetraogallus altaicus	Altai Snowcock	鸡形目	雉科
15	石鸡	Alectoris chukar	Chukar Partridge	鸡形目	雉科
16	大石鸡	Alectoris magna	Rusty-necklaced Partridge	鸡形目	雉科
17	中华鹧鸪	Francolinus pintadeanus	Chinese Francolin	鸡形目	雉科
18	灰山鹑	Perdix perdix	Grey Partridge	鸡形目	雉科
19	斑翅山鹑	Perdix dauurica	Daurian Partridge	鸡形目	雉科
20	高原山鹑	Perdix hodgsoniae	Tibetan Partridge	鸡形目	雉科
21	西鹌鹑	Coturnix coturnix	Common Quail	鸡形目	雉科
22	鹌鹑	Coturnix japonica	Japanese Quail	鸡形目	雉科
23	蓝胸鹑	Excalfactoria chinensis	King Quail	鸡形目	雉科
24	环颈山鹧鸪	Arborophila torqueola	Common Hill Partridge	鸡形目	雉科
25	红喉山鹧鸪	Arborophila rufogularis	Rufous-throated Partridge	鸡形目	雉科
26	白颊山鹧鸪	Arborophila atrogularis	White-cheeked Partridge	鸡形目	雉科
27	台湾山鹧鸪	Arborophila crudigularis	Taiwan Partridge	鸡形目	雉科
28	红胸山鹧鸪	Arborophila mandellii	Chestnut-breasted Partridge	鸡形目	雉科
29	褐胸山鹧鸪	Arborophila brunneopectus	Bar-backed Partridge	鸡形目	雉科
30	四川山鹧鸪	Arborophila rufipectus	Sichuan Partridge	鸡形目	雉科
31	白眉山鹧鸪	Arborophila gingica	White-necklaced Partridge	鸡形目	雉科
32	海南山鹧鸪	Arborophila ardens	Hainan Partridge	鸡形目	雉科
