
Dendrocygna javanica	栗树鸭	Lesser Whistling Duck
Branta bernicla	黑雁	Brant Goose
Branta ruficollis	红胸黑雁	Red-breasted Goose
Branta canadensis	加拿大黑雁	Canada Goose
Branta leucopsis	白颊黑雁	Barnacle Goose
Branta hutchinsii	小美洲黑雁	Cackling Goose
Anser indicus	斑头雁	Bar-headed Goose
Anser caerulescens	雪雁	Snow Goose
Anser anser	灰雁	Greylag Goose
Anser cygnoides	鸿雁	Swan Goose
Anser fabalis	豆雁	Taiga Bean Goose
Anser serrirostris	短嘴豆雁	Tundra Bean Goose
Anser albifrons	白额雁	Greater White-fronted Goose
Anser erythropus	小白额雁	Lesser White-fronted Goose
Cygnus olor	疣鼻天鹅	Mute Swan
Cygnus columbianus	小天鹅	Tundra Swan
Cygnus cygnus	大天鹅	Whooper Swan
Sarkidiornis melanotos	瘤鸭	Knob-billed Duck
Tadorna tadorna	翘鼻麻鸭	Common Shelduck
Tadorna ferruginea	赤麻鸭	Ruddy Shelduck
Tadorna cristata	冠麻鸭	Crested Shelduck
Asarcornis scutulata	白翅栖鸭	White-winged Duck
Aix galericulata	鸳鸯	Mandarin Duck
Nettapus coromandelianus	棉凫	Cotton Pygmy Goose
Sibirionetta formosa	花脸鸭	Baikal Teal
Spatula querquedula	白眉鸭	Garganey
Spatula clypeata	琵嘴鸭	Northern Shoveler
Mareca strepera	赤膀鸭	Gadwall
Mareca falcata	罗纹鸭	Falcated Duck
Mareca penelope	赤颈鸭	Eurasian Wigeon
Mareca americana	绿眉鸭	American Wigeon
Anas luzonica	棕颈鸭	Philippine Duck
Anas poecilorhyncha	印缅斑嘴鸭	Indian Spot-billed Duck
Anas zonorhyncha	斑嘴鸭	Chinese Spot-billed Duck
Anas platyrhynchos	绿头鸭	Mallard
Anas acuta	针尾鸭	Northern Pintail
Anas crecca	绿翅鸭	Eurasian Teal
Anas carolinensis	美洲绿翅鸭	Green-winged Teal
Marmaronetta angustirostris	云石斑鸭	Marbled Teal
Netta rufina	赤嘴潜鸭	Red-crested Pochard
Aythya valisineria	帆背潜鸭	Canvasback
Aythya ferina	红头潜鸭	Common Pochard
Aythya baeri	青头潜鸭	Baer's Pochard
Aythya nyroca	白眼潜鸭	Ferruginous Pochard
Aythya collaris	环颈潜鸭	Ring-necked Duck
Aythya fuligula	凤头潜鸭	Tufted Duck
Aythya marila	斑背潜鸭	Greater Scaup
Aythya affinis	小潜鸭	Lesser Scaup
Polysticta stelleri	小绒鸭	Steller's Eider
Histrionicus histrionicus	丑鸭	Harlequin Duck
Melanitta fusca	丝绒海番鸭	Velvet Scoter
Melanitta stejnegeri	斑脸海番鸭	Stejneger's Scoter
Melanitta americana	黑海番鸭	Black Scoter
Clangula hyemalis	长尾鸭	Long-tailed Duck
Bucephala clangula	鹊鸭	Common Goldeneye
Mergellus albellus	白秋沙鸭	Smew
Mergus merganser	普通秋沙鸭	Common Merganser
Mergus serrator	红胸秋沙鸭	Red-breasted Merganser
Mergus squamatus	中华秋沙鸭	Scaly-sided Merganser
Oxyura leucocephala	白头硬尾鸭	White-headed Duck

Arborophila torqueola	环颈山鹧鸪	Common Hill Partridge
Arborophila rufipectus	四川山鹧鸪	Sichuan Partridge
Arborophila mandellii	红胸山鹧鸪	Chestnut-breasted Partridge
Arborophila gingica	白眉山鹧鸪	White-necklaced Partridge
Arborophila rufogularis	红喉山鹧鸪	Rufous-throated Partridge
Arborophila ardens	海南山鹧鸪	Hainan Partridge
Arborophila crudigularis	台湾山鹧鸪	Taiwan Partridge
Arborophila atrogularis	白颊山鹧鸪	White-cheeked Partridge
Arborophila brunneopectus	褐胸山鹧鸪	Bar-backed Partridge
Lerwa lerwa	雪鹑	Snow Partridge
Ithaginis cruentus	血雉	Blood Pheasant
Tragopan melanocephalus	黑头角雉	Western Tragopan
Tragopan satyra	红胸角雉	Satyr Tragopan
Tragopan blythii	灰腹角雉	Blyth's Tragopan
Tragopan temminckii	红腹角雉	Temminck's Tragopan
Tragopan caboti	黄腹角雉	Cabot's Tragopan
Tetraophasis obscurus	雉鹑	Chestnut-throated Monal Partridge
Tetraophasis szechenyii	黄喉雉鹑	Buff-throated Monal Partridge
Lophophorus impejanus	棕尾虹雉	Himalayan Monal
Lophophorus sclateri	白尾梢虹雉	Sclater's Monal
Lophophorus lhuysii	绿尾虹雉	Chinese Monal
Pucrasia macrolopha	勺鸡	Koklass Pheasant
Tetrastes bonasia	花尾榛鸡	Hazel Grouse
Tetrastes sewerzowi	斑尾榛鸡	Chinese Grouse
Lagopus lagopus	柳雷鸟	Willow Ptarmigan
Lagopus muta	岩雷鸟	Rock Ptarmigan
Falcipennis falcipennis	镰翅鸡	Siberian Grouse
Tetrao urogallus	西方松鸡	Western Capercaillie
Tetrao urogalloides	黑嘴松鸡	Black-billed Capercaillie
Lyrurus tetrix	黑琴鸡	Black Grouse
Perdix hodgsoniae	高原山鹑	Tibetan Partridge
Perdix perdix	灰山鹑	Grey Partridge
Perdix dauurica	斑翅山鹑	Daurian Partridge
Syrmaticus reevesii	白冠长尾雉	Reeves's Pheasant
Syrmaticus mikado	黑长尾雉	Mikado Pheasant
Syrmaticus ellioti	白颈长尾雉	Elliot's Pheasant
Syrmaticus humiae	黑颈长尾雉	Mrs. Hume's Pheasant
Chrysolophus pictus	红腹锦鸡	Golden Pheasant
Chrysolophus amherstiae	白腹锦鸡	Lady Amherst's Pheasant
Phasianus colchicus	雉鸡	Common Pheasant
Crossoptilon harmani	藏马鸡	Tibetan Eared Pheasant
Crossoptilon crossoptilon	白马鸡	White Eared Pheasant
Crossoptilon mantchuricum	褐马鸡	Brown Eared Pheasant
Crossoptilon auritum	蓝马鸡	Blue Eared Pheasant
Lophura swinhoii	蓝腹鹇	Swinhoe's Pheasant
Lophura leucomelanos	黑鹇	Kalij Pheasant
Lophura nycthemera	白鹇	Silver Pheasant
Pavo muticus	绿孔雀	Green Peafowl
Tropicoperdix chloropus	绿脚树鹧鸪	Green-legged Partridge
Polyplectron katsumatae	海南孔雀雉	Hainan Peacock Pheasant
Polyplectron bicalcaratum	灰孔雀雉	Grey Peacock Pheasant
Bambusicola fytchii	棕胸竹鸡	Mountain Bamboo Partridge
Bambusicola thoracicus	灰胸竹鸡	Chinese Bamboo Partridge
Bambusicola sonorivox	台湾竹鸡	Taiwan Bamboo Partridge
Gallus gallus	红原鸡	Red Junglefowl
Francolinus pintadeanus	中华鹧鸪	Chinese Francolin
Tetraogallus tibetanus	藏雪鸡	Tibetan Snowcock
Tetraogallus altaicus	阿尔泰雪鸡	Altai Snowcock
Tetraogallus himalayensis	暗腹雪鸡	Himalayan Snowcock
Synoicus chinensis	蓝胸鹑	King Quail
Coturnix coturnix	西鹌鹑	Common Quail
Coturnix japonica	鹌鹑	Japanese Quail
Alectoris chukar	石鸡	Chukar Partridge
Alectoris magna	大石鸡	Rusty-necklaced Partridge

Gavia stellata	红喉潜鸟	Red-throated Loon
Gavia arctica	黑喉潜鸟	Black-throated Loon
Gavia pacifica	太平洋潜鸟	Pacific Loon
Gavia adamsii	黄嘴潜鸟	Yellow-billed Loon

Oceanites oceanicus	黄蹼洋海燕	Wilson's Storm Petrel

Phoebastria immutabilis	黑背信天翁	Laysan Albatross
Phoebastria nigripes	黑脚信天翁	Black-footed Albatross
Phoebastria albatrus	短尾信天翁	Short-tailed Albatross

Hydrobates monorhis	黑叉尾海燕	Swinhoe's Storm Petrel
Hydrobates leucorhoa	白腰叉尾海燕	Leach's Storm Petrel
Hydrobates tristrami	褐翅叉尾海燕	Tristram's Storm Petrel
Hydrobates matsudairae	日本叉尾海燕	Matsudaira's Storm Petrel

Fulmarus glacialis	暴雪鹱	Northern Fulmar
Pterodroma heraldica	信使圆尾鹱	Herald Petrel
Pterodroma hypoleuca	白额圆尾鹱	Bonin Petrel
Pseudobulweria rostrata	钩嘴圆尾鹱	Tahiti Petrel
Calonectris leucomelas	白额鹱	Streaked Shearwater
Ardenna pacifica	楔尾鹱	Wedge-tailed Shearwater
Ardenna grisea	灰鹱	Sooty Shearwater
Ardenna tenuirostris	短尾鹱	Short-tailed Shearwater
Ardenna carneipes	淡足鹱	Flesh-footed Shearwater
Bulweria bulwerii	褐燕鹱	Bulwer's Petrel

Tachybaptus ruficollis	小䴙䴘	Little Grebe
Podiceps grisegena	赤颈䴙䴘	Red-necked Grebe
Podiceps cristatus	凤头䴙䴘	Great Crested Grebe
Podiceps auritus	角䴙䴘	Horned Grebe
Podiceps nigricollis	黑颈䴙䴘	Black-necked Grebe

Phoenicopterus roseus	大红鹳	Greater Flamingo

Phaethon aethereus	红嘴鹲	Red-billed Tropicbird
Phaethon rubricauda	红尾鹲	Red-tailed Tropicbird
Phaethon lepturus	白尾鹲	White-tailed Tropicbird

Mycteria leucocephala	彩鹳	Painted Stork
Anastomus oscitans	钳嘴鹳	Asian Openbill
Ciconia nigra	黑鹳	Black Stork
Ciconia episcopus	白颈鹳	Asian Woollyneck
Ciconia ciconia	白鹳	White Stork
Ciconia boyciana	东方白鹳	Oriental Stork
Leptoptilos javanicus	秃鹳	Lesser Adjutant

Threskiornis melanocephalus	黑头白鹮	Black-headed Ibis
Pseudibis davisoni	白肩黑鹮	White-shouldered Ibis
Nipponia nippon	朱鹮	Crested Ibis
Plegadis falcinellus	彩鹮	Glossy Ibis
Platalea leucorodia	白琵鹭	Eurasian Spoonbill
Platalea minor	黑脸琵鹭	Black-faced Spoonbill

Botaurus stellaris	大麻鳽	Great Bittern
Ixobrychus minutus	小苇鳽	Little Bittern
Ixobrychus sinensis	黄苇鳽	Yellow Bittern
Ixobrychus eurhythmus	紫背苇鳽	Von Schrenck's Bittern
Ixobrychus cinnamomeus	栗苇鳽	Cinnamon Bittern
Ixobrychus flavicollis	黑鳽	Black Bittern
Gorsachius magnificus	海南鳽	White-eared Night Heron
Gorsachius goisagi	栗鳽	Japanese Night Heron
Gorsachius melanolophus	黑冠鳽	Malayan Night Heron
Nycticorax nycticorax	夜鹭	Black-crowned Night Heron
Nycticorax caledonicus	棕夜鹭	Nankeen Night Heron
Butorides striata	绿鹭	Striated Heron
Ardeola grayii	印度池鹭	Indian Pond Heron
Ardeola bacchus	池鹭	Chinese Pond Heron
Ardeola speciosa	爪哇池鹭	Javan Pond Heron
Bubulcus coromandus	牛背鹭	Eastern Cattle Egret
Ardea cinerea	苍鹭	Grey Heron
Ardea insignis	白腹鹭	White-bellied Heron
Ardea purpurea	草鹭	Purple Heron
Ardea alba	大白鹭	Great Egret
Ardea intermedia	中白鹭	Intermediate Egret
Egretta picata	斑鹭	Pied Heron
Egretta novaehollandiae	白脸鹭	White-faced Heron
Egretta garzetta	白鹭	Little Egret
Egretta sacra	岩鹭	Pacific Reef Heron
Egretta eulophotes	黄嘴白鹭	Chinese Egret

Pelecanus onocrotalus	白鹈鹕	Great White Pelican
Pelecanus philippensis	斑嘴鹈鹕	Spot-billed Pelican
Pelecanus crispus	卷羽鹈鹕	Dalmatian Pelican

Fregata andrewsi	白腹军舰鸟	Christmas Island Frigatebird
Fregata minor	大军舰鸟	Great Frigatebird
Fregata ariel	白斑军舰鸟	Lesser Frigatebird

Sula dactylatra	蓝脸鲣鸟	Masked Booby
Sula sula	红脚鲣鸟	Red-footed Booby
Sula leucogaster	褐鲣鸟	Brown Booby

Anhinga melanogaster	黑腹蛇鹈	Oriental Darter

Microcarbo pygmaeus	侏鸬鹚	Pygmy Cormorant
Microcarbo niger	黑颈鸬鹚	Little Cormorant
Urile urile	红脸鸬鹚	Red-faced Cormorant
Urile pelagicus	海鸬鹚	Pelagic Cormorant
Phalacrocorax capillatus	暗绿背鸬鹚	Japanese Cormorant
Phalacrocorax carbo	普通鸬鹚	Great Cormorant

Pandion haliaetus	鹗	Western Osprey

Elanus caeruleus	黑翅鸢	Black-winged Kite
Gypaetus barbatus	胡兀鹫	Lammergeier
Neophron percnopterus	白兀鹫	Egyptian Vulture
Pernis apivorus	鹃头蜂鹰	European Honey Buzzard
Pernis ptilorhynchus	凤头蜂鹰	Crested Honey-buzzard
Aviceda jerdoni	褐冠鹃隼	Jerdon's Baza
Aviceda leuphotes	黑冠鹃隼	Black Baza
Gyps bengalensis	白背兀鹫	White-rumped Vulture
Gyps tenuirostris	细嘴兀鹫	Slender-billed Vulture
Gyps himalayensis	高山兀鹫	Himalayan Vulture
Gyps fulvus	兀鹫	Griffon Vulture
Sarcogyps calvus	黑兀鹫	Red-headed Vulture
Aegypius monachus	秃鹫	Cinereous Vulture
Spilornis cheela	蛇雕	Crested Serpent Eagle
Circaetus gallicus	短趾雕	Short-toed Snake Eagle
Nisaetus cirrhatus	凤头鹰雕	Changeable Hawk-Eagle
Nisaetus nipalensis	鹰雕	Mountain Hawk-Eagle
Lophotriorchis kienerii	棕腹隼雕	Rufous-bellied Eagle
Ictinaetus malaiensis	林雕	Black Eagle
Clanga clanga	乌雕	Greater Spotted Eagle
Hieraaetus pennatus	靴隼雕	Booted Eagle
Aquila nipalensis	草原雕	Steppe Eagle
Aquila heliaca	白肩雕	Eastern Imperial Eagle
Aquila chrysaetos	金雕	Golden Eagle
Aquila fasciata	白腹隼雕	Bonelli's Eagle
Accipiter trivirgatus	凤头鹰	Crested Goshawk
Accipiter badius	褐耳鹰	Shikra
Accipiter soloensis	赤腹鹰	Chinese Sparrowhawk
Accipiter gularis	日本松雀鹰	Japanese Sparrowhawk
Accipiter virgatus	松雀鹰	Besra
Accipiter nisus	雀鹰	Eurasian Sparrowhawk
Accipiter gentilis	苍鹰	Northern Goshawk
Circus aeruginosus	白头鹞	Western Marsh Harrier
Circus spilonotus	白腹鹞	Eastern Marsh Harrier
Circus cyaneus	白尾鹞	Hen Harrier
Circus macrourus	草原鹞	Pallid Harrier
Circus melanoleucos	鹊鹞	Pied Harrier
Circus pygargus	乌灰鹞	Montagu's Harrier
Milvus migrans	黑鸢	Black Kite
Haliastur indus	栗鸢	Brahminy Kite
Haliaeetus leucogaster	白腹海雕	White-bellied Sea Eagle
Haliaeetus leucoryphus	玉带海雕	Pallas's Fish Eagle
Haliaeetus albicilla	白尾海雕	White-tailed Eagle
Haliaeetus pelagicus	虎头海雕	Steller's Sea Eagle
Haliaeetus humilis	渔雕	Lesser Fish Eagle
Butastur teesa	白眼鵟鹰	White-eyed Buzzard
Butastur liventer	棕翅鵟鹰	Rufous-winged Buzzard
Butastur indicus	灰脸鵟鹰	Grey-faced Buzzard
Buteo lagopus	毛脚鵟	Rough-legged Buzzard
Buteo hemilasius	大鵟	Upland Buzzard
Buteo japonicus	普通鵟	Eastern Buzzard
Buteo refectus	喜山鵟	Himalayan Buzzard
Buteo rufinus	棕尾鵟	Long-legged Buzzard
Buteo buteo	欧亚鵟	Common Buzzard

Otis tarda	大鸨	Great Bustard
Chlamydotis macqueenii	波斑鸨	Macqueen's Bustard
Tetrax tetrax	小鸨	Little Bustard

Rallus aquaticus	西方秧鸡	Water Rail
Rallus indicus	普通秧鸡	Brown-cheeked Rail
Crex crex	长脚秧鸡	Corn Crake
Lewinia striata	蓝胸秧鸡	Slaty-breasted Rail
Porzana porzana	斑胸田鸡	Spotted Crake
Gallinula chloropus	黑水鸡	Common Moorhen
Fulica atra	骨顶鸡	Eurasian Coot
Porphyrio poliocephalus	紫水鸡	Grey-headed Swamphen
Porphyrio indicus	黑背紫水鸡	Black-backed Swamphen
Coturnicops exquisitus	花田鸡	Swinhoe's Rail
Zapornia paykullii	斑胁田鸡	Band-bellied Crake
Zapornia bicolor	棕背田鸡	Black-tailed Crake
Zapornia akool	红脚苦恶鸟	Brown Crake
Zapornia pusilla	小田鸡	Baillon's Crake
Zapornia parva	姬田鸡	Little Crake
Zapornia fusca	红胸田鸡	Ruddy-breasted Crake
Rallina eurizonoides	白喉斑秧鸡	Slaty-legged Crake
Rallina fasciata	红腿斑秧鸡	Red-legged Crake
Poliolimnas cinereus	白眉田鸡	White-browed Crake
Gallicrex cinerea	董鸡	Watercock
Amaurornis phoenicurus	白胸苦恶鸟	White-breasted Waterhen

Leucogeranus leucogeranus	白鹤	Siberian Crane
Antigone canadensis	沙丘鹤	Sandhill Crane
Antigone vipio	白枕鹤	White-naped Crane
Antigone antigone	赤颈鹤	Sarus Crane
Grus virgo	蓑羽鹤	Demoiselle Crane
Grus japonensis	丹顶鹤	Red-crowned Crane
Grus grus	灰鹤	Common Crane
Grus monacha	白头鹤	Hooded Crane
Grus nigricollis	黑颈鹤	Black-necked Crane

Turnix sylvaticus	林三趾鹑	Common Buttonquail
Turnix tanki	黄脚三趾鹑	Yellow-legged Buttonquail
Turnix suscitator	棕三趾鹑	Barred Buttonquail

Burhinus oedicnemus	欧石鸻	Eurasian Thick-knee
Esacus recurvirostris	大石鸻	Great Thick-knee

Haematopus ostralegus	蛎鹬	Eurasian Oystercatcher

Ibidorhyncha struthersii	鹮嘴鹬	Ibisbill

Himantopus himantopus	黑翅长脚鹬	Black-winged Stilt
Recurvirostra avosetta	反嘴鹬	Pied Avocet

Vanellus vanellus	凤头麦鸡	Northern Lapwing
Vanellus duvaucelii	距翅麦鸡	River Lapwing
Vanellus cinereus	灰头麦鸡	Grey-headed Lapwing
Vanellus indicus	肉垂麦鸡	Red-wattled Lapwing
Vanellus gregarius	黄颊麦鸡	Sociable Lapwing
Vanellus leucurus	白尾麦鸡	White-tailed Lapwing
Pluvialis apricaria	欧金鸻	European Golden Plover
Pluvialis fulva	金斑鸻	Pacific Golden Plover
Pluvialis dominica	美洲金鸻	American Golden Plover
Pluvialis squatarola	灰斑鸻	Grey Plover
Charadrius hiaticula	剑鸻	Common Ringed Plover
Charadrius placidus	长嘴剑鸻	Long-billed Plover
Charadrius dubius	金眶鸻	Little Ringed Plover
Charadrius alexandrinus	环颈鸻	Kentish Plover
Charadrius dealbatus	白脸鸻	White-faced Plover
Charadrius mongolus	蒙古沙鸻	Lesser Sand Plover
Charadrius leschenaultii	铁嘴沙鸻	Greater Sand Plover
Charadrius asiaticus	红胸鸻	Caspian Plover
Charadrius veredus	东方鸻	Oriental Plover
Charadrius morinellus	小嘴鸻	Eurasian Dotterel
Rostratula benghalensis	彩鹬	Greater Painted Snipe
Hydrophasianus chirurgus	水雉	Pheasant-tailed Jacana
Metopidius indicus	铜翅水雉	Bronze-winged Jacana

Numenius phaeopus	中杓鹬	Eurasian Whimbrel
Numenius minutus	小杓鹬	Little Curlew
Numenius madagascariensis	大杓鹬	Eastern Curlew
Numenius arquata	白腰杓鹬	Eurasian Curlew
Limosa lapponica	斑尾塍鹬	Bar-tailed Godwit
Limosa limosa	黑尾塍鹬	Black-tailed Godwit
Arenaria interpres	翻石鹬	Ruddy Turnstone
Calidris tenuirostris	大滨鹬	Great Knot
Calidris canutus	红腹滨鹬	Red Knot
Calidris pugnax	流苏鹬	Ruff
Calidris falcinellus	阔嘴鹬	Broad-billed Sandpiper
Calidris acuminata	尖尾滨鹬	Sharp-tailed Sandpiper
Calidris himantopus	高跷鹬	Stilt Sandpiper
Calidris ferruginea	弯嘴滨鹬	Curlew Sandpiper
Calidris temminckii	青脚滨鹬	Temminck's Stint
Calidris subminuta	长趾滨鹬	Long-toed Stint
Calidris pygmaea	勺嘴鹬	Spoon-billed Sandpiper
Calidris ruficollis	红颈滨鹬	Red-necked Stint
Calidris alba	三趾滨鹬	Sanderling
Calidris alpina	黑腹滨鹬	Dunlin
Calidris ptilocnemis	岩滨鹬	Rock Sandpiper
Calidris minuta	小滨鹬	Little Stint
Calidris fuscicollis	白腰滨鹬	White-rumped Sandpiper
Calidris subruficollis	饰胸鹬	Buff-breasted Sandpiper
Calidris melanotos	斑胸滨鹬	Pectoral Sandpiper
Calidris mauri	西方滨鹬	Western Sandpiper
Limnodromus semipalmatus	半蹼鹬	Asian Dowitcher
Limnodromus scolopaceus	长嘴鹬	Long-billed Dowitcher
Scolopax rusticola	丘鹬	Eurasian Woodcock
Lymnocryptes minimus	姬鹬	Jack Snipe
Gallinago solitaria	孤沙锥	Solitary Snipe
Gallinago hardwickii	澳南沙锥	Latham's Snipe
Gallinago nemoricola	林沙锥	Wood Snipe
Gallinago stenura	针尾沙锥	Pin-tailed Snipe
Gallinago megala	大沙锥	Swinhoe's Snipe
Gallinago gallinago	扇尾沙锥	Common Snipe
Xenus cinereus	翘嘴鹬	Terek Sandpiper
Phalaropus lobatus	红颈瓣蹼鹬	Red-necked Phalarope
Phalaropus fulicarius	灰瓣蹼鹬	Red Phalarope
Actitis hypoleucos	矶鹬	Common Sandpiper
Tringa ochropus	白腰草鹬	Green Sandpiper
Tringa incana	漂鹬	Wandering Tattler
Tringa brevipes	灰尾漂鹬	Grey-tailed Tattler
Tringa flavipes	小黄脚鹬	Lesser Yellowlegs
Tringa totanus	红脚鹬	Common Redshank
Tringa stagnatilis	泽鹬	Marsh Sandpiper
Tringa glareola	林鹬	Wood Sandpiper
Tringa erythropus	鹤鹬	Spotted Redshank
Tringa nebularia	青脚鹬	Common Greenshank
Tringa guttifer	小青脚鹬	Nordmann's Greenshank

Glareola pratincola	领燕鸻	Collared Pratincole
Glareola maldivarum	普通燕鸻	Oriental Pratincole
Glareola nordmanni	黑翅燕鸻	Black-winged Pratincole
Glareola lactea	灰燕鸻	Small Pratincole

Anous stolidus	白顶玄燕鸥	Brown Noddy
Anous minutus	玄燕鸥	Black Noddy
Gygis alba	白燕鸥	White Tern
Rissa tridactyla	三趾鸥	Black-legged Kittiwake
Xema sabini	叉尾鸥	Sabine's Gull
Chroicocephalus genei	细嘴鸥	Slender-billed Gull
Chroicocephalus novaehollandiae	澳洲红嘴鸥	Silver Gull
Chroicocephalus brunnicephalus	棕头鸥	Brown-headed Gull
Chroicocephalus ridibundus	红嘴鸥	Black-headed Gull
Chroicocephalus saundersi	黑嘴鸥	Saunders's Gull
Hydrocoloeus minutus	小鸥	Little Gull
Rhodostethia rosea	楔尾鸥	Ross's Gull
