
 
CASUARIIFORMES: Casuariidae

Southern Cassowary	Casuarius casuarius	
Dwarf Cassowary	Casuarius bennetti	
Northern Cassowary	Casuarius unappendiculatus	
 
ANSERIFORMES: Anseranatidae

Magpie Goose	Anseranas semipalmata	
 
ANSERIFORMES: Anatidae

Spotted Whistling Duck	Dendrocygna guttata	
Fulvous Whistling Duck	Dendrocygna bicolor	
Plumed Whistling Duck	Dendrocygna eytoni	Rare/Accidental
Wandering Whistling Duck	Dendrocygna arcuata	
Lesser Whistling Duck	Dendrocygna javanica	
Brant Goose	Branta bernicla	
Red-breasted Goose	Branta ruficollis	Vulnerable
Canada Goose	Branta canadensis	Rare/Accidental
Barnacle Goose	Branta leucopsis	
Cackling Goose	Branta hutchinsii	
Bar-headed Goose	Anser indicus	
Emperor Goose	Anser canagicus	
Ross's Goose	Anser rossii	Rare/Accidental
Snow Goose	Anser caerulescens	
Greylag Goose	Anser anser	
Swan Goose	Anser cygnoides	Endangered
Taiga Bean Goose	Anser fabalis	
Pink-footed Goose	Anser brachyrhynchus	Rare/Accidental
Tundra Bean Goose	Anser serrirostris	
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	Vulnerable
Black Swan	Cygnus atratus	
Mute Swan	Cygnus olor	
Trumpeter Swan	Cygnus buccinator	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
Radjah Shelduck	Radjah radjah	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Australian Shelduck	Tadorna tadornoides	
Crested Shelduck	Tadorna cristata	Critically endangered (possibly extinct)
Salvadori's Teal	Salvadorina waigiuensis	
White-winged Duck	Asarcornis scutulata	Critically endangered
Mandarin Duck	Aix galericulata	
Cotton Pygmy Goose	Nettapus coromandelianus	
Green Pygmy Goose	Nettapus pulchellus	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Blue-winged Teal	Spatula discors	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	
Pacific Black Duck	Anas superciliosa	
Philippine Duck	Anas luzonica	Vulnerable
Indian Spot-billed Duck	Anas poecilorhyncha	
Eastern Spot-billed Duck	Anas zonorhyncha	
