鸟种编号	中文名	拉丁名	英文名	目	科	定点记	随手记
4001	环颈山鹧鸪	Arborophila torqueola	Common Hill Partridge	鸡形目	雉科	1	0
4004	白眉山鹧鸪	Arborophila gingica	Rickett's Hill Partridge	鸡形目	雉科	16	1
4005	红喉山鹧鸪	Arborophila rufogularis	Rufous-throated Hill Partridge	鸡形目	雉科	1	0
4011	血雉	Ithaginis cruentus	Blood Pheasant	鸡形目	雉科	1	0
4013	红胸角雉	Tragopan satyra	Satyr Tragopan	鸡形目	雉科	1	0
4015	红腹角雉	Tragopan temminckii	Temminck's Tragopan	鸡形目	雉科	1	0
4016	黄腹角雉	Tragopan caboti	Cabot's Tragopan	鸡形目	雉科	3	1
4019	棕尾虹雉	Lophophorus impejanus	Himalayan Monal	鸡形目	雉科	1	0
4020	白尾梢虹雉	Lophophorus sclateri	Sclater's Monal	鸡形目	雉科	1	0
4021	绿尾虹雉	Lophophorus lhuysii	Chinese Monal	鸡形目	雉科	1	0
4022	勺鸡	Pucrasia macrolopha	Koklass Pheasant	鸡形目	雉科	0	1
4023	花尾榛鸡	Tetrastes bonasia	Hazel Grouse	鸡形目	雉科	1	0
4033	斑翅山鹑	Perdix dauurica	Daurian Partridge	鸡形目	雉科	1	0
4036	白颈长尾雉	Syrmaticus ellioti	Elliot's Pheasant	鸡形目	雉科	2	1
4038	红腹锦鸡	Chrysolophus pictus	Golden Pheasant	鸡形目	雉科	1	0
4039	白腹锦鸡	Chrysolophus amherstiae	Lady Amherst's Pheasant	鸡形目	雉科	1	0
4040	环颈雉	Phasianus colchicus	Common Pheasant	鸡形目	雉科	18	1
4041	藏马鸡	Crossoptilon harmani	Tibetan Eared Pheasant	鸡形目	雉科	1	1
4042	白马鸡	Crossoptilon crossoptilon	White Eared Pheasant	鸡形目	雉科	1	0
4046	黑鹇	Lophura leucomelanos	Kalij Pheasant	鸡形目	雉科	2	0
4047	白鹇	Lophura nycthemera	Silver Pheasant	鸡形目	雉科	13	2
4050	海南孔雀雉	Polyplectron katsumatae	Hainan Peacock Pheasant	鸡形目	雉科	1	0
4051	灰孔雀雉	Polyplectron bicalcaratum	Grey Peacock Pheasant	鸡形目	雉科	1	0
4052	棕胸竹鸡	Bambusicola fytchii	Mountain Bamboo Partridge	鸡形目	雉科	1	0
4053	灰胸竹鸡	Bambusicola thoracicus	Chinese Bamboo Partridge	鸡形目	雉科	31	1
4055	红原鸡	Gallus gallus	Red Junglefowl	鸡形目	雉科	3	0
4056	中华鹧鸪	Francolinus pintadeanus	Chinese Francolin	鸡形目	雉科	2	0
4057	藏雪鸡	Tetraogallus tibetanus	Tibetan Snowcock	鸡形目	雉科	1	0
4060	蓝胸鹑	Synoicus chinensis	Blue-breasted Quail	鸡形目	雉科	2	0
4062	鹌鹑	Coturnix japonica	Japanese Quail	鸡形目	雉科	3	0
4063	石鸡	Alectoris chukar	Chukar Partridge	鸡形目	雉科	1	0
4069	大天鹅	Cygnus cygnus	Whooper Swan	雁形目	鸭科	2	0
4070	小天鹅	Cygnus columbianus	Tundra Swan	雁形目	鸭科	9	0
4071	黑雁	Branta bernicla	Brant Goose	雁形目	鸭科	6	0
4077	斑头雁	Anser indicus	Bar-headed Goose	雁形目	鸭科	1	2
4078	灰雁	Anser anser	Graylag Goose	雁形目	鸭科	4	0
4079	鸿雁	Anser cygnoides	Swan Goose	雁形目	鸭科	4	0
4080	豆雁	Anser fabalis	Bean Goose	雁形目	鸭科	6	0
4081	短嘴豆雁	Anser serrirostris	Tundra Bean Goose	雁形目	鸭科	5	0
4082	白额雁	Anser albifrons	White-fronted Goose	雁形目	鸭科	11	0
4084	长尾鸭	Clangula hyemalis	Long-tailed Duck	雁形目	鸭科	1	0
4089	鹊鸭	Bucephala clangula	Common Goldeneye	雁形目	鸭科	4	0
4090	斑头秋沙鸭	Mergellus albellus	Smew	雁形目	鸭科	1	0
4091	普通秋沙鸭	Mergus merganser	Common Merganser	雁形目	鸭科	12	1
4092	中华秋沙鸭	Mergus squamatus	Chinese Merganser	雁形目	鸭科	1	1
4093	红胸秋沙鸭	Mergus serrator	Red-breasted Merganser	雁形目	鸭科	3	0
4095	翘鼻麻鸭	Tadorna tadorna	Common Shelduck	雁形目	鸭科	8	0
4096	赤麻鸭	Tadorna ferruginea	Ruddy Shelduck	雁形目	鸭科	10	1
4098	棉凫	Nettapus coromandelianus	Cotton Pygmy Goose	雁形目	鸭科	3	0
4099	鸳鸯	Aix galericulata	Mandarin Duck	雁形目	鸭科	10	0
4101	赤嘴潜鸭	Netta rufina	Red-crested Pochard	雁形目	鸭科	0	1
4102	红头潜鸭	Aythya ferina	Common Pochard	雁形目	鸭科	8	1
4104	青头潜鸭	Aythya baeri	Baer's Pochard	雁形目	鸭科	2	0
4105	白眼潜鸭	Aythya nyroca	Ferruginous Duck	雁形目	鸭科	3	0
4106	环颈潜鸭	Aythya collaris	Ring-necked Duck	雁形目	鸭科	2	0
4107	凤头潜鸭	Aythya fuligula	Tufted Duck	雁形目	鸭科	21	0
4108	斑背潜鸭	Aythya marila	Greater Scaup	雁形目	鸭科	2	0
4110	白眉鸭	Spatula querquedula	Garganey	雁形目	鸭科	6	0
4111	琵嘴鸭	Spatula clypeata	Northern Shoveler	雁形目	鸭科	36	0
4112	花脸鸭	Sibirionetta formosa	Baikal Teal	雁形目	鸭科	1	0
4113	罗纹鸭	Mareca falcata	Falcated Duck	雁形目	鸭科	16	0
4114	赤膀鸭	Mareca strepera	Gadwall	雁形目	鸭科	5	0
4115	赤颈鸭	Mareca penelope	Eurasian Wigeon	雁形目	鸭科	43	0
4118	斑嘴鸭	Anas zonorhyncha	Chinese Spot-billed Duck	雁形目	鸭科	61	1
4119	南亚斑嘴鸭	Anas poecilorhyncha	Indian Spot-billed Duck	雁形目	鸭科	2	0
4120	绿头鸭	Anas platyrhynchos	Mallard	雁形目	鸭科	23	1
4121	针尾鸭	Anas acuta	Northern Pintail	雁形目	鸭科	26	0
4122	绿翅鸭	Anas crecca	Eurasian Teal	雁形目	鸭科	41	0
4123	小䴙䴘	Tachybaptus ruficollis	Little Grebe	䴙䴘目	䴙䴘科	82	0
4125	凤头䴙䴘	Podiceps cristatus	Great Crested Grebe	䴙䴘目	䴙䴘科	17	0
4127	黑颈䴙䴘	Podiceps nigricollis	Black-necked Grebe	䴙䴘目	䴙䴘科	1	0
4133	原鸽	Columba livia	Rock Dove	鸽形目	鸠鸽科	1	0
4134	岩鸽	Columba rupestris	Hill Pigeon	鸽形目	鸠鸽科	3	1
