	鸡形目	GALLIFORMES	雉科	Phasianidae (27:64)		
	0009#	Francolinus pintadeanus	中华鹧鸪	Chinese Francolin	LC	-
	0021#	Arborophila brunneopectus	褐胸山鹧鸪	Bar-backed Partridge	LC	-
	0026#	Bambusicola fytchii	棕胸竹鸡	Mountain Bamboo Partridge	LC	-
	0027#	Bambusicola thoracicus	灰胸竹鸡	Chinese Bamboo Partridge	LC	-
	0038#	Gallus gallus	红原鸡	Red Junglefowl	LC	Ⅱ
	0040#	Lophura nycthemera	白鹇	Silver Pheasant	LC	Ⅱ
	䴙䴘目	PODICIPEDIFORMES	䴙䴘科	Podicipedidae (2:5)		
	0518#	Tachybaptus ruficollis	小䴙䴘	Little Grebe	LC	-
	鹳形目	CICONIIFORMES	鹳科	Ciconiidae (4:7)		
	-	Anastomus oscitans	钳嘴鹳	Asian Openbill	LC	-
	鹈形目	PELECANIFORMES	鹭科	Ardeidae (10:26)		
	0552#	Ixobrychus sinensis	黄苇鳽	Yellow Bittern	LC	-
	0554#	Ixobrychus cinnamomeus	栗苇鳽	Cinnamon Bittern	LC	-
	0546#	Butorides striata	绿鹭	Striated Heron	LC	-
	0545#	Ardeola bacchus	池鹭	Chinese Pond Heron	LC	-
	0544#	Bubulcus coromandus	牛背鹭	Eastern Cattle Egret	NR	-
	0543#	Ardea intermedia	中白鹭	Intermediate Egret	LC	-
	0535#	Egretta garzetta	白鹭	Little Egret	LC	-
	鹰形目	ACCIPITRIFORMES	鹰科	Accipitridae (23:54)		
	0459#	Elanus caeruleus	黑翅鸢	Black-winged Kite	LC	Ⅱ
	0458#	Pernis ptilorhynchus	凤头蜂鹰	Crested Honey-buzzard	LC	Ⅱ
	0456#	Aviceda jerdoni	褐冠鹃隼	Jerdon's Baza	LC	Ⅱ
	0475#	Spilornis cheela	蛇雕	Crested Serpent Eagle	LC	Ⅱ
	0504#	Nisaetus nipalensis	鹰雕	Mountain Hawk-Eagle	LC	Ⅱ
	0501#	Aquila fasciata	白腹隼雕	Bonelli's Eagle	LC	Ⅱ
	0482#	Accipiter trivirgatus	凤头鹰	Crested Goshawk	LC	Ⅱ
	0483#	Accipiter badius	褐耳鹰	Shikra	LC	Ⅱ
	0484#	Accipiter soloensis	赤腹鹰	Chinese Sparrowhawk	LC	Ⅱ
	0485#	Accipiter gularis	日本松雀鹰	Japanese Sparrowhawk	LC	Ⅱ
	0486#	Accipiter virgatus	松雀鹰	Besra	LC	Ⅱ
	0487#	Accipiter nisus	雀鹰	Eurasian Sparrowhawk	LC	Ⅱ
	0491#	Butastur indicus	灰脸鵟鹰	Grey-faced Buzzard	LC	Ⅱ
	-	Buteo japonicus	普通鵟	Eastern Buzzard	LC	Ⅱ
	鹤形目	GRUIFORMES	秧鸡科	Rallidae (11:21)		
	0309#	Lewinia striatia	蓝胸秧鸡	Slaty-breasted Rail	LC	-
	0323#	Gallinula chloropus	黑水鸡	Common Moorhen	LC	-
	0314#	Zapornia bicolor	棕背田鸡	Black-tailed Crake	LC	Ⅱ
	0312#	Zapornia akool	红脚苦恶鸟	Brown Crake	LC	-
	0318#	Zapornia fusca	红胸田鸡	Ruddy-breasted Crake	LC	-
	0308#	Rallina eurizonoides	白喉斑秧鸡	Slaty-legged Crake	LC	-
	0313#	Amaurornis phoenicurus	白胸苦恶鸟	White-breasted Waterhen	LC	-
	鸽形目	COLUMBIFORMES	鸠鸽科	Columbidae (8:32)		
	0274#	Streptopelia orientalis	山斑鸠	Oriental Turtle Dove	LC	-
	0277#	Streptopelia tranquebarica	火斑鸠	Red Collared Dove	LC	-
	0276#	Spilopelia chinensis	珠颈斑鸠	Spotted Dove	LC	-
	0282#	Chalcophaps indica	绿翅金鸠	Emerald Dove	LC	-
	0285#	Treron curvirostra	厚嘴绿鸠	Thick-billed Green Pigeon	LC	Ⅱ
	0289#	Treron sieboldii	红翅绿鸠	White-bellied Green Pigeon	LC	Ⅱ
	0293#	Ducula badia	山皇鸠	Mountain Imperial Pigeon	LC	Ⅱ
	鹃形目	CUCULIFORMES	杜鹃科	Cuculidae (9:20)		
	0203#	Centropus sinensis	褐翅鸦鹃	Greater Coucal	LC	Ⅱ
	0204#	Centropus bengalensis	小鸦鹃	Lesser Coucal	LC	Ⅱ
	0202#	Phaenicophaeus tristis	绿嘴地鹃	Green-billed Malkoha	LC	-
	0188#	Clamator coromandus	红翅凤头鹃	Chestnut-winged Cuckoo	LC	-
	0201#	Eudynamys scolopaceus	噪鹃	Asian Koel	LC	-
	0198#	Chrysococcyx maculatus	翠金鹃	Asian Emerald Cuckoo	LC	-
	0196#	Cacomantis sonneratii	栗斑杜鹃	Banded Bay Cuckoo	LC	-
	0197#	Cacomantis merulinus	八声杜鹃	Plaintive Cuckoo	LC	-
	0200#	Surniculus lugubris	乌鹃	Square-tailed Drongo-Cuckoo	LC	-
	0189#	Hierococcyx sparverioides	鹰鹃	Large Hawk-Cuckoo	LC	-
	-	Hierococcyx nisicolor	霍氏鹰鹃	Hodgson's Hawk-Cuckoo	LC	-
	0192#	Cuculus micropterus	四声杜鹃	Indian Cuckoo	LC	-
	0194#	Cuculus saturatus	中杜鹃	Himalayan Cuckoo	LC	-
	0193#	Cuculus canorus	大杜鹃	Common Cuckoo	LC	-
	鸮形目	STRIGIFORMES	鸱鸮科	Strigidae (10:30)		
	0227#	Otus spilocephalus	黄嘴角鸮	Mountain Scops Owl	LC	Ⅱ
	0232#	Otus lettia	领角鸮	Collared Scops Owl	LC	Ⅱ
	0230#	Otus sunia	红角鸮	Oriental Scops Owl	LC	Ⅱ
	0241#	Strix nivicolum	灰林鸮	Himalayan Owl	LC	Ⅱ
	0247#	Glaucidium brodiei	领鸺鹠	Collared Owlet	LC	Ⅱ
	0248#	Glaucidium cuculoides	斑头鸺鹠	Asian Barred Owlet	LC	Ⅱ
	夜鹰目	CAPRIMULGIFORMES	夜鹰科	Caprimulgidae (2:7)		
	0257#	Caprimulgus jotaka	普通夜鹰	Grey Nightjar	LC	-
	雨燕目	APODIFORMES	雨燕科	Apodidae (5:14)		
	0214#	Aerodramus brevirostris	短嘴金丝燕	Himalayan Swiftlet	LC	-
	0216#	Hirundapus caudacutus	白喉针尾雨燕	White-throated Needletail	LC	-
	0217#	Hirundapus cochinchinensis	灰喉针尾雨燕	Silver-backed Needletail	LC	Ⅱ
	0218#	Cypsiurus balasiensis	棕雨燕	Asian Palm Swift	LC	-
	0221#	Apus pacificus	白腰雨燕	Pacific Swift	LC	-
