4001	环颈山鹧鸪	Arborophila torqueola	Common Hill Partridge	鸡形目	雉科
4002	四川山鹧鸪	Arborophila rufipectus	Sichuan Hill Partridge	鸡形目	雉科
4003	红胸山鹧鸪	Arborophila mandellii	Chestnut-breasted Hill Partridge	鸡形目	雉科
4004	白眉山鹧鸪	Arborophila gingica	Rickett's Hill Partridge	鸡形目	雉科
4005	红喉山鹧鸪	Arborophila rufogularis	Rufous-throated Hill Partridge	鸡形目	雉科
4006	海南山鹧鸪	Arborophila ardens	Hainan Hill Partridge	鸡形目	雉科
4007	台湾山鹧鸪	Arborophila crudigularis	Taiwan Hill Partridge	鸡形目	雉科
4008	白颊山鹧鸪	Arborophila atrogularis	White-cheeked Hill Partridge	鸡形目	雉科
4009	褐胸山鹧鸪	Arborophila brunneopectus	Bar-backed Partridge	鸡形目	雉科
4010	雪鹑	Lerwa lerwa	Snow Partridge	鸡形目	雉科
4011	血雉	Ithaginis cruentus	Blood Pheasant	鸡形目	雉科
4012	黑头角雉	Tragopan melanocephalus	Western Tragopan	鸡形目	雉科
4013	红胸角雉	Tragopan satyra	Satyr Tragopan	鸡形目	雉科
4014	灰腹角雉	Tragopan blythii	Blyth’s Tragopan	鸡形目	雉科
4015	红腹角雉	Tragopan temminckii	Temminck’s Tragopan	鸡形目	雉科
4016	黄腹角雉	Tragopan caboti	Cabot’s Tragopan	鸡形目	雉科
4017	红喉雉鹑	Tetraophasis obscurus	Chestnut-throated Partridge	鸡形目	雉科
4018	黄喉雉鹑	Tetraophasis szechenyii	Buff-throated Partridge	鸡形目	雉科
4019	棕尾虹雉	Lophophorus impejanus	Himalayan Monal 	鸡形目	雉科
4020	白尾梢虹雉	Lophophorus sclateri	Sclater’s Monal 	鸡形目	雉科
4021	绿尾虹雉	Lophophorus lhuysii	Chinese Monal 	鸡形目	雉科
4022	勺鸡	Pucrasia macrolopha	Koklass Pheasant	鸡形目	雉科
4023	花尾榛鸡	Tetrastes bonasia	Hazel Grouse	鸡形目	雉科
4024	斑尾榛鸡	Tetrastes sewerzowi	Chinese Grouse	鸡形目	雉科
4025	柳雷鸟	Lagopus lagopus	Willow Grouse	鸡形目	雉科
4026	岩雷鸟	Lagopus muta	Rock Ptarmigan	鸡形目	雉科
4027	镰翅鸡	Falcipennis falcipennis	Siberian Spruce Grouse	鸡形目	雉科
4028	松鸡	Tetrao urogallus	Western Capercaillie	鸡形目	雉科
4029	黑嘴松鸡	Tetrao urogalloides	Black-billed Capercaillie	鸡形目	雉科
4030	黑琴鸡	Lyrurus tetrix	Black Grouse	鸡形目	雉科
4031	高原山鹑	Perdix hodgsoniae	Tibetan Partridge	鸡形目	雉科
4032	灰山鹑	Perdix perdix	Grey Partridge	鸡形目	雉科
4033	斑翅山鹑	Perdix dauurica	Daurian Partridge	鸡形目	雉科
4034	白冠长尾雉	Syrmaticus reevesii	Reeves’s Pheasant	鸡形目	雉科
4035	黑长尾雉	Syrmaticus mikado	Mikado Pheasant	鸡形目	雉科
4036	白颈长尾雉	Syrmaticus ellioti	Elliot’s Pheasant	鸡形目	雉科
4037	黑颈长尾雉	Syrmaticus humiae	Hume’s Pheasant	鸡形目	雉科
4038	红腹锦鸡	Chrysolophus pictus	Golden Pheasant	鸡形目	雉科
4039	白腹锦鸡	Chrysolophus amherstiae	Lady Amherst’s Pheasant	鸡形目	雉科
4040	环颈雉	Phasianus colchicus	Common Pheasant	鸡形目	雉科
4041	藏马鸡	Crossoptilon harmani	Tibetan Eared Pheasant	鸡形目	雉科
4042	白马鸡	Crossoptilon crossoptilon	White Eared Pheasant	鸡形目	雉科
4043	褐马鸡	Crossoptilon mantchuricum	Brown Eared Pheasant	鸡形目	雉科
