ANSERIFORMES: Anatidae
Lesser Whistling Duck	Dendrocygna javanica	
Cotton Pygmy Goose	Nettapus coromandelianus	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Greylag Goose	Anser anser	
Swan Goose	Anser cygnoides	Endangered
Lesser White-fronted Goose	Anser erythropus	Vulnerable
Greater White-fronted Goose	Anser albifrons	
Tundra Bean Goose	Anser serrirostris	
Taiga Bean Goose	Anser fabalis	
Mandarin Duck	Aix galericulata	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Long-tailed Duck	Clangula hyemalis	Vulnerable
Black Scoter	Melanitta americana	Rare/AccidentalNear-threatened
Velvet Scoter	Melanitta fusca	Rare/AccidentalVulnerable
Stejneger's Scoter	Melanitta stejnegeri	
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Red-breasted Merganser	Mergus serrator	
Scaly-sided Merganser	Mergus squamatus	Endangered
Common Merganser	Mergus merganser	
Ferruginous Duck	Aythya nyroca	Near-threatened
Baer's Pochard	Aythya baeri	Critically endangered
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Falcated Duck	Mareca falcata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
GALLIFORMES: Phasianidae
Common Pheasant	Phasianus colchicus	
Chinese Bamboo Partridge	Bambusicola thoracicus	
Japanese Quail	Coturnix japonica	Near-threatened
PHOENICOPTERIFORMES: Phoenicopteridae
Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
PODICIPEDIFORMES: Podicipedidae
Little Grebe	Tachybaptus ruficollis	
Horned Grebe	Podiceps auritus	Vulnerable
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
CUCULIFORMES: Cuculidae
Lesser Coucal	Centropus bengalensis	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Northern Hawk-Cuckoo	Hierococcyx hyperythrus	
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	
Lesser Cuckoo	Cuculus poliocephalus	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Common Cuckoo	Cuculus canorus	
Oriental Cuckoo	Cuculus optatus	
COLUMBIFORMES: Columbidae
Barred Cuckoo-Dove	Macropygia unchall	
Spotted Dove	Spilopelia chinensis	
Red Collared Dove	Streptopelia tranquebarica	
Oriental Turtle Dove	Streptopelia orientalis	
Eurasian Collared Dove	Streptopelia decaocto	
Hill Pigeon	Columba rupestris	
Rock Dove	Columba livia	
White-bellied Green Pigeon	Treron sieboldii	
Green Imperial Pigeon	Ducula aenea	Near-threatened
GRUIFORMES: Gruidae
Siberian Crane	Leucogeranus leucogeranus	Critically endangered
Sandhill Crane	Antigone canadensis	
White-naped Crane	Antigone vipio	Vulnerable
Red-crowned Crane	Grus japonensis	Vulnerable
Common Crane	Grus grus	
Hooded Crane	Grus monacha	Vulnerable
GRUIFORMES: Rallidae
Water Rail	Rallus aquaticus	
Brown-cheeked Rail	Rallus indicus	
Slaty-breasted Rail	Lewinia striata	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Purple Swamphen	Porphyrio porphyrio	
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
Ruddy-breasted Crake	Zapornia fusca	
Band-bellied Crake	Zapornia paykullii	Near-threatened
Brown Crake	Zapornia akool	
Baillon's Crake	Zapornia pusilla	
CHARADRIIFORMES: Recurvirostridae
Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
CHARADRIIFORMES: Haematopodidae
Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
CHARADRIIFORMES: Charadriidae
Grey Plover	Pluvialis squatarola	Vulnerable
European Golden Plover	Pluvialis apricaria	Rare/Accidental
Pacific Golden Plover	Pluvialis fulva	
Common Ringed Plover	Charadrius hiaticula	
Long-billed Plover	Thinornis placidus	
Little Ringed Plover	Thinornis dubius	
Northern Lapwing	Vanellus vanellus	Near-threatened
Grey-headed Lapwing	Vanellus cinereus	
Oriental Plover	Anarhynchus veredus	
Tibetan Sand Plover	Anarhynchus atrifrons	
Siberian Sand Plover	Anarhynchus mongolus	Endangered
Greater Sand Plover	Anarhynchus leschenaultii	
Kentish Plover	Anarhynchus alexandrinus	
CHARADRIIFORMES: Rostratulidae
Greater Painted-snipe	Rostratula benghalensis	
CHARADRIIFORMES: Jacanidae
Pheasant-tailed Jacana	Hydrophasianus chirurgus	
CHARADRIIFORMES: Scolopacidae
Little Curlew	Numenius minutus	
Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	Endangered
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Asian Dowitcher	Limnodromus semipalmatus	Near-threatened
Long-billed Dowitcher	Limnodromus scolopaceus	Rare/AccidentalNear-threatened
Jack Snipe	Lymnocryptes minimus	
Eurasian Woodcock	Scolopax rusticola	
Solitary Snipe	Gallinago solitaria	
Swinhoe's Snipe	Gallinago megala	
Pin-tailed Snipe	Gallinago stenura	
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Red-necked Phalarope	Phalaropus lobatus	
Green Sandpiper	Tringa ochropus	
Grey-tailed Tattler	Tringa brevipes	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Nordmann's Greenshank	Tringa guttifer	Endangered
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Near-threatened
Great Knot	Calidris tenuirostris	Endangered
Ruff	Calidris pugnax	
Sharp-tailed Sandpiper	Calidris acuminata	Vulnerable
Broad-billed Sandpiper	Calidris falcinellus	Vulnerable
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Spoon-billed Sandpiper	Calidris pygmaea	Critically endangered
Red-necked Stint	Calidris ruficollis	Near-threatened
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Near-threatened
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Little Stint	Calidris minuta	
CHARADRIIFORMES: Turnicidae
Yellow-legged Buttonquail	Turnix tanki	
CHARADRIIFORMES: Glareolidae
Oriental Pratincole	Glareola maldivarum	
CHARADRIIFORMES: Stercorariidae
Parasitic Jaeger	Stercorarius parasiticus	
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
CHARADRIIFORMES: Alcidae
Rhinoceros Auklet	Cerorhinca monocerata	
Ancient Murrelet	Synthliboramphus antiquus	
CHARADRIIFORMES: Laridae
Brown Noddy	Anous stolidus	
Aleutian Tern	Onychoprion aleuticus	Rare/AccidentalVulnerable
Sooty Tern	Onychoprion fuscatus	
Bridled Tern	Onychoprion anaethetus	
Little Tern	Sternula albifrons	
Caspian Tern	Hydroprogne caspia	
Gull-billed Tern	Gelochelidon nilotica	
Whiskered Tern	Chlidonias hybrida	
White-winged Tern	Chlidonias leucopterus	
Chinese Crested Tern	Thalasseus bernsteini	Critically endangered
Greater Crested Tern	Thalasseus bergii	
Common Tern	Sterna hirundo	
Black-naped Tern	Sterna sumatrana	
Roseate Tern	Sterna dougallii	
Black-legged Kittiwake	Rissa tridactyla	Vulnerable
Sabine's Gull	Xema sabini	Rare/Accidental
Saunders's Gull	Saundersilarus saundersi	Vulnerable
Black-headed Gull	Chroicocephalus ridibundus	
Pallas's Gull	Ichthyaetus ichthyaetus	
Relict Gull	Ichthyaetus relictus	Vulnerable
Black-tailed Gull	Larus crassirostris	
Common Gull	Larus canus	
Vega Gull	Larus vegae	
Mongolian Gull	Larus mongolicus	
Glaucous Gull	Larus hyperboreus	
Lesser Black-backed Gull	Larus fuscus	
Glaucous-winged Gull	Larus glaucescens	Rare/Accidental
Slaty-backed Gull	Larus schistisagus	
GAVIIFORMES: Gaviidae
Red-throated Loon	Gavia stellata	
Black-throated Loon	Gavia arctica	
PROCELLARIIFORMES: Diomedeidae
Black-footed Albatross	Phoebastria nigripes	Near-threatened
Short-tailed Albatross	Phoebastria albatrus	Rare/AccidentalVulnerable
