ANSERIFORMES: Anatidae
Lesser Whistling Duck	Dendrocygna javanica	
Cotton Pygmy Goose	Nettapus coromandelianus	
White-headed Duck	Oxyura leucocephala	Endangered
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Brant Goose	Branta bernicla	
Red-breasted Goose	Branta ruficollis	Rare/AccidentalVulnerable
Canada Goose	Branta canadensis	Rare/Accidental
Barnacle Goose	Branta leucopsis	Rare/Accidental
Cackling Goose	Branta hutchinsii	Rare/Accidental
Bar-headed Goose	Anser indicus	
Snow Goose	Anser caerulescens	Rare/Accidental
Greylag Goose	Anser anser	
Swan Goose	Anser cygnoides	Endangered
Lesser White-fronted Goose	Anser erythropus	Vulnerable
Greater White-fronted Goose	Anser albifrons	
Tundra Bean Goose	Anser serrirostris	
Taiga Bean Goose	Anser fabalis	
Mandarin Duck	Aix galericulata	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Long-tailed Duck	Clangula hyemalis	Vulnerable
Steller's Eider	Polysticta stelleri	Rare/AccidentalVulnerable
Harlequin Duck	Histrionicus histrionicus	
Black Scoter	Melanitta americana	Rare/AccidentalNear-threatened
Velvet Scoter	Melanitta fusca	Rare/AccidentalVulnerable
Stejneger's Scoter	Melanitta stejnegeri	
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Red-breasted Merganser	Mergus serrator	
Scaly-sided Merganser	Mergus squamatus	Endangered
Common Merganser	Mergus merganser	
Knob-billed Duck	Sarkidiornis melanotos	
Marbled Duck	Marmaronetta angustirostris	Rare/AccidentalNear-threatened
Red-crested Pochard	Netta rufina	
Ferruginous Duck	Aythya nyroca	Near-threatened
Baer's Pochard	Aythya baeri	Critically endangered
Common Pochard	Aythya ferina	Vulnerable
Canvasback	Aythya valisineria	Rare/Accidental
Ring-necked Duck	Aythya collaris	Rare/Accidental
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Falcated Duck	Mareca falcata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	Rare/Accidental
Eastern Spot-billed Duck	Anas zonorhyncha	
Indian Spot-billed Duck	Anas poecilorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
GALLIFORMES: Phasianidae
Hill Partridge	Arborophila torqueola	
Sichuan Partridge	Arborophila rufipectus	EndemicVulnerable
Chestnut-breasted Partridge	Arborophila mandellii	Near-threatened
White-necklaced Partridge	Arborophila gingica	EndemicNear-threatened
Rufous-throated Partridge	Arborophila rufogularis	
Hainan Partridge	Arborophila ardens	EndemicVulnerable
White-cheeked Partridge	Arborophila atrogularis	
Bar-backed Partridge	Arborophila brunneopectus	
Snow Partridge	Lerwa lerwa	
Blood Pheasant	Ithaginis cruentus	
Western Tragopan	Tragopan melanocephalus	Vulnerable
Satyr Tragopan	Tragopan satyra	
Blyth's Tragopan	Tragopan blythii	Vulnerable
Temminck's Tragopan	Tragopan temminckii	
Cabot's Tragopan	Tragopan caboti	EndemicVulnerable
Chestnut-throated Monal-Partridge	Tetraophasis obscurus	Endemic
Buff-throated Monal-Partridge	Tetraophasis szechenyii	
Himalayan Monal	Lophophorus impejanus	
Sclater's Monal	Lophophorus sclateri	
Chinese Monal	Lophophorus lhuysii	EndemicVulnerable
Koklass Pheasant	Pucrasia macrolopha	
Chinese Grouse	Tetrastes sewerzowi	EndemicNear-threatened
Hazel Grouse	Tetrastes bonasia	
Rock Ptarmigan	Lagopus muta	
Willow Ptarmigan	Lagopus lagopus	
Black-billed Capercaillie	Tetrao urogalloides	
Western Capercaillie	Tetrao urogallus	
Black Grouse	Lyrurus tetrix	
Tibetan Partridge	Perdix hodgsoniae	
Daurian Partridge	Perdix dauurica	
Grey Partridge	Perdix perdix	
Reeves's Pheasant	Syrmaticus reevesii	EndemicVulnerable
Elliot's Pheasant	Syrmaticus ellioti	Endemic
Mrs. Hume's Pheasant	Syrmaticus humiae	Vulnerable
Golden Pheasant	Chrysolophus pictus	Endemic
Lady Amherst's Pheasant	Chrysolophus amherstiae	
Common Pheasant	Phasianus colchicus	
Tibetan Eared Pheasant	Crossoptilon harmani	
White Eared Pheasant	Crossoptilon crossoptilon	Endemic
Brown Eared Pheasant	Crossoptilon mantchuricum	Endemic
Blue Eared Pheasant	Crossoptilon auritum	Endemic
Kalij Pheasant	Lophura leucomelanos	
Silver Pheasant	Lophura nycthemera	
Green Peafowl	Pavo muticus	Endangered
Green-legged Partridge	Tropicoperdix chloropus	
Hainan Peacock-Pheasant	Polyplectron katsumatae	EndemicEndangered
Grey Peacock-Pheasant	Polyplectron bicalcaratum	
Mountain Bamboo Partridge	Bambusicola fytchii	
Chinese Bamboo Partridge	Bambusicola thoracicus	
Red Junglefowl	Gallus gallus	
Chinese Francolin	Francolinus pintadeanus	
Tibetan Snowcock	Tetraogallus tibetanus	
Altai Snowcock	Tetraogallus altaicus	
Himalayan Snowcock	Tetraogallus himalayensis	
King Quail	Synoicus chinensis	
Japanese Quail	Coturnix japonica	Near-threatened
Common Quail	Coturnix coturnix	
Chukar Partridge	Alectoris chukar	
Przevalski's Partridge	Alectoris magna	Endemic
PHOENICOPTERIFORMES: Phoenicopteridae
Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
PODICIPEDIFORMES: Podicipedidae
Little Grebe	Tachybaptus ruficollis	
Horned Grebe	Podiceps auritus	Vulnerable
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
OTIDIFORMES: Otididae
Great Bustard	Otis tarda	Endangered
Asian Houbara	Chlamydotis macqueenii	Vulnerable
Little Bustard	Tetrax tetrax	Near-threatened
CUCULIFORMES: Cuculidae
Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Green-billed Malkoha	Phaenicophaeus tristis	
Chestnut-winged Cuckoo	Clamator coromandus	
Jacobin Cuckoo	Clamator jacobinus	
Asian Koel	Eudynamys scolopaceus	
Asian Emerald Cuckoo	Chrysococcyx maculatus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Banded Bay Cuckoo	Cacomantis sonneratii	
Plaintive Cuckoo	Cacomantis merulinus	
Fork-tailed Drongo-Cuckoo	Surniculus dicruroides	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Northern Hawk-Cuckoo	Hierococcyx hyperythrus	
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	
Lesser Cuckoo	Cuculus poliocephalus	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Common Cuckoo	Cuculus canorus	
Oriental Cuckoo	Cuculus optatus	
PTEROCLIFORMES: Pteroclidae
Pallas's Sandgrouse	Syrrhaptes paradoxus	
Tibetan Sandgrouse	Syrrhaptes tibetanus	
Black-bellied Sandgrouse	Pterocles orientalis	
COLUMBIFORMES: Columbidae
Barred Cuckoo-Dove	Macropygia unchall	
Little Cuckoo-Dove	Macropygia ruficeps	
Spotted Dove	Spilopelia chinensis	
Laughing Dove	Spilopelia senegalensis	
Red Collared Dove	Streptopelia tranquebarica	
Oriental Turtle Dove	Streptopelia orientalis	
European Turtle Dove	Streptopelia turtur	Vulnerable
Eurasian Collared Dove	Streptopelia decaocto	
Black Wood Pigeon	Columba janthina	
Ashy Wood Pigeon	Columba pulchricollis	
Pale-capped Pigeon	Columba punicea	Vulnerable
Speckled Wood Pigeon	Columba hodgsonii	
Common Wood Pigeon	Columba palumbus	
Snow Pigeon	Columba leuconota	
Hill Pigeon	Columba rupestris	
Rock Dove	Columba livia	
Stock Dove	Columba oenas	
Yellow-eyed Pigeon	Columba eversmanni	Vulnerable
Common Emerald Dove	Chalcophaps indica	
Orange-breasted Green Pigeon	Treron bicinctus	
Ashy-headed Green Pigeon	Treron phayrei	Near-threatened
Thick-billed Green Pigeon	Treron curvirostra	
Yellow-footed Green Pigeon	Treron phoenicopterus	
Yellow-vented Green Pigeon	Treron seimundi	Rare/Accidental
Pin-tailed Green Pigeon	Treron apicauda	
Wedge-tailed Green Pigeon	Treron sphenurus	
White-bellied Green Pigeon	Treron sieboldii	
Whistling Green Pigeon	Treron formosae	
Green Imperial Pigeon	Ducula aenea	Near-threatened
Mountain Imperial Pigeon	Ducula badia	
Black-chinned Fruit Dove	Ramphiculus leclancheri	
GRUIFORMES: Gruidae
Siberian Crane	Leucogeranus leucogeranus	Critically endangered
Sandhill Crane	Antigone canadensis	
White-naped Crane	Antigone vipio	Vulnerable
Sarus Crane	Antigone antigone	Vulnerable
Demoiselle Crane	Grus virgo	
