ANSERIFORMES: Anatidae
Lesser Whistling Duck	Dendrocygna javanica	
Cotton Pygmy Goose	Nettapus coromandelianus	
Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Greater White-fronted Goose	Anser albifrons	
Tundra Bean Goose	Anser serrirostris	
Taiga Bean Goose	Anser fabalis	
Mandarin Duck	Aix galericulata	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Red-breasted Merganser	Mergus serrator	
Scaly-sided Merganser	Mergus squamatus	Endangered
Common Merganser	Mergus merganser	
Knob-billed Duck	Sarkidiornis melanotos	
Red-crested Pochard	Netta rufina	
Ferruginous Duck	Aythya nyroca	Near-threatened
Baer's Pochard	Aythya baeri	Critically endangered
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Falcated Duck	Mareca falcata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Eastern Spot-billed Duck	Anas zonorhyncha	
Indian Spot-billed Duck	Anas poecilorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
GALLIFORMES: Phasianidae
Hill Partridge	Arborophila torqueola	
Sichuan Partridge	Arborophila rufipectus	Endemic (country/region)Vulnerable
Rufous-throated Partridge	Arborophila rufogularis	
White-cheeked Partridge	Arborophila atrogularis	
Bar-backed Partridge	Arborophila brunneopectus	
Snow Partridge	Lerwa lerwa	
Blood Pheasant	Ithaginis cruentus	
Satyr Tragopan	Tragopan satyra	
Blyth's Tragopan	Tragopan blythii	Vulnerable
Temminck's Tragopan	Tragopan temminckii	
Buff-throated Monal-Partridge	Tetraophasis szechenyii	
Sclater's Monal	Lophophorus sclateri	
Chinese Monal	Lophophorus lhuysii	Endemic (country/region)Vulnerable
Koklass Pheasant	Pucrasia macrolopha	
Chinese Grouse	Tetrastes sewerzowi	Endemic (country/region)Near-threatened
Tibetan Partridge	Perdix hodgsoniae	
Reeves's Pheasant	Syrmaticus reevesii	Endemic (country/region)Vulnerable
Mrs. Hume's Pheasant	Syrmaticus humiae	Vulnerable
Golden Pheasant	Chrysolophus pictus	Endemic (country/region)
Lady Amherst's Pheasant	Chrysolophus amherstiae	
Common Pheasant	Phasianus colchicus	
White Eared Pheasant	Crossoptilon crossoptilon	
Kalij Pheasant	Lophura leucomelanos	
Silver Pheasant	Lophura nycthemera	
Green Peafowl	Pavo muticus	Endangered
Green-legged Partridge	Tropicoperdix chloropus	
Grey Peacock-Pheasant	Polyplectron bicalcaratum	
Mountain Bamboo Partridge	Bambusicola fytchii	
Chinese Bamboo Partridge	Bambusicola thoracicus	
Red Junglefowl	Gallus gallus	
Chinese Francolin	Francolinus pintadeanus	
Tibetan Snowcock	Tetraogallus tibetanus	
Himalayan Snowcock	Tetraogallus himalayensis	
King Quail	Synoicus chinensis	
Japanese Quail	Coturnix japonica	Near-threatened
PODICIPEDIFORMES: Podicipedidae
Little Grebe	Tachybaptus ruficollis	
Horned Grebe	Podiceps auritus	Vulnerable
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
CUCULIFORMES: Cuculidae
Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Green-billed Malkoha	Phaenicophaeus tristis	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Asian Emerald Cuckoo	Chrysococcyx maculatus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Banded Bay Cuckoo	Cacomantis sonneratii	
Plaintive Cuckoo	Cacomantis merulinus	
Fork-tailed Drongo-Cuckoo	Surniculus dicruroides	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	
Lesser Cuckoo	Cuculus poliocephalus	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Common Cuckoo	Cuculus canorus	
Oriental Cuckoo	Cuculus optatus	
COLUMBIFORMES: Columbidae
Barred Cuckoo-Dove	Macropygia unchall	
Little Cuckoo-Dove	Macropygia ruficeps	
Spotted Dove	Spilopelia chinensis	
Red Collared Dove	Streptopelia tranquebarica	
Oriental Turtle Dove	Streptopelia orientalis	
Eurasian Collared Dove	Streptopelia decaocto	
Burmese Collared Dove	Streptopelia xanthocycla	
Ashy Wood Pigeon	Columba pulchricollis	
Pale-capped Pigeon	Columba punicea	Vulnerable
Speckled Wood Pigeon	Columba hodgsonii	
Snow Pigeon	Columba leuconota	
Hill Pigeon	Columba rupestris	
Rock Dove	Columba livia	
Common Emerald Dove	Chalcophaps indica	
Orange-breasted Green Pigeon	Treron bicinctus	
Ashy-headed Green Pigeon	Treron phayrei	Near-threatened
Thick-billed Green Pigeon	Treron curvirostra	
Yellow-footed Green Pigeon	Treron phoenicopterus	
Yellow-vented Green Pigeon	Treron seimundi	Rare/Accidental
Pin-tailed Green Pigeon	Treron apicauda	
Wedge-tailed Green Pigeon	Treron sphenurus	
White-bellied Green Pigeon	Treron sieboldii	
Green Imperial Pigeon	Ducula aenea	Near-threatened
Mountain Imperial Pigeon	Ducula badia	
GRUIFORMES: Gruidae
Sandhill Crane	Antigone canadensis	
Sarus Crane	Antigone antigone	Vulnerable
Demoiselle Crane	Grus virgo	
Common Crane	Grus grus	
Black-necked Crane	Grus nigricollis	Near-threatened
GRUIFORMES: Rallidae
Water Rail	Rallus aquaticus	
Brown-cheeked Rail	Rallus indicus	
Slaty-breasted Rail	Lewinia striata	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Purple Swamphen	Porphyrio porphyrio	
White-browed Crake	Poliolimnas cinereus	Rare/Accidental
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
Slaty-legged Crake	Rallina eurizonoides	
Ruddy-breasted Crake	Zapornia fusca	
Brown Crake	Zapornia akool	
Baillon's Crake	Zapornia pusilla	
Black-tailed Crake	Zapornia bicolor	
CHARADRIIFORMES: Burhinidae
Great Stone-curlew	Esacus recurvirostris	Near-threatened
CHARADRIIFORMES: Recurvirostridae
Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
CHARADRIIFORMES: Ibidorhynchidae
Ibisbill	Ibidorhyncha struthersii	
CHARADRIIFORMES: Charadriidae
Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Common Ringed Plover	Charadrius hiaticula	
Long-billed Plover	Thinornis placidus	
Little Ringed Plover	Thinornis dubius	
Northern Lapwing	Vanellus vanellus	Near-threatened
River Lapwing	Vanellus duvaucelii	Near-threatened
Grey-headed Lapwing	Vanellus cinereus	
Red-wattled Lapwing	Vanellus indicus	
Oriental Plover	Anarhynchus veredus	
Tibetan Sand Plover	Anarhynchus atrifrons	
Kentish Plover	Anarhynchus alexandrinus	
CHARADRIIFORMES: Rostratulidae
Greater Painted-snipe	Rostratula benghalensis	
CHARADRIIFORMES: Jacanidae
Pheasant-tailed Jacana	Hydrophasianus chirurgus	
Bronze-winged Jacana	Metopidius indicus	
CHARADRIIFORMES: Scolopacidae
Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	Endangered
Eurasian Curlew	Numenius arquata	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Jack Snipe	Lymnocryptes minimus	
Eurasian Woodcock	Scolopax rusticola	
Wood Snipe	Gallinago nemoricola	Vulnerable
Solitary Snipe	Gallinago solitaria	
Swinhoe's Snipe	Gallinago megala	
Pin-tailed Snipe	Gallinago stenura	
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Red-necked Phalarope	Phalaropus lobatus	
Green Sandpiper	Tringa ochropus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Red-necked Stint	Calidris ruficollis	Near-threatened
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	
Dunlin	Calidris alpina	Near-threatened
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Little Stint	Calidris minuta	
CHARADRIIFORMES: Turnicidae
Yellow-legged Buttonquail	Turnix tanki	
Barred Buttonquail	Turnix suscitator	
Common Buttonquail	Turnix sylvaticus	
