ANSERIFORMES: Anatidae
Lesser Whistling Duck	Dendrocygna javanica	Rare/Accidental
Cotton Pygmy Goose	Nettapus coromandelianus	Rare/Accidental
Mute Swan	Cygnus olor	Rare/Accidental
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	Rare/Accidental
Brant Goose	Branta bernicla	
Canada Goose	Branta canadensis	Uncertain origin
Cackling Goose	Branta hutchinsii	Rare/Accidental
Bar-headed Goose	Anser indicus	Rare/Accidental
Greylag Goose	Anser anser	
Swan Goose	Anser cygnoides	Endangered
Lesser White-fronted Goose	Anser erythropus	Vulnerable
Greater White-fronted Goose	Anser albifrons	
Tundra Bean Goose	Anser serrirostris	
Taiga Bean Goose	Anser fabalis	
Mandarin Duck	Aix galericulata	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Long-tailed Duck	Clangula hyemalis	Rare/AccidentalVulnerable
Common Goldeneye	Bucephala clangula	Rare/Accidental
Smew	Mergellus albellus	
Red-breasted Merganser	Mergus serrator	
Scaly-sided Merganser	Mergus squamatus	Rare/AccidentalEndangered
Common Merganser	Mergus merganser	Rare/Accidental
Red-crested Pochard	Netta rufina	Rare/Accidental
Ferruginous Duck	Aythya nyroca	Rare/AccidentalNear-threatened
Baer's Pochard	Aythya baeri	Critically endangered
Common Pochard	Aythya ferina	Rare/AccidentalVulnerable
Canvasback	Aythya valisineria	
Ring-necked Duck	Aythya collaris	Rare/Accidental
Tufted Duck	Aythya fuligula	
Lesser Scaup	Aythya affinis	Rare/Accidental
Greater Scaup	Aythya marila	
Baikal Teal	Sibirionetta formosa	Rare/Accidental
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Falcated Duck	Mareca falcata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	
Philippine Duck	Anas luzonica	Rare/AccidentalVulnerable
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
GALLIFORMES: Phasianidae
Taiwan Partridge	Arborophila crudigularis	Endemic
Mikado Pheasant	Syrmaticus mikado	Endemic
Common Pheasant	Phasianus colchicus	
Swinhoe's Pheasant	Lophura swinhoii	EndemicNear-threatened
Taiwan Bamboo Partridge	Bambusicola sonorivox	Endemic
King Quail	Synoicus chinensis	
Japanese Quail	Coturnix japonica	Near-threatened
PHOENICOPTERIFORMES: Phoenicopteridae
Greater Flamingo	Phoenicopterus roseus	Introduced species
PODICIPEDIFORMES: Podicipedidae
Little Grebe	Tachybaptus ruficollis	
Horned Grebe	Podiceps auritus	Vulnerable
Red-necked Grebe	Podiceps grisegena	Rare/Accidental
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
CUCULIFORMES: Cuculidae
Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Chestnut-winged Cuckoo	Clamator coromandus	Rare/Accidental
Jacobin Cuckoo	Clamator jacobinus	Rare/Accidental
Asian Koel	Eudynamys scolopaceus	Rare/Accidental
Horsfield's Bronze Cuckoo	Chalcites basalis	Rare/Accidental
Plaintive Cuckoo	Cacomantis merulinus	Rare/Accidental
