ANSERIFORMES: Anatidae
Lesser Whistling Duck	Dendrocygna javanica	
Cotton Pygmy Goose	Nettapus coromandelianus	
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Red-breasted Goose	Branta ruficollis	Rare/AccidentalVulnerable
Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Swan Goose	Anser cygnoides	Endangered
Lesser White-fronted Goose	Anser erythropus	Vulnerable
Greater White-fronted Goose	Anser albifrons	
Tundra Bean Goose	Anser serrirostris	
Taiga Bean Goose	Anser fabalis	
Mandarin Duck	Aix galericulata	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Long-tailed Duck	Clangula hyemalis	Rare/AccidentalVulnerable
Stejneger's Scoter	Melanitta stejnegeri	
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Red-breasted Merganser	Mergus serrator	
Scaly-sided Merganser	Mergus squamatus	Endangered
Common Merganser	Mergus merganser	
Red-crested Pochard	Netta rufina	
Ferruginous Duck	Aythya nyroca	Near-threatened
Baer's Pochard	Aythya baeri	Critically endangered
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Falcated Duck	Mareca falcata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Eastern Spot-billed Duck	Anas zonorhyncha	
Indian Spot-billed Duck	Anas poecilorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
GALLIFORMES: Phasianidae
Hill Partridge	Arborophila torqueola	
Sichuan Partridge	Arborophila rufipectus	EndemicVulnerable
Snow Partridge	Lerwa lerwa	
Blood Pheasant	Ithaginis cruentus	
Temminck's Tragopan	Tragopan temminckii	
Cabot's Tragopan	Tragopan caboti	Endemic (country/region)Vulnerable
Chestnut-throated Monal-Partridge	Tetraophasis obscurus	
Buff-throated Monal-Partridge	Tetraophasis szechenyii	
Sclater's Monal	Lophophorus sclateri	
Chinese Monal	Lophophorus lhuysii	Vulnerable
Koklass Pheasant	Pucrasia macrolopha	
Chinese Grouse	Tetrastes sewerzowi	Near-threatened
Tibetan Partridge	Perdix hodgsoniae	
Reeves's Pheasant	Syrmaticus reevesii	Vulnerable
Golden Pheasant	Chrysolophus pictus	Endemic (country/region)
Lady Amherst's Pheasant	Chrysolophus amherstiae	
Common Pheasant	Phasianus colchicus	
Tibetan Eared Pheasant	Crossoptilon harmani	
White Eared Pheasant	Crossoptilon crossoptilon	
Blue Eared Pheasant	Crossoptilon auritum	
Silver Pheasant	Lophura nycthemera	
Green Peafowl	Pavo muticus	Endangered
Mountain Bamboo Partridge	Bambusicola fytchii	
Chinese Bamboo Partridge	Bambusicola thoracicus	
Chinese Francolin	Francolinus pintadeanus	
Tibetan Snowcock	Tetraogallus tibetanus	
Himalayan Snowcock	Tetraogallus himalayensis	
Japanese Quail	Coturnix japonica	Near-threatened
Przevalski's Partridge	Alectoris magna	Endemic (country/region)
PODICIPEDIFORMES: Podicipedidae
Little Grebe	Tachybaptus ruficollis	
Horned Grebe	Podiceps auritus	Vulnerable
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
OTIDIFORMES: Otididae
Great Bustard	Otis tarda	Endangered
CUCULIFORMES: Cuculidae
Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Green-billed Malkoha	Phaenicophaeus tristis	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Asian Emerald Cuckoo	Chrysococcyx maculatus	
Banded Bay Cuckoo	Cacomantis sonneratii	
Plaintive Cuckoo	Cacomantis merulinus	
Fork-tailed Drongo-Cuckoo	Surniculus dicruroides	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Northern Hawk-Cuckoo	Hierococcyx hyperythrus	
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	
Lesser Cuckoo	Cuculus poliocephalus	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Common Cuckoo	Cuculus canorus	
Oriental Cuckoo	Cuculus optatus	
PTEROCLIFORMES: Pteroclidae
Pallas's Sandgrouse	Syrrhaptes paradoxus	
Tibetan Sandgrouse	Syrrhaptes tibetanus	
COLUMBIFORMES: Columbidae
Barred Cuckoo-Dove	Macropygia unchall	
Spotted Dove	Spilopelia chinensis	
Red Collared Dove	Streptopelia tranquebarica	
Oriental Turtle Dove	Streptopelia orientalis	
Eurasian Collared Dove	Streptopelia decaocto	
Ashy Wood Pigeon	Columba pulchricollis	
Speckled Wood Pigeon	Columba hodgsonii	
Snow Pigeon	Columba leuconota	
Hill Pigeon	Columba rupestris	
Rock Dove	Columba livia	Introduced species
Pin-tailed Green Pigeon	Treron apicauda	
Wedge-tailed Green Pigeon	Treron sphenurus	
White-bellied Green Pigeon	Treron sieboldii	
GRUIFORMES: Gruidae
Demoiselle Crane	Grus virgo	
Common Crane	Grus grus	
Black-necked Crane	Grus nigricollis	Near-threatened
GRUIFORMES: Rallidae
Water Rail	Rallus aquaticus	
Brown-cheeked Rail	Rallus indicus	
Slaty-breasted Rail	Lewinia striata	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Purple Swamphen	Porphyrio porphyrio	
Swinhoe's Rail	Coturnicops exquisitus	
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
Slaty-legged Crake	Rallina eurizonoides	
Ruddy-breasted Crake	Zapornia fusca	
Black-tailed Crake	Zapornia bicolor	
CHARADRIIFORMES: Recurvirostridae
Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
CHARADRIIFORMES: Ibidorhynchidae
Ibisbill	Ibidorhyncha struthersii	
CHARADRIIFORMES: Charadriidae
Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Long-billed Plover	Thinornis placidus	
Little Ringed Plover	Thinornis dubius	
Northern Lapwing	Vanellus vanellus	Near-threatened
Grey-headed Lapwing	Vanellus cinereus	
Oriental Plover	Anarhynchus veredus	
Tibetan Sand Plover	Anarhynchus atrifrons	
Siberian Sand Plover	Anarhynchus mongolus	Endangered
Greater Sand Plover	Anarhynchus leschenaultii	
Kentish Plover	Anarhynchus alexandrinus	
CHARADRIIFORMES: Rostratulidae
Greater Painted-snipe	Rostratula benghalensis	
CHARADRIIFORMES: Jacanidae
Pheasant-tailed Jacana	Hydrophasianus chirurgus	
CHARADRIIFORMES: Scolopacidae
Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	Endangered
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Eurasian Woodcock	Scolopax rusticola	
Wood Snipe	Gallinago nemoricola	Vulnerable
Solitary Snipe	Gallinago solitaria	
Swinhoe's Snipe	Gallinago megala	
Pin-tailed Snipe	Gallinago stenura	
Common Snipe	Gallinago gallinago	
Common Sandpiper	Actitis hypoleucos	
Red-necked Phalarope	Phalaropus lobatus	
Green Sandpiper	Tringa ochropus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Ruff	Calidris pugnax	
Sharp-tailed Sandpiper	Calidris acuminata	Vulnerable
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Red-necked Stint	Calidris ruficollis	Near-threatened
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Near-threatened
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Little Stint	Calidris minuta	
White-rumped Sandpiper	Calidris fuscicollis	Rare/AccidentalVulnerable
CHARADRIIFORMES: Turnicidae
Yellow-legged Buttonquail	Turnix tanki	
Barred Buttonquail	Turnix suscitator	
Common Buttonquail	Turnix sylvaticus	
CHARADRIIFORMES: Glareolidae
Oriental Pratincole	Glareola maldivarum	
CHARADRIIFORMES: Stercorariidae
Parasitic Jaeger	Stercorarius parasiticus	
CHARADRIIFORMES: Laridae
Little Tern	Sternula albifrons	
Gull-billed Tern	Gelochelidon nilotica	
Whiskered Tern	Chlidonias hybrida	
White-winged Tern	Chlidonias leucopterus	
Common Tern	Sterna hirundo	
Little Gull	Hydrocoloeus minutus	
Black-legged Kittiwake	Rissa tridactyla	Vulnerable
