ANSERIFORMES: Anatidae
Mute Swan	Cygnus olor	
Whooper Swan	Cygnus cygnus	
Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Lesser White-fronted Goose	Anser erythropus	Vulnerable
Tundra Bean Goose	Anser serrirostris	
Taiga Bean Goose	Anser fabalis	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Scaly-sided Merganser	Mergus squamatus	Endangered
Common Merganser	Mergus merganser	
Red-crested Pochard	Netta rufina	
Ferruginous Duck	Aythya nyroca	Near-threatened
Baer's Pochard	Aythya baeri	Critically endangered
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
GALLIFORMES: Phasianidae
Blood Pheasant	Ithaginis cruentus	
Daurian Partridge	Perdix dauurica	
Golden Pheasant	Chrysolophus pictus	Endemic (country/region)
Common Pheasant	Phasianus colchicus	
Blue Eared Pheasant	Crossoptilon auritum	
Japanese Quail	Coturnix japonica	Near-threatened
Chukar Partridge	Alectoris chukar	
Przevalski's Partridge	Alectoris magna	Endemic (country/region)
PODICIPEDIFORMES: Podicipedidae
Little Grebe	Tachybaptus ruficollis	
Great Crested Grebe	Podiceps cristatus	
OTIDIFORMES: Otididae
Great Bustard	Otis tarda	Endangered
CUCULIFORMES: Cuculidae
Chestnut-winged Cuckoo	Clamator coromandus	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Common Cuckoo	Cuculus canorus	
PTEROCLIFORMES: Pteroclidae
Pallas's Sandgrouse	Syrrhaptes paradoxus	
COLUMBIFORMES: Columbidae
Spotted Dove	Spilopelia chinensis	
Red Collared Dove	Streptopelia tranquebarica	
Oriental Turtle Dove	Streptopelia orientalis	
Eurasian Collared Dove	Streptopelia decaocto	
Speckled Wood Pigeon	Columba hodgsonii	
Hill Pigeon	Columba rupestris	
Rock Dove	Columba livia	Introduced species
GRUIFORMES: Gruidae
Demoiselle Crane	Grus virgo	
Common Crane	Grus grus	
GRUIFORMES: Rallidae
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
CHARADRIIFORMES: Recurvirostridae
Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
CHARADRIIFORMES: Ibidorhynchidae
Ibisbill	Ibidorhyncha struthersii	
CHARADRIIFORMES: Charadriidae
Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Long-billed Plover	Thinornis placidus	
Little Ringed Plover	Thinornis dubius	
Northern Lapwing	Vanellus vanellus	Near-threatened
Grey-headed Lapwing	Vanellus cinereus	
Greater Sand Plover	Anarhynchus leschenaultii	
Kentish Plover	Anarhynchus alexandrinus	
CHARADRIIFORMES: Scolopacidae
Eurasian Curlew	Numenius arquata	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Eurasian Woodcock	Scolopax rusticola	
Solitary Snipe	Gallinago solitaria	
Common Snipe	Gallinago gallinago	
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	
Dunlin	Calidris alpina	Near-threatened
CHARADRIIFORMES: Glareolidae
Oriental Pratincole	Glareola maldivarum	
CHARADRIIFORMES: Laridae
Little Tern	Sternula albifrons	
Gull-billed Tern	Gelochelidon nilotica	
Whiskered Tern	Chlidonias hybrida	
White-winged Tern	Chlidonias leucopterus	
Common Tern	Sterna hirundo	
Black-headed Gull	Chroicocephalus ridibundus	
Brown-headed Gull	Chroicocephalus brunnicephalus	
Pallas's Gull	Ichthyaetus ichthyaetus	
Common Gull	Larus canus	
Mongolian Gull	Larus mongolicus	
CICONIIFORMES: Ciconiidae
Black Stork	Ciconia nigra	
SULIFORMES: Phalacrocoracidae
Great Cormorant	Phalacrocorax carbo	
PELECANIFORMES: Threskiornithidae
Eurasian Spoonbill	Platalea leucorodia	
PELECANIFORMES: Pelecanidae
Dalmatian Pelican	Pelecanus crispus	Near-threatened
PELECANIFORMES: Ardeidae
Eurasian Bittern	Botaurus stellaris	
Yellow Bittern	Botaurus sinensis	
Little Egret	Egretta garzetta	
Black-crowned Night Heron	Nycticorax nycticorax	
Chinese Pond Heron	Ardeola bacchus	
Great Egret	Ardea alba	
Eastern Cattle Egret	Ardea coromanda	
Purple Heron	Ardea purpurea	
Grey Heron	Ardea cinerea	
CAPRIMULGIFORMES: Caprimulgidae
Grey Nightjar	Caprimulgus jotaka	
APODIFORMES: Apodidae
Fork-tailed Swift	Apus pacificus	
Common Swift	Apus apus	
STRIGIFORMES: Strigidae
Little Owl	Athene noctua	
Short-eared Owl	Asio flammeus	
Long-eared Owl	Asio otus	
Eurasian Eagle-Owl	Bubo bubo	
Himalayan Owl	Strix nivicolum	
ACCIPITRIFORMES: Pandionidae
Osprey	Pandion haliaetus	
ACCIPITRIFORMES: Accipitridae
Bearded Vulture	Gypaetus barbatus	Near-threatened
Crested Honey Buzzard	Pernis ptilorhynchus	
Cinereous Vulture	Aegypius monachus	Near-threatened
Himalayan Vulture	Gyps himalayensis	Near-threatened
Short-toed Snake Eagle	Circaetus gallicus	
Greater Spotted Eagle	Clanga clanga	Vulnerable
Booted Eagle	Hieraaetus pennatus	
Steppe Eagle	Aquila nipalensis	Endangered
Eastern Imperial Eagle	Aquila heliaca	Vulnerable
Golden Eagle	Aquila chrysaetos	
Besra	Tachyspiza virgata	
Eurasian Sparrowhawk	Accipiter nisus	
Eurasian Goshawk	Astur gentilis	
Hen Harrier	Circus cyaneus	
Eastern Marsh Harrier	Circus spilonotus	
Black Kite	Milvus migrans	
Pallas's Fish Eagle	Haliaeetus leucoryphus	Endangered
White-tailed Eagle	Haliaeetus albicilla	
Upland Buzzard	Buteo hemilasius	
Long-legged Buzzard	Buteo rufinus	
Eastern Buzzard	Buteo japonicus	
BUCEROTIFORMES: Upupidae
Common Hoopoe	Upupa epops	
CORACIIFORMES: Alcedinidae
Common Kingfisher	Alcedo atthis	
Black-capped Kingfisher	Halcyon pileata	Vulnerable
PICIFORMES: Picidae
Eurasian Wryneck	Jynx torquilla	
Grey-headed Woodpecker	Picus canus	
Black Woodpecker	Dryocopus martius	
Grey-capped Pygmy Woodpecker	Yungipicus canicapillus	
Great Spotted Woodpecker	Dendrocopos major	
FALCONIFORMES: Falconidae
Lesser Kestrel	Falco naumanni	
Common Kestrel	Falco tinnunculus	
Amur Falcon	Falco amurensis	
Eurasian Hobby	Falco subbuteo	
Peregrine Falcon	Falco peregrinus	
Saker Falcon	Falco cherrug	Endangered
PASSERIFORMES: Campephagidae
Long-tailed Minivet	Pericrocotus ethologus	
Black-winged Cuckooshrike	Lalage melaschistos	
PASSERIFORMES: Oriolidae
Black-naped Oriole	Oriolus chinensis	
PASSERIFORMES: Dicruridae
Ashy Drongo	Dicrurus leucophaeus	
Black Drongo	Dicrurus macrocercus	
PASSERIFORMES: Monarchidae
Amur Paradise Flycatcher	Terpsiphone incei	
PASSERIFORMES: Laniidae
Great Grey Shrike	Lanius excubitor	
Chinese Grey Shrike	Lanius sphenocercus	
Giant Grey Shrike	Lanius giganteus	
Northern Shrike	Lanius borealis	
Tiger Shrike	Lanius tigrinus	
Isabelline Shrike	Lanius isabellinus	
Long-tailed Shrike	Lanius schach	
Brown Shrike	Lanius cristatus	
Grey-backed Shrike	Lanius tephronotus	
Bull-headed Shrike	Lanius bucephalus	
PASSERIFORMES: Corvidae
Alpine Chough	Pyrrhocorax graculus	
Red-billed Chough	Pyrrhocorax pyrrhocorax	
Red-billed Blue Magpie	Urocissa erythroryncha	
Azure-winged Magpie	Cyanopica cyanus	
Eurasian Jay	Garrulus glandarius	
Oriental Magpie	Pica serica	
Eurasian Magpie	Pica pica	
Mongolian Ground Jay	Podoces hendersoni	
Southern Nutcracker	Nucifraga hemispila	
Daurian Jackdaw	Coloeus dauuricus	
Rook	Corvus frugilegus	
Northern Raven	Corvus corax	
Carrion Crow	Corvus corone	
Large-billed Crow	Corvus macrorhynchos	
PASSERIFORMES: Paridae
Fire-capped Tit	Cephalopyrus flammiceps	
Green-backed Tit	Parus monticolus	
Cinereous Tit	Parus cinereus	
Yellow-bellied Tit	Periparus venustulus	Endemic (country/region)
Coal Tit	Periparus ater	
White-browed Tit	Poecile superciliosus	Endemic (country/region)
Marsh Tit	Poecile palustris	
Willow Tit	Poecile montanus	
PASSERIFORMES: Panuridae
Bearded Reedling	Panurus biarmicus	
PASSERIFORMES: Alaudidae
Oriental Skylark	Alauda gulgula	
Eurasian Skylark	Alauda arvensis	
Crested Lark	Galerida cristata	
Horned Lark	Eremophila alpestris	
Mongolian Short-toed Lark	Calandrella dukhunensis	
Hume's Short-toed Lark	Calandrella acutirostris	
Mongolian Lark	Melanocorypha mongolica	
Asian Short-toed Lark	Alaudala cheleensis	
PASSERIFORMES: Acrocephalidae
Thick-billed Warbler	Arundinax aedon	
Oriental Reed Warbler	Acrocephalus orientalis	
PASSERIFORMES: Locustellidae
Gray's Grasshopper Warbler	Helopsaltes fasciolatus	
Pallas's Grasshopper Warbler	Helopsaltes certhiola	
Lanceolated Warbler	Locustella lanceolata	
Brown Bush Warbler	Locustella luteoventris	
Chinese Bush Warbler	Locustella tacsanowskia	
PASSERIFORMES: Hirundinidae
Sand Martin	Riparia riparia	
Pale Martin	Riparia diluta	
Eurasian Crag Martin	Ptyonoprogne rupestris	
Barn Swallow	Hirundo rustica	
Asian House Martin	Delichon dasypus	
Eastern Red-rumped Swallow	Cecropis daurica	
PASSERIFORMES: Aegithalidae
Crested Tit-warbler	Leptopoecile elegans	Endemic (country/region)
Long-tailed Tit	Aegithalos caudatus	
Silver-throated Bushtit	Aegithalos glaucogularis	Endemic (country/region)
Sooty Bushtit	Aegithalos fuliginosus	Endemic (country/region)
PASSERIFORMES: Cettiidae
Chestnut-crowned Bush Warbler	Cettia major	
Manchurian Bush Warbler	Horornis canturians	
Brown-flanked Bush Warbler	Horornis fortipes	
Yellow-bellied Bush Warbler	Horornis acanthizoides	
PASSERIFORMES: Phylloscopidae
Buff-barred Warbler	Phylloscopus pulcher	
Yellow-browed Warbler	Phylloscopus inornatus	
Hume's Leaf Warbler	Phylloscopus humei	
Chinese Leaf Warbler	Phylloscopus yunnanensis	Breeding endemic
Pallas's Leaf Warbler	Phylloscopus proregulus	
Gansu Leaf Warbler	Phylloscopus kansuensis	Endemic (country/region)
Lemon-rumped Warbler	Phylloscopus chloronotus	
Radde's Warbler	Phylloscopus schwarzi	
Yellow-streaked Warbler	Phylloscopus armandii	
Tickell's Leaf Warbler	Phylloscopus affinis	
Dusky Warbler	Phylloscopus fuscatus	
Buff-throated Warbler	Phylloscopus subaffinis	
Martens's Warbler	Phylloscopus omeiensis	Endemic (country/region)
Bianchi's Warbler	Phylloscopus valentini	
Greenish Warbler	Phylloscopus trochiloides	
Large-billed Leaf Warbler	Phylloscopus magnirostris	
Arctic Warbler	Phylloscopus borealis	
Sulphur-breasted Warbler	Phylloscopus ricketti	Breeding endemic
Claudia's Leaf Warbler	Phylloscopus claudiae	
PASSERIFORMES: Pycnonotidae
