ANSERIFORMES: Anatidae
White-headed Duck	Oxyura leucocephala	Endangered
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Swan Goose	Anser cygnoides	Endangered
Lesser White-fronted Goose	Anser erythropus	Vulnerable
Greater White-fronted Goose	Anser albifrons	
Tundra Bean Goose	Anser serrirostris	
Taiga Bean Goose	Anser fabalis	
Mandarin Duck	Aix galericulata	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Long-tailed Duck	Clangula hyemalis	Vulnerable
Stejneger's Scoter	Melanitta stejnegeri	
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Red-breasted Merganser	Mergus serrator	
Common Merganser	Mergus merganser	
Marbled Duck	Marmaronetta angustirostris	Rare/AccidentalNear-threatened
Red-crested Pochard	Netta rufina	
Ferruginous Duck	Aythya nyroca	Near-threatened
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
GALLIFORMES: Phasianidae
Snow Partridge	Lerwa lerwa	
Chestnut-throated Monal-Partridge	Tetraophasis obscurus	
Buff-throated Monal-Partridge	Tetraophasis szechenyii	
Chinese Grouse	Tetrastes sewerzowi	Near-threatened
Hazel Grouse	Tetrastes bonasia	
Rock Ptarmigan	Lagopus muta	
Willow Ptarmigan	Lagopus lagopus	
Western Capercaillie	Tetrao urogallus	
Black Grouse	Lyrurus tetrix	
Tibetan Partridge	Perdix hodgsoniae	
Daurian Partridge	Perdix dauurica	
Grey Partridge	Perdix perdix	
Common Pheasant	Phasianus colchicus	
Tibetan Snowcock	Tetraogallus tibetanus	
Altai Snowcock	Tetraogallus altaicus	
Himalayan Snowcock	Tetraogallus himalayensis	
Common Quail	Coturnix coturnix	
Chukar Partridge	Alectoris chukar	
PHOENICOPTERIFORMES: Phoenicopteridae
Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
PODICIPEDIFORMES: Podicipedidae
Little Grebe	Tachybaptus ruficollis	
Horned Grebe	Podiceps auritus	Vulnerable
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
OTIDIFORMES: Otididae
Great Bustard	Otis tarda	Endangered
Asian Houbara	Chlamydotis macqueenii	Vulnerable
Little Bustard	Tetrax tetrax	Near-threatened
CUCULIFORMES: Cuculidae
Common Cuckoo	Cuculus canorus	
Oriental Cuckoo	Cuculus optatus	
PTEROCLIFORMES: Pteroclidae
Pallas's Sandgrouse	Syrrhaptes paradoxus	
Tibetan Sandgrouse	Syrrhaptes tibetanus	
Black-bellied Sandgrouse	Pterocles orientalis	
COLUMBIFORMES: Columbidae
Spotted Dove	Spilopelia chinensis	
Laughing Dove	Spilopelia senegalensis	
Red Collared Dove	Streptopelia tranquebarica	
Oriental Turtle Dove	Streptopelia orientalis	
European Turtle Dove	Streptopelia turtur	Vulnerable
Eurasian Collared Dove	Streptopelia decaocto	
Common Wood Pigeon	Columba palumbus	
Snow Pigeon	Columba leuconota	
Hill Pigeon	Columba rupestris	
Rock Dove	Columba livia	
Stock Dove	Columba oenas	
Yellow-eyed Pigeon	Columba eversmanni	Vulnerable
GRUIFORMES: Gruidae
Siberian Crane	Leucogeranus leucogeranus	Critically endangered
White-naped Crane	Antigone vipio	Vulnerable
Demoiselle Crane	Grus virgo	
Common Crane	Grus grus	
Black-necked Crane	Grus nigricollis	Near-threatened
GRUIFORMES: Rallidae
Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Little Crake	Zapornia parva	
Baillon's Crake	Zapornia pusilla	
CHARADRIIFORMES: Burhinidae
Eurasian Stone-curlew	Burhinus oedicnemus	Rare/Accidental
CHARADRIIFORMES: Recurvirostridae
Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
CHARADRIIFORMES: Ibidorhynchidae
Ibisbill	Ibidorhyncha struthersii	
CHARADRIIFORMES: Haematopodidae
Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
CHARADRIIFORMES: Charadriidae
Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Eurasian Dotterel	Eudromias morinellus	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Thinornis dubius	
Northern Lapwing	Vanellus vanellus	Near-threatened
Grey-headed Lapwing	Vanellus cinereus	
Red-wattled Lapwing	Vanellus indicus	
Sociable Lapwing	Vanellus gregarius	Rare/AccidentalCritically endangered
White-tailed Lapwing	Vanellus leucurus	Rare/Accidental
Caspian Plover	Anarhynchus asiaticus	
Oriental Plover	Anarhynchus veredus	
Tibetan Sand Plover	Anarhynchus atrifrons	
Siberian Sand Plover	Anarhynchus mongolus	Endangered
Greater Sand Plover	Anarhynchus leschenaultii	
Kentish Plover	Anarhynchus alexandrinus	
CHARADRIIFORMES: Scolopacidae
