ANSERIFORMES: Anatidae
Lesser Whistling Duck	Dendrocygna javanica	
Cotton Pygmy Goose	Nettapus coromandelianus	
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Brant Goose	Branta bernicla	
Red-breasted Goose	Branta ruficollis	Rare/AccidentalVulnerable
Barnacle Goose	Branta leucopsis	Rare/Accidental
Cackling Goose	Branta hutchinsii	Rare/Accidental
Bar-headed Goose	Anser indicus	
Snow Goose	Anser caerulescens	Rare/Accidental
Greylag Goose	Anser anser	
Swan Goose	Anser cygnoides	Endangered
Lesser White-fronted Goose	Anser erythropus	Vulnerable
Greater White-fronted Goose	Anser albifrons	
Tundra Bean Goose	Anser serrirostris	
Taiga Bean Goose	Anser fabalis	
Mandarin Duck	Aix galericulata	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Black Scoter	Melanitta americana	Near-threatened
Stejneger's Scoter	Melanitta stejnegeri	
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Red-breasted Merganser	Mergus serrator	
Scaly-sided Merganser	Mergus squamatus	Endangered
Common Merganser	Mergus merganser	
Red-crested Pochard	Netta rufina	
Ferruginous Duck	Aythya nyroca	Near-threatened
Baer's Pochard	Aythya baeri	Critically endangered
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Falcated Duck	Mareca falcata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
GALLIFORMES: Phasianidae
White-necklaced Partridge	Arborophila gingica	Endemic (country/region)Near-threatened
Cabot's Tragopan	Tragopan caboti	Endemic (country/region)Vulnerable
Koklass Pheasant	Pucrasia macrolopha	
Reeves's Pheasant	Syrmaticus reevesii	Endemic (country/region)Vulnerable
Elliot's Pheasant	Syrmaticus ellioti	Endemic (country/region)
Common Pheasant	Phasianus colchicus	
Silver Pheasant	Lophura nycthemera	
Chinese Bamboo Partridge	Bambusicola thoracicus	
Chinese Francolin	Francolinus pintadeanus	
King Quail	Synoicus chinensis	
Japanese Quail	Coturnix japonica	Near-threatened
PHOENICOPTERIFORMES: Phoenicopteridae
Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
PODICIPEDIFORMES: Podicipedidae
Little Grebe	Tachybaptus ruficollis	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
OTIDIFORMES: Otididae
Great Bustard	Otis tarda	Endangered
CUCULIFORMES: Cuculidae
Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Green-billed Malkoha	Phaenicophaeus tristis	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Plaintive Cuckoo	Cacomantis merulinus	
Fork-tailed Drongo-Cuckoo	Surniculus dicruroides	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Northern Hawk-Cuckoo	Hierococcyx hyperythrus	
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	
Lesser Cuckoo	Cuculus poliocephalus	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Common Cuckoo	Cuculus canorus	
Oriental Cuckoo	Cuculus optatus	
COLUMBIFORMES: Columbidae
Barred Cuckoo-Dove	Macropygia unchall	
Spotted Dove	Spilopelia chinensis	
Red Collared Dove	Streptopelia tranquebarica	
Oriental Turtle Dove	Streptopelia orientalis	
Eurasian Collared Dove	Streptopelia decaocto	
Hill Pigeon	Columba rupestris	
Rock Dove	Columba livia	
White-bellied Green Pigeon	Treron sieboldii	
GRUIFORMES: Gruidae
Siberian Crane	Leucogeranus leucogeranus	Critically endangered
Sandhill Crane	Antigone canadensis	
White-naped Crane	Antigone vipio	Vulnerable
Demoiselle Crane	Grus virgo	
Red-crowned Crane	Grus japonensis	Vulnerable
Common Crane	Grus grus	
Hooded Crane	Grus monacha	Vulnerable
GRUIFORMES: Rallidae
Brown-cheeked Rail	Rallus indicus	
Slaty-breasted Rail	Lewinia striata	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Swinhoe's Rail	Coturnicops exquisitus	
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
Slaty-legged Crake	Rallina eurizonoides	
Ruddy-breasted Crake	Zapornia fusca	
Brown Crake	Zapornia akool	
Baillon's Crake	Zapornia pusilla	
CHARADRIIFORMES: Recurvirostridae
Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
CHARADRIIFORMES: Haematopodidae
Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
CHARADRIIFORMES: Charadriidae
Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Common Ringed Plover	Charadrius hiaticula	
Long-billed Plover	Thinornis placidus	
Little Ringed Plover	Thinornis dubius	
Northern Lapwing	Vanellus vanellus	Near-threatened
Grey-headed Lapwing	Vanellus cinereus	
Greater Sand Plover	Anarhynchus leschenaultii	
White-faced Plover	Anarhynchus dealbatus	
Kentish Plover	Anarhynchus alexandrinus	
CHARADRIIFORMES: Rostratulidae
Greater Painted-snipe	Rostratula benghalensis	
CHARADRIIFORMES: Jacanidae
Pheasant-tailed Jacana	Hydrophasianus chirurgus	
CHARADRIIFORMES: Scolopacidae
Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	Endangered
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Long-billed Dowitcher	Limnodromus scolopaceus	Rare/AccidentalNear-threatened
Jack Snipe	Lymnocryptes minimus	
Eurasian Woodcock	Scolopax rusticola	
Solitary Snipe	Gallinago solitaria	
Swinhoe's Snipe	Gallinago megala	
Pin-tailed Snipe	Gallinago stenura	
Common Snipe	Gallinago gallinago	
Common Sandpiper	Actitis hypoleucos	
Red-necked Phalarope	Phalaropus lobatus	
Green Sandpiper	Tringa ochropus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
Ruff	Calidris pugnax	
Sharp-tailed Sandpiper	Calidris acuminata	Vulnerable
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Red-necked Stint	Calidris ruficollis	Near-threatened
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	
Dunlin	Calidris alpina	Near-threatened
CHARADRIIFORMES: Turnicidae
Yellow-legged Buttonquail	Turnix tanki	
Barred Buttonquail	Turnix suscitator	
CHARADRIIFORMES: Glareolidae
Oriental Pratincole	Glareola maldivarum	
CHARADRIIFORMES: Laridae
Little Tern	Sternula albifrons	
Caspian Tern	Hydroprogne caspia	
Gull-billed Tern	Gelochelidon nilotica	
Whiskered Tern	Chlidonias hybrida	
White-winged Tern	Chlidonias leucopterus	
Common Tern	Sterna hirundo	
Saunders's Gull	Saundersilarus saundersi	Vulnerable
Slender-billed Gull	Chroicocephalus genei	
Black-headed Gull	Chroicocephalus ridibundus	
Brown-headed Gull	Chroicocephalus brunnicephalus	
Black-tailed Gull	Larus crassirostris	
Common Gull	Larus canus	
Vega Gull	Larus vegae	
Mongolian Gull	Larus mongolicus	
Lesser Black-backed Gull	Larus fuscus	
CICONIIFORMES: Ciconiidae
Asian Openbill	Anastomus oscitans	
Painted Stork	Mycteria leucocephala	
Black Stork	Ciconia nigra	
Oriental Stork	Ciconia boyciana	Endangered
SULIFORMES: Phalacrocoracidae
Great Cormorant	Phalacrocorax carbo	
PELECANIFORMES: Threskiornithidae
Glossy Ibis	Plegadis falcinellus	
Crested Ibis	Nipponia nippon	Endangered
Eurasian Spoonbill	Platalea leucorodia	
Black-faced Spoonbill	Platalea minor	Endangered
Black-headed Ibis	Threskiornis melanocephalus	
PELECANIFORMES: Pelecanidae
Dalmatian Pelican	Pelecanus crispus	Near-threatened
PELECANIFORMES: Ardeidae
Eurasian Bittern	Botaurus stellaris	
Black Bittern	Botaurus flavicollis	
Cinnamon Bittern	Botaurus cinnamomeus	
Von Schrenck's Bittern	Botaurus eurhythmus	
Yellow Bittern	Botaurus sinensis	
Japanese Night Heron	Gorsachius goisagi	Vulnerable
White-eared Night Heron	Oroanassa magnifica	Endangered
Chinese Egret	Egretta eulophotes	Vulnerable
Little Egret	Egretta garzetta	
Black-crowned Night Heron	Nycticorax nycticorax	
Little Heron	Butorides atricapilla	
Chinese Pond Heron	Ardeola bacchus	
