ANSERIFORMES: Anatidae
Lesser Whistling Duck	Dendrocygna javanica	
Cotton Pygmy Goose	Nettapus coromandelianus	
Greylag Goose	Anser anser	
Mandarin Duck	Aix galericulata	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Common Merganser	Mergus merganser	
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Falcated Duck	Mareca falcata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Eastern Spot-billed Duck	Anas zonorhyncha	
Indian Spot-billed Duck	Anas poecilorhyncha	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
GALLIFORMES: Phasianidae
Hainan Partridge	Arborophila ardens	EndemicVulnerable
Silver Pheasant	Lophura nycthemera	
Hainan Peacock-Pheasant	Polyplectron katsumatae	EndemicEndangered
Red Junglefowl	Gallus gallus	
Chinese Francolin	Francolinus pintadeanus	
King Quail	Synoicus chinensis	
Japanese Quail	Coturnix japonica	Near-threatened
PHOENICOPTERIFORMES: Phoenicopteridae
Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
PODICIPEDIFORMES: Podicipedidae
Little Grebe	Tachybaptus ruficollis	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
CUCULIFORMES: Cuculidae
Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Green-billed Malkoha	Phaenicophaeus tristis	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Asian Emerald Cuckoo	Chrysococcyx maculatus	
Plaintive Cuckoo	Cacomantis merulinus	
Fork-tailed Drongo-Cuckoo	Surniculus dicruroides	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	
Lesser Cuckoo	Cuculus poliocephalus	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Common Cuckoo	Cuculus canorus	
COLUMBIFORMES: Columbidae
Barred Cuckoo-Dove	Macropygia unchall	
Spotted Dove	Spilopelia chinensis	
Red Collared Dove	Streptopelia tranquebarica	
Oriental Turtle Dove	Streptopelia orientalis	
Pale-capped Pigeon	Columba punicea	Vulnerable
Rock Dove	Columba livia	
Common Emerald Dove	Chalcophaps indica	
Orange-breasted Green Pigeon	Treron bicinctus	
Thick-billed Green Pigeon	Treron curvirostra	
White-bellied Green Pigeon	Treron sieboldii	
Green Imperial Pigeon	Ducula aenea	Near-threatened
Mountain Imperial Pigeon	Ducula badia	
GRUIFORMES: Gruidae
Common Crane	Grus grus	
GRUIFORMES: Rallidae
Brown-cheeked Rail	Rallus indicus	
Slaty-breasted Rail	Lewinia striata	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Purple Swamphen	Porphyrio porphyrio	
White-browed Crake	Poliolimnas cinereus	Rare/Accidental
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
Slaty-legged Crake	Rallina eurizonoides	
Ruddy-breasted Crake	Zapornia fusca	
Brown Crake	Zapornia akool	
Baillon's Crake	Zapornia pusilla	
CHARADRIIFORMES: Burhinidae
Beach Stone-curlew	Esacus magnirostris	Rare/AccidentalNear-threatened
Great Stone-curlew	Esacus recurvirostris	Near-threatened
CHARADRIIFORMES: Recurvirostridae
Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
CHARADRIIFORMES: Haematopodidae
Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
CHARADRIIFORMES: Charadriidae
Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Long-billed Plover	Thinornis placidus	
Little Ringed Plover	Thinornis dubius	
Northern Lapwing	Vanellus vanellus	Near-threatened
River Lapwing	Vanellus duvaucelii	Near-threatened
Grey-headed Lapwing	Vanellus cinereus	
Oriental Plover	Anarhynchus veredus	
Tibetan Sand Plover	Anarhynchus atrifrons	
Siberian Sand Plover	Anarhynchus mongolus	Endangered
Greater Sand Plover	Anarhynchus leschenaultii	
White-faced Plover	Anarhynchus dealbatus	
Kentish Plover	Anarhynchus alexandrinus	
CHARADRIIFORMES: Rostratulidae
Greater Painted-snipe	Rostratula benghalensis	
CHARADRIIFORMES: Jacanidae
Pheasant-tailed Jacana	Hydrophasianus chirurgus	
CHARADRIIFORMES: Scolopacidae
Little Curlew	Numenius minutus	
Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	Endangered
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Asian Dowitcher	Limnodromus semipalmatus	Near-threatened
Long-billed Dowitcher	Limnodromus scolopaceus	Rare/AccidentalNear-threatened
Eurasian Woodcock	Scolopax rusticola	
Swinhoe's Snipe	Gallinago megala	
Pin-tailed Snipe	Gallinago stenura	
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Red-necked Phalarope	Phalaropus lobatus	
Green Sandpiper	Tringa ochropus	
Grey-tailed Tattler	Tringa brevipes	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Nordmann's Greenshank	Tringa guttifer	Endangered
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Near-threatened
Great Knot	Calidris tenuirostris	Endangered
Ruff	Calidris pugnax	
Sharp-tailed Sandpiper	Calidris acuminata	Vulnerable
Broad-billed Sandpiper	Calidris falcinellus	Vulnerable
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Spoon-billed Sandpiper	Calidris pygmaea	Critically endangered
Red-necked Stint	Calidris ruficollis	Near-threatened
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Near-threatened
Little Stint	Calidris minuta	
CHARADRIIFORMES: Turnicidae
Barred Buttonquail	Turnix suscitator	
Common Buttonquail	Turnix sylvaticus	
CHARADRIIFORMES: Glareolidae
Oriental Pratincole	Glareola maldivarum	
CHARADRIIFORMES: Stercorariidae
Long-tailed Jaeger	Stercorarius longicaudus	
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
CHARADRIIFORMES: Laridae
Little White Tern	Gygis microrhyncha	
Brown Noddy	Anous stolidus	
Sooty Tern	Onychoprion fuscatus	
Bridled Tern	Onychoprion anaethetus	
Little Tern	Sternula albifrons	
Caspian Tern	Hydroprogne caspia	
Gull-billed Tern	Gelochelidon nilotica	
Whiskered Tern	Chlidonias hybrida	
White-winged Tern	Chlidonias leucopterus	
Greater Crested Tern	Thalasseus bergii	
Common Tern	Sterna hirundo	
Black-naped Tern	Sterna sumatrana	
Roseate Tern	Sterna dougallii	
Saunders's Gull	Saundersilarus saundersi	Vulnerable
Black-headed Gull	Chroicocephalus ridibundus	
Brown-headed Gull	Chroicocephalus brunnicephalus	
Black-tailed Gull	Larus crassirostris	
Common Gull	Larus canus	
Vega Gull	Larus vegae	
Lesser Black-backed Gull	Larus fuscus	
PHAETHONTIFORMES: Phaethontidae
Red-billed Tropicbird	Phaethon aethereus	
PROCELLARIIFORMES: Hydrobatidae
Swinhoe's Storm Petrel	Hydrobates monorhis	Near-threatened
PROCELLARIIFORMES: Procellariidae
Bulwer's Petrel	Bulweria bulwerii	
Streaked Shearwater	Calonectris leucomelas	Near-threatened
Wedge-tailed Shearwater	Ardenna pacifica	
CICONIIFORMES: Ciconiidae
Lesser Adjutant	Leptoptilos javanicus	Near-threatened
Painted Stork	Mycteria leucocephala	
Black Stork	Ciconia nigra	
SULIFORMES: Fregatidae
Lesser Frigatebird	Fregata ariel	Rare/Accidental
Great Frigatebird	Fregata minor	
SULIFORMES: Sulidae
Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	
SULIFORMES: Phalacrocoracidae
Great Cormorant	Phalacrocorax carbo	
PELECANIFORMES: Threskiornithidae
Glossy Ibis	Plegadis falcinellus	
Eurasian Spoonbill	Platalea leucorodia	
Black-faced Spoonbill	Platalea minor	Endangered
Black-headed Ibis	Threskiornis melanocephalus	
PELECANIFORMES: Pelecanidae
Spot-billed Pelican	Pelecanus philippensis	Near-threatened
PELECANIFORMES: Ardeidae
Eurasian Bittern	Botaurus stellaris	
Black Bittern	Botaurus flavicollis	
Cinnamon Bittern	Botaurus cinnamomeus	
Von Schrenck's Bittern	Botaurus eurhythmus	
