ANSERIFORMES: Anatidae
Cotton Pygmy Goose	Nettapus coromandelianus	
White-headed Duck	Oxyura leucocephala	Endangered
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Swan Goose	Anser cygnoides	Endangered
Greater White-fronted Goose	Anser albifrons	
Taiga Bean Goose	Anser fabalis	
Mandarin Duck	Aix galericulata	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Stejneger's Scoter	Melanitta stejnegeri	
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Red-breasted Merganser	Mergus serrator	
Scaly-sided Merganser	Mergus squamatus	Endangered
Common Merganser	Mergus merganser	
Knob-billed Duck	Sarkidiornis melanotos	
Marbled Duck	Marmaronetta angustirostris	Rare/AccidentalNear-threatened
Red-crested Pochard	Netta rufina	
Ferruginous Duck	Aythya nyroca	Near-threatened
Baer's Pochard	Aythya baeri	Critically endangered
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Falcated Duck	Mareca falcata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Eastern Spot-billed Duck	Anas zonorhyncha	
Indian Spot-billed Duck	Anas poecilorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
GALLIFORMES: Phasianidae
Hill Partridge	Arborophila torqueola	
Chestnut-breasted Partridge	Arborophila mandellii	Near-threatened
Rufous-throated Partridge	Arborophila rufogularis	
Snow Partridge	Lerwa lerwa	
Blood Pheasant	Ithaginis cruentus	
Western Tragopan	Tragopan melanocephalus	Vulnerable
Satyr Tragopan	Tragopan satyra	
Blyth's Tragopan	Tragopan blythii	Vulnerable
Temminck's Tragopan	Tragopan temminckii	
Chestnut-throated Monal-Partridge	Tetraophasis obscurus	
Buff-throated Monal-Partridge	Tetraophasis szechenyii	
Himalayan Monal	Lophophorus impejanus	
Sclater's Monal	Lophophorus sclateri	
Chinese Monal	Lophophorus lhuysii	Vulnerable
Koklass Pheasant	Pucrasia macrolopha	
Chinese Grouse	Tetrastes sewerzowi	Near-threatened
Tibetan Partridge	Perdix hodgsoniae	
Daurian Partridge	Perdix dauurica	
Lady Amherst's Pheasant	Chrysolophus amherstiae	
Common Pheasant	Phasianus colchicus	
Tibetan Eared Pheasant	Crossoptilon harmani	
White Eared Pheasant	Crossoptilon crossoptilon	
Blue Eared Pheasant	Crossoptilon auritum	
Kalij Pheasant	Lophura leucomelanos	
Green Peafowl	Pavo muticus	Rare/AccidentalEndangered
Grey Peacock-Pheasant	Polyplectron bicalcaratum	
