
 
ANSERIFORMES: Anatidae

Lesser Whistling Duck	Dendrocygna javanica	Rare/Accidental
Brant Goose	Branta bernicla	Rare/Accidental
Bar-headed Goose	Anser indicus	Rare/Accidental
Greylag Goose	Anser anser	Rare/Accidental
Swan Goose	Anser cygnoides	Rare/Accidental
Taiga Bean Goose	Anser fabalis	Rare/Accidental
Tundra Bean Goose	Anser serrirostris	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Mute Swan	Cygnus olor	Rare/Accidental
Tundra Swan	Cygnus columbianus	Rare/Accidental
Whooper Swan	Cygnus cygnus	Rare/Accidental
Common Shelduck	Tadorna tadorna	Rare/Accidental
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Mandarin Duck	Aix galericulata	
Cotton Pygmy Goose	Nettapus coromandelianus	Rare/Accidental
Baikal Teal	Sibirionetta formosa	Rare/Accidental
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	Rare/Accidental
Philippine Duck	Anas luzonica	Rare/Accidental
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Green-winged Teal	Anas carolinensis	Rare/Accidental
Red-crested Pochard	Netta rufina	Rare/Accidental
Canvasback	Aythya valisineria	Rare/Accidental
Common Pochard	Aythya ferina	
Baer's Pochard	Aythya baeri	Rare/Accidental
Ferruginous Duck	Aythya nyroca	Rare/Accidental
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	Rare/Accidental
Lesser Scaup	Aythya affinis	Rare/Accidental
Harlequin Duck	Histrionicus histrionicus	Rare/Accidental
Stejneger's Scoter	Melanitta stejnegeri	Rare/Accidental
Common Goldeneye	Bucephala clangula	Rare/Accidental
Smew	Mergellus albellus	Rare/Accidental
Common Merganser	Mergus merganser	Rare/Accidental
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Scaly-sided Merganser	Mergus squamatus	Rare/Accidental
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Introduced species
Green Pheasant	Phasianus versicolor	Introduced species
Indian Peafowl	Pavo cristatus	Introduced species
Taiwan Bamboo Partridge	Bambusicola sonorivox	
Japanese Quail	Coturnix japonica	
 
CAPRIMULGIFORMES: Caprimulgidae

Grey Nightjar	Caprimulgus jotaka	
 
APODIFORMES: Apodidae

Himalayan Swiftlet	Aerodramus brevirostris	Rare/Accidental
White-throated Needletail	Hirundapus caudacutus	
Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Lesser Coucal	Centropus bengalensis	Rare/Accidental
Chestnut-winged Cuckoo	Clamator coromandus	Rare/Accidental
Asian Koel	Eudynamys scolopaceus	Rare/Accidental
Rufous Hawk-Cuckoo	Hierococcyx hyperythrus	Rare/Accidental
Lesser Cuckoo	Cuculus poliocephalus	
Indian Cuckoo	Cuculus micropterus	Rare/Accidental
Oriental Cuckoo	Cuculus optatus	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pallas's Sandgrouse	Syrrhaptes paradoxus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Stock Dove	Columba oenas	Rare/Accidental
Japanese Wood Pigeon	Columba janthina	
Ryukyu Wood Pigeon	Columba jouyi	Rare/Accidental
Oriental Turtle Dove	Streptopelia orientalis	
Eurasian Collared Dove	Streptopelia decaocto	
Red Collared Dove	Streptopelia tranquebarica	Rare/Accidental
Common Emerald Dove	Chalcophaps indica	
White-bellied Green Pigeon	Treron sieboldii	Rare/Accidental
Ryukyu Green Pigeon	Treron permagnus	
Black-chinned Fruit Dove	Ptilinopus leclancheri	Rare/Accidental
 
GRUIFORMES: Rallidae

Brown-cheeked Rail	Rallus indicus	
Slaty-breasted Rail	Lewinia striata	Rare/Accidental
Okinawa Rail	Hypotaenidia okinawae	Endemic
Spotted Crake	Porzana porzana	Rare/Accidental
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Swinhoe's Rail	Coturnicops exquisitus	Rare/Accidental
Ruddy-breasted Crake	Zapornia fusca	Rare/Accidental
Baillon's Crake	Zapornia pusilla	Rare/Accidental
Slaty-legged Crake	Rallina eurizonoides	
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
 
GRUIFORMES: Gruidae

Siberian Crane	Leucogeranus leucogeranus	Rare/Accidental
Sandhill Crane	Antigone canadensis	Rare/Accidental
White-naped Crane	Antigone vipio	Rare/Accidental
Red-crowned Crane	Grus japonensis	Rare/Accidental
Common Crane	Grus grus	Rare/Accidental
Hooded Crane	Grus monacha	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	Rare/Accidental
Great Crested Grebe	Podiceps cristatus	Rare/Accidental
Horned Grebe	Podiceps auritus	Rare/Accidental
Black-necked Grebe	Podiceps nigricollis	Rare/Accidental
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	Introduced species
 
