
 
ANSERIFORMES: Anatidae

Lesser Whistling Duck	Dendrocygna javanica	Extirpated
Greylag Goose	Anser anser	Rare/Accidental
Swan Goose	Anser cygnoides	Rare/Accidental
Taiga Bean Goose	Anser fabalis	
Tundra Bean Goose	Anser serrirostris	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Tundra Swan	Cygnus columbianus	Rare/Accidental
Whooper Swan	Cygnus cygnus	Rare/Accidental
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Mandarin Duck	Aix galericulata	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	
Eurasian Wigeon	Mareca penelope	
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Common Pochard	Aythya ferina	
Ferruginous Duck	Aythya nyroca	Rare/Accidental
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Smew	Mergellus albellus	Rare/Accidental
Scaly-sided Merganser	Mergus squamatus	Rare/Accidental
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Introduced species
Indian Peafowl	Pavo cristatus	Introduced species
Japanese Quail	Coturnix japonica	
 
CAPRIMULGIFORMES: Caprimulgidae

Grey Nightjar	Caprimulgus jotaka	
 
APODIFORMES: Apodidae

Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Asian Koel	Eudynamys scolopaceus	Rare/Accidental
Northern Hawk-Cuckoo	Hierococcyx hyperythrus	
Lesser Cuckoo	Cuculus poliocephalus	
Oriental Cuckoo	Cuculus optatus	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pallas's Sandgrouse	Syrrhaptes paradoxus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Black Wood Pigeon	Columba janthina	
Oriental Turtle Dove	Streptopelia orientalis	
Eurasian Collared Dove	Streptopelia decaocto	
Red Collared Dove	Streptopelia tranquebarica	Rare/Accidental
Common Emerald Dove	Chalcophaps indica	
Ryukyu Green Pigeon	Treron permagnus	
 
GRUIFORMES: Rallidae

Brown-cheeked Rail	Rallus indicus	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Ruddy-breasted Crake	Zapornia fusca	
Baillon's Crake	Zapornia pusilla	Rare/Accidental
Slaty-legged Crake	Rallina eurizonoides	
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
 
GRUIFORMES: Gruidae

Common Crane	Grus grus	Rare/Accidental
Hooded Crane	Grus monacha	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
 
CHARADRIIFORMES: Turnicidae

Barred Buttonquail	Turnix suscitator	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	
Pacific Golden Plover	Pluvialis fulva	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Charadrius dubius	
Long-billed Plover	Charadrius placidus	
Northern Lapwing	Vanellus vanellus	
Oriental Plover	Anarhynchus veredus	Rare/Accidental
Siberian Sand Plover	Anarhynchus mongolus	
Greater Sand Plover	Anarhynchus leschenaultii	
Kentish Plover	Anarhynchus alexandrinus	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	
 
CHARADRIIFORMES: Jacanidae

Pheasant-tailed Jacana	Hydrophasianus chirurgus	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Little Curlew	Numenius minutus	
Far Eastern Curlew	Numenius madagascariensis	
Eurasian Curlew	Numenius arquata	
Bar-tailed Godwit	Limosa lapponica	
Black-tailed Godwit	Limosa limosa	
Asian Dowitcher	Limnodromus semipalmatus	Rare/Accidental
Long-billed Dowitcher	Limnodromus scolopaceus	
Swinhoe's Snipe	Gallinago megala	
Pin-tailed Snipe	Gallinago stenura	
Latham's Snipe	Gallinago hardwickii	
Common Snipe	Gallinago gallinago	
Red-necked Phalarope	Phalaropus lobatus	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Grey-tailed Tattler	Tringa brevipes	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	
Great Knot	Calidris tenuirostris	
Ruff	Calidris pugnax	
Broad-billed Sandpiper	Calidris falcinellus	
Sharp-tailed Sandpiper	Calidris acuminata	
Curlew Sandpiper	Calidris ferruginea	
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	
Red-necked Stint	Calidris ruficollis	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	
Baird's Sandpiper	Calidris bairdii	Rare/Accidental
 
CHARADRIIFORMES: Glareolidae

Oriental Pratincole	Glareola maldivarum	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	Rare/Accidental
Sooty Tern	Onychoprion fuscatus	
