
 
ANSERIFORMES: Anatidae

Lesser Whistling Duck	Dendrocygna javanica	Rare/Accidental
Brant Goose	Branta bernicla	
Cackling Goose	Branta hutchinsii	
Greylag Goose	Anser anser	Rare/Accidental
Swan Goose	Anser cygnoides	Rare/Accidental
Taiga Bean Goose	Anser fabalis	
Tundra Bean Goose	Anser serrirostris	
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	Rare/Accidental
Mute Swan	Cygnus olor	Introduced species
Tundra Swan	Cygnus columbianus	Rare/Accidental
Whooper Swan	Cygnus cygnus	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Mandarin Duck	Aix galericulata	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	Rare/Accidental
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Common Pochard	Aythya ferina	
Baer's Pochard	Aythya baeri	
Ferruginous Duck	Aythya nyroca	Rare/Accidental
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Harlequin Duck	Histrionicus histrionicus	
Stejneger's Scoter	Melanitta stejnegeri	
Black Scoter	Melanitta americana	
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
Scaly-sided Merganser	Mergus squamatus	Rare/Accidental
 
GALLIFORMES: Phasianidae

Copper Pheasant	Syrmaticus soemmerringii	Endemic (country/region)
Common Pheasant	Phasianus colchicus	Introduced species
Green Pheasant	Phasianus versicolor	Endemic (country/region)
Chinese Bamboo Partridge	Bambusicola thoracicus	Introduced species
Japanese Quail	Coturnix japonica	
 
CAPRIMULGIFORMES: Caprimulgidae

Grey Nightjar	Caprimulgus jotaka	
 
APODIFORMES: Apodidae

White-throated Needletail	Hirundapus caudacutus	
Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Chestnut-winged Cuckoo	Clamator coromandus	Rare/Accidental
Northern Hawk-Cuckoo	Hierococcyx hyperythrus	
Lesser Cuckoo	Cuculus poliocephalus	
Oriental Cuckoo	Cuculus optatus	
Common Cuckoo	Cuculus canorus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Stock Dove	Columba oenas	Rare/Accidental
Black Wood Pigeon	Columba janthina	
Ryukyu Wood Pigeon	Columba jouyi	Endemic (country/region)
Oriental Turtle Dove	Streptopelia orientalis	
Eurasian Collared Dove	Streptopelia decaocto	
Red Collared Dove	Streptopelia tranquebarica	Rare/Accidental
White-bellied Green Pigeon	Treron sieboldii	
Ryukyu Green Pigeon	Treron permagnus	
 
GRUIFORMES: Rallidae

Brown-cheeked Rail	Rallus indicus	
Okinawa Rail	Hypotaenidia okinawae	Outlying islands only
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Swinhoe's Rail	Coturnicops exquisitus	
Ruddy-breasted Crake	Zapornia fusca	
Baillon's Crake	Zapornia pusilla	
Slaty-legged Crake	Rallina eurizonoides	
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
 
GRUIFORMES: Gruidae

Siberian Crane	Leucogeranus leucogeranus	Rare/Accidental
Sandhill Crane	Antigone canadensis	Rare/Accidental
White-naped Crane	Antigone vipio	
Demoiselle Crane	Grus virgo	Rare/Accidental
Red-crowned Crane	Grus japonensis	
Common Crane	Grus grus	
Hooded Crane	Grus monacha	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Horned Grebe	Podiceps auritus	
Black-necked Grebe	Podiceps nigricollis	
 
CHARADRIIFORMES: Turnicidae

Barred Buttonquail	Turnix suscitator	
 
