ANSERIFORMES: Anatidae

Lesser Whistling Duck	Dendrocygna javanica	
Barnacle Goose	Branta leucopsis	Rare/Accidental
Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Swan Goose	Anser cygnoides	
Taiga Bean Goose	Anser fabalis	
Tundra Bean Goose	Anser serrirostris	
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Mandarin Duck	Aix galericulata	Rare/Accidental
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	
Eurasian Wigeon	Mareca penelope	
Indian Spot-billed Duck	Anas poecilorhyncha	Rare/Accidental
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Red-crested Pochard	Netta rufina	
Common Pochard	Aythya ferina	
Baer's Pochard	Aythya baeri	Rare/Accidental
Ferruginous Duck	Aythya nyroca	
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Harlequin Duck	Histrionicus histrionicus	
Velvet Scoter	Melanitta fusca	Rare/Accidental
Stejneger's Scoter	Melanitta stejnegeri	
Long-tailed Duck	Clangula hyemalis	Rare/Accidental
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
White-headed Duck	Oxyura leucocephala	
 
GALLIFORMES: Phasianidae

Hazel Grouse	Tetrastes bonasia	
Western Capercaillie	Tetrao urogallus	
Black-billed Capercaillie	Tetrao urogalloides	
Black Grouse	Lyrurus tetrix	
Rock Ptarmigan	Lagopus muta	
Willow Ptarmigan	Lagopus lagopus	
Altai Snowcock	Tetraogallus altaicus	
Chukar Partridge	Alectoris chukar	
Daurian Partridge	Perdix dauurica	
Common Quail	Coturnix coturnix	
Japanese Quail	Coturnix japonica	
Common Pheasant	Phasianus colchicus	
 
CAPRIMULGIFORMES: Caprimulgidae

Grey Nightjar	Caprimulgus jotaka	
European Nightjar	Caprimulgus europaeus	
 
APODIFORMES: Apodidae

White-throated Needletail	Hirundapus caudacutus	
Common Swift	Apus apus	
Pacific Swift	Apus pacificus	
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	
Macqueen's Bustard	Chlamydotis macqueenii	
 
