ANSERIFORMES: Anatidae

Brant Goose	Branta bernicla	Rare/Accidental
Red-breasted Goose	Branta ruficollis	Rare/Accidental
Barnacle Goose	Branta leucopsis	Rare/Accidental
Cackling Goose	Branta hutchinsii	Rare/Accidental
Bar-headed Goose	Anser indicus	Rare/Accidental
Emperor Goose	Anser canagicus	Rare/Accidental
Snow Goose	Anser caerulescens	Rare/Accidental
Greylag Goose	Anser anser	Rare/Accidental
Swan Goose	Anser cygnoides	
Taiga Bean Goose	Anser fabalis	
Tundra Bean Goose	Anser serrirostris	
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	Rare/Accidental
Mute Swan	Cygnus olor	Rare/Accidental
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Crested Shelduck	Tadorna cristata	Rare/Accidental
Mandarin Duck	Aix galericulata	
Cotton Pygmy Goose	Nettapus coromandelianus	Rare/Accidental
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	Rare/Accidental
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Green-winged Teal	Anas carolinensis	Rare/Accidental
Red-crested Pochard	Netta rufina	Rare/Accidental
Canvasback	Aythya valisineria	Rare/Accidental
Redhead	Aythya americana	Rare/Accidental
Common Pochard	Aythya ferina	
Baer's Pochard	Aythya baeri	Rare/Accidental
Ferruginous Duck	Aythya nyroca	Rare/Accidental
Ring-necked Duck	Aythya collaris	Rare/Accidental
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	Rare/Accidental
King Eider	Somateria spectabilis	Rare/Accidental
Harlequin Duck	Histrionicus histrionicus	
Velvet Scoter	Melanitta fusca	Rare/Accidental
Stejneger's Scoter	Melanitta stejnegeri	
Black Scoter	Melanitta americana	
Long-tailed Duck	Clangula hyemalis	Rare/Accidental
Bufflehead	Bucephala albeola	Rare/Accidental
Common Goldeneye	Bucephala clangula	
Barrow's Goldeneye	Bucephala islandica	Rare/Accidental
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
Scaly-sided Merganser	Mergus squamatus	Rare/Accidental
 
GALLIFORMES: Phasianidae

Hazel Grouse	Tetrastes bonasia	
Japanese Quail	Coturnix japonica	
Common Pheasant	Phasianus colchicus	
 
CAPRIMULGIFORMES: Caprimulgidae

Grey Nightjar	Caprimulgus jotaka	
 
APODIFORMES: Apodidae

Himalayan Swiftlet	Aerodramus brevirostris	Rare/Accidental
White-throated Needletail	Hirundapus caudacutus	
Alpine Swift	Tachymarptis melba	Rare/Accidental
Common Swift	Apus apus	Rare/Accidental
Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	Rare/Accidental
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Greater Coucal	Centropus sinensis	Rare/Accidental
Lesser Coucal	Centropus bengalensis	Rare/Accidental
Chestnut-winged Cuckoo	Clamator coromandus	Rare/Accidental
Asian Koel	Eudynamys scolopaceus	Rare/Accidental
Square-tailed Drongo-Cuckoo	Surniculus lugubris	Rare/Accidental
Large Hawk-Cuckoo	Hierococcyx sparverioides	Rare/Accidental
Rufous Hawk-Cuckoo	Hierococcyx hyperythrus	
Lesser Cuckoo	Cuculus poliocephalus	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	Rare/Accidental
Oriental Cuckoo	Cuculus optatus	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pallas's Sandgrouse	Syrrhaptes paradoxus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Hill Pigeon	Columba rupestris	Introduced species
Stock Dove	Columba oenas	Rare/Accidental
Japanese Wood Pigeon	Columba janthina	
Oriental Turtle Dove	Streptopelia orientalis	
Eurasian Collared Dove	Streptopelia decaocto	Rare/Accidental
Red Collared Dove	Streptopelia tranquebarica	Rare/Accidental
Spotted Dove	Spilopelia chinensis	Rare/Accidental
White-bellied Green Pigeon	Treron sieboldii	Rare/Accidental
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	Rare/Accidental
Brown-cheeked Rail	Rallus indicus	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Swinhoe's Rail	Coturnicops exquisitus	Rare/Accidental
Ruddy-breasted Crake	Zapornia fusca	Rare/Accidental
Band-bellied Crake	Zapornia paykullii	Rare/Accidental
Baillon's Crake	Zapornia pusilla	Rare/Accidental
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	Rare/Accidental
 
GRUIFORMES: Gruidae

Siberian Crane	Leucogeranus leucogeranus	Rare/Accidental
Sandhill Crane	Antigone canadensis	Rare/Accidental
White-naped Crane	Antigone vipio	
Demoiselle Crane	Grus virgo	Rare/Accidental
Red-crowned Crane	Grus japonensis	
Common Crane	Grus grus	Rare/Accidental
Hooded Crane	Grus monacha	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Horned Grebe	Podiceps auritus	
Black-necked Grebe	Podiceps nigricollis	
 
CHARADRIIFORMES: Turnicidae

Yellow-legged Buttonquail	Turnix tanki	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	
Grey-headed Lapwing	Vanellus cinereus	Rare/Accidental
Pacific Golden Plover	Pluvialis fulva	
American Golden Plover	Pluvialis dominica	Rare/Accidental
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	Rare/Accidental
Long-billed Plover	Charadrius placidus	
Little Ringed Plover	Charadrius dubius	
Kentish Plover	Charadrius alexandrinus	Rare/Accidental
White-faced Plover	Charadrius dealbatus	
Lesser Sand Plover	Charadrius mongolus	
Greater Sand Plover	Charadrius leschenaultii	
Oriental Plover	Charadrius veredus	Rare/Accidental
Eurasian Dotterel	Charadrius morinellus	Rare/Accidental
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	Rare/Accidental
 
CHARADRIIFORMES: Jacanidae

Pheasant-tailed Jacana	Hydrophasianus chirurgus	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Little Curlew	Numenius minutus	Rare/Accidental
Far Eastern Curlew	Numenius madagascariensis	
Eurasian Curlew	Numenius arquata	
Bar-tailed Godwit	Limosa lapponica	
Black-tailed Godwit	Limosa limosa	
Hudsonian Godwit	Limosa haemastica	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	
Great Knot	Calidris tenuirostris	
Red Knot	Calidris canutus	
Ruff	Calidris pugnax	
Broad-billed Sandpiper	Calidris falcinellus	
Sharp-tailed Sandpiper	Calidris acuminata	
Curlew Sandpiper	Calidris ferruginea	
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	
Spoon-billed Sandpiper	Calidris pygmaea	
Red-necked Stint	Calidris ruficollis	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	
