
 
ANSERIFORMES: Anatidae

Wandering Whistling Duck	Dendrocygna arcuata	
Green Pygmy Goose	Nettapus pulchellus	
Radjah Shelduck	Radjah radjah	Rare/Accidental
Hardhead	Aythya australis	
Garganey	Spatula querquedula	Rare/Accidental
Pacific Black Duck	Anas superciliosa	
Sunda Teal	Anas gibberifrons	Near-threatened
Grey Teal	Anas gracilis	
 
GALLIFORMES: Megapodiidae

Orange-footed Scrubfowl	Megapodius reinwardt	
 
GALLIFORMES: Phasianidae

Brown Quail	Synoicus ypsilophorus	
King Quail	Synoicus chinensis	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Australasian Grebe	Tachybaptus novaehollandiae	
 
CUCULIFORMES: Cuculidae

Lesser Coucal	Centropus bengalensis	
Pheasant Coucal	Centropus phasianinus	
Pacific Koel	Eudynamys orientalis	
Channel-billed Cuckoo	Scythrops novaehollandiae	
Horsfield's Bronze Cuckoo	Chalcites basalis	
Shining Bronze Cuckoo	Chalcites lucidus	
Little Bronze Cuckoo	Chalcites minutillus	
Pallid Cuckoo	Heteroscenes pallidus	
Sahul Brush Cuckoo	Cacomantis variolosus	
Himalayan Cuckoo	Cuculus saturatus	
Sunda Cuckoo	Cuculus lepidus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Black Cuckoo-Dove	Turacoena modesta	Near-threatened
Timor Cuckoo-Dove	Macropygia magna	
Little Cuckoo-Dove	Macropygia ruficeps	
Spotted Dove	Spilopelia chinensis	
Sunda Collared Dove	Streptopelia bitorquata	
Metallic Pigeon	Columba vitiensis	
Rock Dove	Columba livia	Introduced species
Common Emerald Dove	Chalcophaps indica	
Pacific Emerald Dove	Chalcophaps longirostris	
Timor Green Pigeon	Treron psittaceus	Endangered
Wetar Ground Dove	Pampusana hoedtii	Endangered
Barred Dove	Geopelia maugeus	
Pink-headed Imperial Pigeon	Ducula rosacea	Near-threatened
Timor Imperial Pigeon	Ducula cineracea	Near-threatened
Pied Imperial Pigeon	Ducula bicolor	Rare/Accidental
Banded Fruit Dove	Ptilinopus cinctus	
Rose-crowned Fruit Dove	Ptilinopus regina	
Black-naped Fruit Dove	Ptilinopus melanospilus	Rare/Accidental
 
