
 
CASUARIIFORMES: Casuariidae

Southern Cassowary	Casuarius casuarius	
Dwarf Cassowary	Casuarius bennetti	
Northern Cassowary	Casuarius unappendiculatus	
 
ANSERIFORMES: Anseranatidae

Magpie Goose	Anseranas semipalmata	
 
ANSERIFORMES: Anatidae

Spotted Whistling Duck	Dendrocygna guttata	
Plumed Whistling Duck	Dendrocygna eytoni	Rare/Accidental
Wandering Whistling Duck	Dendrocygna arcuata	
Lesser Whistling Duck	Dendrocygna javanica	
Black Swan	Cygnus atratus	Rare/Accidental
Radjah Shelduck	Radjah radjah	
Salvadori's Teal	Salvadorina waigiuensis	
White-winged Duck	Asarcornis scutulata	Endangered
Cotton Pygmy Goose	Nettapus coromandelianus	
Green Pygmy Goose	Nettapus pulchellus	
Garganey	Spatula querquedula	
Eurasian Wigeon	Mareca penelope	Rare/Accidental
Pacific Black Duck	Anas superciliosa	
Mallard	Anas platyrhynchos	Rare/Accidental
Northern Pintail	Anas acuta	Rare/Accidental
Sunda Teal	Anas gibberifrons	Near-threatened
Grey Teal	Anas gracilis	
Hardhead	Aythya australis	
Tufted Duck	Aythya fuligula	Rare/Accidental
 
GALLIFORMES: Megapodiidae

Wattled Brushturkey	Aepypodius arfakianus	
Waigeo Brushturkey	Aepypodius bruijnii	Endemic Endangered
Red-billed Brushturkey	Talegalla cuvieri	Endemic
Black-billed Brushturkey	Talegalla fuscirostris	
Collared Brushturkey	Talegalla jobiensis	
Maleo	Macrocephalon maleo	Endemic Critically endangered
Moluccan Megapode	Eulipoa wallacei	Endemic Vulnerable
Philippine Megapode	Megapodius cumingii	
Sula Megapode	Megapodius bernsteinii	Endemic Vulnerable
Tanimbar Megapode	Megapodius tenimberensis	Endemic Vulnerable
Dusky Megapode	Megapodius freycinet	
Biak Scrubfowl	Megapodius geelvinkianus	Endemic Near-threatened
New Guinea Scrubfowl	Megapodius decollatus	
Orange-footed Scrubfowl	Megapodius reinwardt	
 
GALLIFORMES: Phasianidae

Ferruginous Partridge	Caloperdix oculeus	Near-threatened
Crested Partridge	Rollulus rouloul	Vulnerable
Black Partridge	Melanoperdix niger	Vulnerable
Red-billed Partridge	Arborophila rubrirostris	Endemic
Red-breasted Partridge	Arborophila hyperythra	Endemic (country/region)
Roll's Partridge	Arborophila rolli	
Sumatran Partridge	Arborophila sumatrana	
Chestnut-bellied Partridge	Arborophila javanica	Endemic
