
 
ANSERIFORMES: Anatidae

Wandering Whistling Duck	Dendrocygna arcuata	
Lesser Whistling Duck	Dendrocygna javanica	
Green Pygmy Goose	Nettapus pulchellus	
Hardhead	Aythya australis	
Garganey	Spatula querquedula	
Pacific Black Duck	Anas superciliosa	
Sunda Teal	Anas gibberifrons	Near-threatened
Grey Teal	Anas gracilis	
 
GALLIFORMES: Megapodiidae

Orange-footed Scrubfowl	Megapodius reinwardt	
 
GALLIFORMES: Phasianidae

Green Junglefowl	Gallus varius	Endemic (country/region)
Red Junglefowl	Gallus gallus	Introduced species
Brown Quail	Synoicus ypsilophorus	
King Quail	Synoicus chinensis	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Australasian Grebe	Tachybaptus novaehollandiae	
 
CUCULIFORMES: Cuculidae

Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Asian Koel	Eudynamys scolopaceus	
Pacific Koel	Eudynamys orientalis	
Channel-billed Cuckoo	Scythrops novaehollandiae	
Horsfield's Bronze Cuckoo	Chalcites basalis	
Shining Bronze Cuckoo	Chalcites lucidus	
Little Bronze Cuckoo	Chalcites minutillus	
Pallid Cuckoo	Heteroscenes pallidus	
Plaintive Cuckoo	Cacomantis merulinus	
Sunda Brush Cuckoo	Cacomantis sepulcralis	
Sahul Brush Cuckoo	Cacomantis variolosus	
Himalayan Cuckoo	Cuculus saturatus	
Sunda Cuckoo	Cuculus lepidus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Barred Cuckoo-Dove	Macropygia unchall	
Sultan's Cuckoo-Dove	Macropygia doreya	
Ruddy Cuckoo-Dove	Macropygia emiliana	
Enggano Cuckoo-Dove	Macropygia cinnamomea	Near-threatened
Little Cuckoo-Dove	Macropygia ruficeps	
Spotted Dove	Spilopelia chinensis	
Sunda Collared Dove	Streptopelia bitorquata	
Metallic Pigeon	Columba vitiensis	
Common Emerald Dove	Chalcophaps indica	
Pacific Emerald Dove	Chalcophaps longirostris	
Pink-necked Green Pigeon	Treron vernans	
Buru Green Pigeon	Treron aromaticus	Near-threatened
Grey-cheeked Green Pigeon	Treron griseicauda	Endemic (country/region)
Flores Green Pigeon	Treron floris	Endemic (country/region) Vulnerable
Zebra Dove	Geopelia striata	
Barred Dove	Geopelia maugeus	Endemic (country/region)
Nicobar Pigeon	Caloenas nicobarica	Near-threatened
Green Imperial Pigeon	Ducula aenea	Near-threatened
Elegant Imperial Pigeon	Ducula concinna	Endemic (country/region)
Pink-headed Imperial Pigeon	Ducula rosacea	Endemic (country/region) Near-threatened
Dark-backed Imperial Pigeon	Ducula lacernulata	Endemic (country/region)
Pied Imperial Pigeon	Ducula bicolor	
Banded Fruit Dove	Ptilinopus cinctus	Endemic (country/region)
Red-naped Fruit Dove	Ptilinopus dohertyi	Endemic (country/region) Vulnerable
Rose-crowned Fruit Dove	Ptilinopus regina	
Black-naped Fruit Dove	Ptilinopus melanospilus	
 
GRUIFORMES: Rallidae

Slaty-breasted Rail	Lewinia striata	
Lewin's Rail	Lewinia pectoralis	
Buff-banded Rail	Gallirallus philippensis	
Common Moorhen	Gallinula chloropus	
Dusky Moorhen	Gallinula tenebrosa	
Eurasian Coot	Fulica atra	
Purple Swamphen	Porphyrio porphyrio	
White-browed Crake	Poliolimnas cinereus	
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
Red-legged Crake	Rallina fasciata	
Ruddy-breasted Crake	Zapornia fusca	
Baillon's Crake	Zapornia pusilla	
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

Pied Stilt	Himantopus leucocephalus	
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Little Ringed Plover	Thinornis dubius	
Masked Lapwing	Vanellus miles	Rare/Accidental
Oriental Plover	Anarhynchus veredus	
Siberian Sand Plover	Anarhynchus mongolus	Endangered
Greater Sand Plover	Anarhynchus leschenaultii	
Red-capped Plover	Anarhynchus ruficapillus	Rare/Accidental
