
 
CASUARIIFORMES: Casuariidae

Southern Cassowary	Casuarius casuarius	
Dwarf Cassowary	Casuarius bennetti	Introduced species
 
ANSERIFORMES: Anseranatidae

Magpie Goose	Anseranas semipalmata	
 
ANSERIFORMES: Anatidae

Spotted Whistling Duck	Dendrocygna guttata	
Wandering Whistling Duck	Dendrocygna arcuata	
Radjah Shelduck	Radjah radjah	
Salvadori's Teal	Salvadorina waigiuensis	
Green Pygmy Goose	Nettapus pulchellus	
Garganey	Spatula querquedula	
Pacific Black Duck	Anas superciliosa	
Sunda Teal	Anas gibberifrons	
Grey Teal	Anas gracilis	
Hardhead	Aythya australis	
 
GALLIFORMES: Megapodiidae

Black-billed Brushturkey	Talegalla fuscirostris	
Moluccan Megapode	Eulipoa wallacei	Endemic (country/region)
Sula Megapode	Megapodius bernsteinii	Endemic (country/region)
Tanimbar Megapode	Megapodius tenimberensis	Endemic
Dusky Megapode	Megapodius freycinet	
Orange-footed Scrubfowl	Megapodius reinwardt	
 
GALLIFORMES: Phasianidae

Green Junglefowl	Gallus varius	Endemic (country/region)
Red Junglefowl	Gallus gallus	
Brown Quail	Synoicus ypsilophorus	
King Quail	Synoicus chinensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Spotted Nightjar	Eurostopodus argus	
Archbold's Nightjar	Eurostopodus archboldi	
Great Eared Nightjar	Lyncornis macrotis	
Grey Nightjar	Caprimulgus jotaka	Rare/Accidental
Large-tailed Nightjar	Caprimulgus macrurus	
Sulawesi Nightjar	Caprimulgus celebensis	Endemic (country/region)
Savanna Nightjar	Caprimulgus affinis	
 
PODARGIFORMES: Podargidae

Marbled Frogmouth	Podargus ocellatus	
Papuan Frogmouth	Podargus papuensis	
 
AEGOTHELIFORMES: Aegothelidae

Moluccan Owlet-nightjar	Aegotheles crinifrons	Endemic
Wallace's Owlet-nightjar	Aegotheles wallacii	
Mountain Owlet-nightjar	Aegotheles albertisi	
Barred Owlet-nightjar	Aegotheles bennettii	
Vogelkop Owlet-nightjar	Aegotheles affinis	
 
APODIFORMES: Hemiprocnidae

Grey-rumped Treeswift	Hemiprocne longipennis	
Moustached Treeswift	Hemiprocne mystacea	
 
APODIFORMES: Apodidae

Drab Swiftlet	Collocalia neglecta	
