
 
ANSERIFORMES: Anatidae

Wandering Whistling Duck	Dendrocygna arcuata	
Lesser Whistling Duck	Dendrocygna javanica	
White-winged Duck	Asarcornis scutulata	Critically endangered
Cotton Pygmy Goose	Nettapus coromandelianus	
Garganey	Spatula querquedula	
Pacific Black Duck	Anas superciliosa	
Northern Pintail	Anas acuta	Rare/Accidental
Sunda Teal	Anas gibberifrons	Near-threatened
Hardhead	Aythya australis	
 
GALLIFORMES: Megapodiidae

Orange-footed Scrubfowl	Megapodius reinwardt	
 
GALLIFORMES: Phasianidae

Chestnut-bellied Partridge	Arborophila javanica	Endemic
Grey-breasted Partridge	Arborophila orientalis	Endemic Vulnerable
Green Peafowl	Pavo muticus	Endangered
Green Junglefowl	Gallus varius	Endemic (country/region)
Red Junglefowl	Gallus gallus	
King Quail	Synoicus chinensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Grey Nightjar	Caprimulgus jotaka	
Large-tailed Nightjar	Caprimulgus macrurus	
Savanna Nightjar	Caprimulgus affinis	
Salvadori's Nightjar	Caprimulgus pulchellus	Endemic (country/region)
 
PODARGIFORMES: Podargidae

Javan Frogmouth	Batrachostomus javensis	Endemic
Blyth's Frogmouth	Batrachostomus affinis	
Sunda Frogmouth	Batrachostomus cornutus	Rare/Accidental
 
APODIFORMES: Hemiprocnidae

Grey-rumped Treeswift	Hemiprocne longipennis	
 
APODIFORMES: Apodidae

Giant Swiftlet	Hydrochous gigas	Near-threatened
Cave Swiftlet	Collocalia linchi	
Volcano Swiftlet	Aerodramus vulcanorum	Endemic
Mossy-nest Swiftlet	Aerodramus salangana	
Black-nest Swiftlet	Aerodramus maximus	
Edible-nest Swiftlet	Aerodramus fuciphagus	
Silver-rumped Spinetail	Rhaphidura leucopygialis	
White-throated Needletail	Hirundapus caudacutus	
Silver-backed Needletail	Hirundapus cochinchinensis	
Brown-backed Needletail	Hirundapus giganteus	
Asian Palm Swift	Cypsiurus balasiensis	
Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Sunda Coucal	Centropus nigrorufus	Endemic Vulnerable
Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Red-billed Malkoha	Zanclostomus javanicus	
Chestnut-breasted Malkoha	Phaenicophaeus curvirostris	
Green-billed Malkoha	Phaenicophaeus tristis	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Horsfield's Bronze Cuckoo	Chalcites basalis	
Little Bronze Cuckoo	Chalcites minutillus	
Pallid Cuckoo	Heteroscenes pallidus	
Banded Bay Cuckoo	Cacomantis sonneratii	
Plaintive Cuckoo	Cacomantis merulinus	
Sunda Brush Cuckoo	Cacomantis sepulcralis	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Moustached Hawk-Cuckoo	Hierococcyx vagans	Near-threatened
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Malaysian Hawk-Cuckoo	Hierococcyx fugax	
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Oriental Cuckoo	Cuculus optatus	
Sunda Cuckoo	Cuculus lepidus	
Common Cuckoo	Cuculus canorus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Sunda Collared Dove	Streptopelia bitorquata	
Red Collared Dove	Streptopelia tranquebarica	
Spotted Dove	Spilopelia chinensis	
Barred Cuckoo-Dove	Macropygia unchall	
Ruddy Cuckoo-Dove	Macropygia emiliana	
Enggano Cuckoo-Dove	Macropygia cinnamomea	Near-threatened
Little Cuckoo-Dove	Macropygia ruficeps	
Common Emerald Dove	Chalcophaps indica	
Zebra Dove	Geopelia striata	
Barred Dove	Geopelia maugeus	Endemic (country/region)
Nicobar Pigeon	Caloenas nicobarica	Near-threatened
Little Green Pigeon	Treron olax	
Pink-necked Green Pigeon	Treron vernans	
Orange-breasted Green Pigeon	Treron bicinctus	
Thick-billed Green Pigeon	Treron curvirostra	
Grey-cheeked Green Pigeon	Treron griseicauda	Endemic (country/region)
Large Green Pigeon	Treron capellei	Vulnerable
