
 
ANSERIFORMES: Anatidae

Wandering Whistling Duck	Dendrocygna arcuata	
Lesser Whistling Duck	Dendrocygna javanica	
Green Pygmy Goose	Nettapus pulchellus	
Cotton Pygmy Goose	Nettapus coromandelianus	
White-winged Duck	Asarcornis scutulata	Critically endangered
Tufted Duck	Aythya fuligula	Rare/Accidental
Garganey	Spatula querquedula	
Pacific Black Duck	Anas superciliosa	
Northern Pintail	Anas acuta	Rare/Accidental
Sunda Teal	Anas gibberifrons	
 
GALLIFORMES: Megapodiidae

Dusky Megapode	Megapodius freycinet	
Orange-footed Scrubfowl	Megapodius reinwardt	
 
GALLIFORMES: Phasianidae

Ferruginous Partridge	Caloperdix oculeus	Near-threatened
Crested Partridge	Rollulus rouloul	Vulnerable
Black Partridge	Melanoperdix niger	Vulnerable
Red-billed Partridge	Arborophila rubrirostris	Endemic
Roll's Partridge	Arborophila rolli	Endemic
Sumatran Partridge	Arborophila sumatrana	Endemic
Grey-breasted Partridge	Arborophila orientalis	Endemic (country/region) Vulnerable
Long-billed Partridge	Rhizothera longirostris	Near-threatened
Malayan Crestless Fireback	Lophura erythrophthalma	Critically endangered
Bornean Crestless Fireback	Lophura pyronota	Endangered
Salvadori's Pheasant	Lophura inornata	Near-threatened
Malayan Crested Fireback	Lophura rufa	Vulnerable
Bornean Crested Fireback	Lophura ignita	Vulnerable
Great Argus	Argusianus argus	Vulnerable
Chestnut-necklaced Partridge	Tropicoperdix charltonii	Vulnerable
Bornean Peacock-Pheasant	Polyplectron schleiermacheri	Endangered
Sumatran Peacock-Pheasant	Polyplectron chalcurum	Endemic
Red Junglefowl	Gallus gallus	
King Quail	Synoicus chinensis	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
 
CUCULIFORMES: Cuculidae

Sumatran Ground Cuckoo	Carpococcyx viridis	Endemic Endangered
Bornean Ground Cuckoo	Carpococcyx radiceus	Vulnerable
Short-toed Coucal	Centropus rectunguis	Vulnerable
Sunda Coucal	Centropus nigrorufus	Endemic (country/region) Vulnerable
Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Raffles's Malkoha	Rhinortha chlorophaea	
Red-billed Malkoha	Zanclostomus javanicus	
Chestnut-breasted Malkoha	Phaenicophaeus curvirostris	
Mentawai Malkoha	Phaenicophaeus oeneicaudus	Endemic
Chestnut-bellied Malkoha	Phaenicophaeus sumatranus	Near-threatened
Black-bellied Malkoha	Phaenicophaeus diardi	Near-threatened
Green-billed Malkoha	Phaenicophaeus tristis	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Black-billed Koel	Eudynamys melanorhynchus	Endemic (country/region)
Pacific Koel	Eudynamys orientalis	
Channel-billed Cuckoo	Scythrops novaehollandiae	
Asian Emerald Cuckoo	Chrysococcyx maculatus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Horsfield's Bronze Cuckoo	Chalcites basalis	
Little Bronze Cuckoo	Chalcites minutillus	
Banded Bay Cuckoo	Cacomantis sonneratii	
Plaintive Cuckoo	Cacomantis merulinus	
Sunda Brush Cuckoo	Cacomantis sepulcralis	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Moustached Hawk-Cuckoo	Hierococcyx vagans	Near-threatened
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Dark Hawk-Cuckoo	Hierococcyx bocki	
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	
Malaysian Hawk-Cuckoo	Hierococcyx fugax	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Sunda Cuckoo	Cuculus lepidus	
Common Cuckoo	Cuculus canorus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

White-faced Cuckoo-Dove	Turacoena manadensis	Endemic (country/region)
Barred Cuckoo-Dove	Macropygia unchall	
Flores Sea Cuckoo-Dove	Macropygia macassariensis	
Sultan's Cuckoo-Dove	Macropygia doreya	
Ruddy Cuckoo-Dove	Macropygia emiliana	
Enggano Cuckoo-Dove	Macropygia cinnamomea	Endemic Near-threatened
Barusan Cuckoo-Dove	Macropygia modiglianii	
Little Cuckoo-Dove	Macropygia ruficeps	
