
 
ANSERIFORMES: Anatidae

Spotted Whistling Duck	Dendrocygna guttata	
Wandering Whistling Duck	Dendrocygna arcuata	
Radjah Shelduck	Radjah radjah	
Salvadori's Teal	Salvadorina waigiuensis	Endemic (country/region)
Pacific Black Duck	Anas superciliosa	
Grey Teal	Anas gracilis	
Hardhead	Aythya australis	
 
GALLIFORMES: Megapodiidae

Waigeo Brushturkey	Aepypodius bruijnii	Endemic (country/region) Endangered
Red-billed Brushturkey	Talegalla cuvieri	Endemic (country/region)
Dusky Megapode	Megapodius freycinet	
Orange-footed Scrubfowl	Megapodius reinwardt	
 
GALLIFORMES: Phasianidae

King Quail	Synoicus chinensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Papuan Nightjar	Eurostopodus papuensis	
Large-tailed Nightjar	Caprimulgus macrurus	
 
PODARGIFORMES: Podargidae

Marbled Frogmouth	Podargus ocellatus	
Papuan Frogmouth	Podargus papuensis	
 
AEGOTHELIFORMES: Aegothelidae

Wallace's Owlet-nightjar	Aegotheles wallacii	
Vogelkop Owlet-nightjar	Aegotheles affinis	Near-threatened
 
APODIFORMES: Hemiprocnidae

Moustached Treeswift	Hemiprocne mystacea	
 
APODIFORMES: Apodidae

Glossy Swiftlet	Collocalia esculenta	
Mountain Swiftlet	Aerodramus hirundinaceus	
Uniform Swiftlet	Aerodramus vanikorensis	
Papuan Spinetail	Mearnsia novaeguineae	
White-throated Needletail	Hirundapus caudacutus	
Pacific Swift	Apus pacificus	
 
CUCULIFORMES: Cuculidae

Ivory-billed Coucal	Centropus menbeki	
Black-billed Coucal	Centropus bernsteini	
Dwarf Koel	Microdynamis parva	
Pacific Koel	Eudynamys orientalis	
Channel-billed Cuckoo	Scythrops novaehollandiae	
Long-billed Cuckoo	Chrysococcyx megarhynchus	
Rufous-throated Bronze Cuckoo	Chrysococcyx ruficollis	
Shining Bronze Cuckoo	Chrysococcyx lucidus	
White-eared Bronze Cuckoo	Chrysococcyx meyerii	
Little Bronze Cuckoo	Chrysococcyx minutillus	
White-crowned Cuckoo	Cacomantis leucolophus	
Chestnut-breasted Cuckoo	Cacomantis castaneiventris	
Fan-tailed Cuckoo	Cacomantis flabelliformis	
Brush Cuckoo	Cacomantis variolosus	
Himalayan Cuckoo	Cuculus saturatus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Metallic Pigeon	Columba vitiensis	
Spotted Dove	Spilopelia chinensis	
Sultan's Cuckoo-Dove	Macropygia doreya	
Bar-tailed Cuckoo-Dove	Macropygia nigrirostris	
Great Cuckoo-Dove	Reinwardtoena reinwardti	
Common Emerald Dove	Chalcophaps indica	
Stephan's Emerald Dove	Chalcophaps stephani	
New Guinea Bronzewing	Henicophaps albifrons	
Thick-billed Ground Pigeon	Trugon terrestris	
Nicobar Pigeon	Caloenas nicobarica	Near-threatened
Cinnamon Ground Dove	Gallicolumba rufigula	
Bronze Ground Dove	Pampusana beccarii	
Pheasant Pigeon	Otidiphaps nobilis	
Western Crowned Pigeon	Goura cristata	Vulnerable
Wompoo Fruit Dove	Ptilinopus magnificus	
Pink-spotted Fruit Dove	Ptilinopus perlatus	
Orange-fronted Fruit Dove	Ptilinopus aurantiifrons	
Superb Fruit Dove	Ptilinopus superbus	
Coroneted Fruit Dove	Ptilinopus coronulatus	
Beautiful Fruit Dove	Ptilinopus pulchellus	
White-bibbed Fruit Dove	Ptilinopus rivoli	
Claret-breasted Fruit Dove	Ptilinopus viridis	
Orange-bellied Fruit Dove	Ptilinopus iozonus	
Dwarf Fruit Dove	Ptilinopus nainus	
Spectacled Imperial Pigeon	Ducula perspicillata	Endemic (country/region)
Elegant Imperial Pigeon	Ducula concinna	Endemic (country/region)
Spice Imperial Pigeon	Ducula myristicivora	
Purple-tailed Imperial Pigeon	Ducula rufigaster	
Rufescent Imperial Pigeon	Ducula chalconota	
Pinon's Imperial Pigeon	Ducula pinon	
