
 
CASUARIIFORMES: Casuariidae

Northern Cassowary	Casuarius unappendiculatus	
 
ANSERIFORMES: Anatidae

Spotted Whistling Duck	Dendrocygna guttata	
Radjah Shelduck	Radjah radjah	
Pacific Black Duck	Anas superciliosa	
Grey Teal	Anas gracilis	
 
GALLIFORMES: Megapodiidae

Red-billed Brushturkey	Talegalla cuvieri	Endemic (country/region)
Dusky Megapode	Megapodius freycinet	
Orange-footed Scrubfowl	Megapodius reinwardt	
 
GALLIFORMES: Phasianidae

King Quail	Synoicus chinensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Papuan Nightjar	Eurostopodus papuensis	
Large-tailed Nightjar	Caprimulgus macrurus	
 
PODARGIFORMES: Podargidae

Marbled Frogmouth	Podargus ocellatus	
Papuan Frogmouth	Podargus papuensis	
 
AEGOTHELIFORMES: Aegothelidae

Feline Owlet-nightjar	Aegotheles insignis	
Mountain Owlet-nightjar	Aegotheles albertisi	Introduced species
 
APODIFORMES: Hemiprocnidae

Moustached Treeswift	Hemiprocne mystacea	
 
APODIFORMES: Apodidae

Glossy Swiftlet	Collocalia esculenta	
Uniform Swiftlet	Aerodramus vanikorensis	
Papuan Spinetail	Mearnsia novaeguineae	
White-throated Needletail	Hirundapus caudacutus	
Pacific Swift	Apus pacificus	
 
CUCULIFORMES: Cuculidae

Ivory-billed Coucal	Centropus menbeki	
Black-billed Coucal	Centropus bernsteini	
Pacific Koel	Eudynamys orientalis	
Channel-billed Cuckoo	Scythrops novaehollandiae	
Long-billed Cuckoo	Chrysococcyx megarhynchus	
White-eared Bronze Cuckoo	Chrysococcyx meyerii	
Little Bronze Cuckoo	Chrysococcyx minutillus	
Chestnut-breasted Cuckoo	Cacomantis castaneiventris	
Brush Cuckoo	Cacomantis variolosus	
Himalayan Cuckoo	Cuculus saturatus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Metallic Pigeon	Columba vitiensis	
Sultan's Cuckoo-Dove	Macropygia doreya	
Bar-tailed Cuckoo-Dove	Macropygia nigrirostris	
Great Cuckoo-Dove	Reinwardtoena reinwardti	
Common Emerald Dove	Chalcophaps indica	
Stephan's Emerald Dove	Chalcophaps stephani	
New Guinea Bronzewing	Henicophaps albifrons	
Nicobar Pigeon	Caloenas nicobarica	Near-threatened
Cinnamon Ground Dove	Gallicolumba rufigula	
Bronze Ground Dove	Pampusana beccarii	
Pheasant Pigeon	Otidiphaps nobilis	
Western Crowned Pigeon	Goura cristata	Vulnerable
Wompoo Fruit Dove	Ptilinopus magnificus	
Pink-spotted Fruit Dove	Ptilinopus perlatus	
Orange-fronted Fruit Dove	Ptilinopus aurantiifrons	
Superb Fruit Dove	Ptilinopus superbus	
Coroneted Fruit Dove	Ptilinopus coronulatus	
Beautiful Fruit Dove	Ptilinopus pulchellus	
White-bibbed Fruit Dove	Ptilinopus rivoli	
Claret-breasted Fruit Dove	Ptilinopus viridis	
Orange-bellied Fruit Dove	Ptilinopus iozonus	
Dwarf Fruit Dove	Ptilinopus nainus	
Spectacled Imperial Pigeon	Ducula perspicillata	Endemic (country/region)
Elegant Imperial Pigeon	Ducula concinna	Endemic (country/region)
Spice Imperial Pigeon	Ducula myristicivora	
Purple-tailed Imperial Pigeon	Ducula rufigaster	
Rufescent Imperial Pigeon	Ducula chalconota	
Pinon's Imperial Pigeon	Ducula pinon	
Zoe's Imperial Pigeon	Ducula zoeae	
Pied Imperial Pigeon	Ducula bicolor	
 
GRUIFORMES: Rallidae

Barred Rail	Hypotaenidia torquata	
Red-necked Crake	Rallina tricolor	
Bare-eyed Rail	Gymnocrex plumbeiventris	
White-browed Crake	Poliolimnas cinereus	
Pale-vented Bush-hen	Amaurornis moluccana	
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

