
 
CASUARIIFORMES: Casuariidae

Northern Cassowary	Casuarius unappendiculatus	
 
ANSERIFORMES: Anatidae

Wandering Whistling-Duck	Dendrocygna arcuata	
Radjah Shelduck	Radjah radjah	
Eurasian Wigeon	Mareca penelope	Rare/Accidental
 
GALLIFORMES: Megapodiidae

Red-billed Brushturkey	Talegalla cuvieri	Endemic (country/region)
Dusky Megapode	Megapodius freycinet	
Orange-footed Megapode	Megapodius reinwardt	
 
GALLIFORMES: Phasianidae

Blue-breasted Quail	Synoicus chinensis	
 
COLUMBIFORMES: Columbidae

Sultan's Cuckoo-Dove	Macropygia doreya	
Great Cuckoo-Dove	Reinwardtoena reinwardti	
Stephan's Dove	Chalcophaps stephani	
New Guinea Bronzewing	Henicophaps albifrons	
Nicobar Pigeon	Caloenas nicobarica	Near-threatened
Cinnamon Ground Dove	Gallicolumba rufigula	
Thick-billed Ground-Pigeon	Trugon terrestris	
Pheasant Pigeon	Otidiphaps nobilis	
Western Crowned-Pigeon	Goura cristata	Vulnerable
Wompoo Fruit-Dove	Ptilinopus magnificus	
Pink-spotted Fruit-Dove	Ptilinopus perlatus	
Ornate Fruit-Dove	Ptilinopus ornatus	
Orange-fronted Fruit-Dove	Ptilinopus aurantiifrons	
Superb Fruit-Dove	Ptilinopus superbus	
Coroneted Fruit-Dove	Ptilinopus coronulatus	
Beautiful Fruit-Dove	Ptilinopus pulchellus	
Claret-breasted Fruit-Dove	Ptilinopus viridis	
Orange-bellied Fruit-Dove	Ptilinopus iozonus	
Dwarf Fruit-Dove	Ptilinopus nainus	
Spectacled Imperial-Pigeon	Ducula perspicillata	Rare/Accidental
Spice Imperial-Pigeon	Ducula myristicivora	Endemic (country/region)
Purple-tailed Imperial-Pigeon	Ducula rufigaster	
Rufescent Imperial-Pigeon	Ducula chalconota	
Pinon's Imperial-Pigeon	Ducula pinon	
Zoe's Imperial-Pigeon	Ducula zoeae	
Pied Imperial-Pigeon	Ducula bicolor	
Papuan Mountain-Pigeon	Gymnophaps albertisii	
 
CUCULIFORMES: Cuculidae

Greater Black Coucal	Centropus menbeki	
Lesser Black Coucal	Centropus bernsteini	
Dwarf Koel	Microdynamis parva	
Pacific Koel	Eudynamys orientalis	
Channel-billed Cuckoo	Scythrops novaehollandiae	
Long-billed Cuckoo	Chrysococcyx megarhynchus	
Shining Bronze-Cuckoo	Chrysococcyx lucidus	
White-eared Bronze-Cuckoo	Chrysococcyx meyerii	
Little Bronze-Cuckoo	Chrysococcyx minutillus	
White-crowned Cuckoo	Cacomantis leucolophus	
Chestnut-breasted Cuckoo	Cacomantis castaneiventris	
Brush Cuckoo	Cacomantis variolosus	
Oriental Cuckoo	Cuculus optatus	
 
CAPRIMULGIFORMES: Podargidae

Marbled Frogmouth	Podargus ocellatus	
Papuan Frogmouth	Podargus papuensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Papuan Nightjar	Eurostopodus papuensis	
Large-tailed Nightjar	Caprimulgus macrurus	
 
CAPRIMULGIFORMES: Aegothelidae

Wallace's Owlet-nightjar	Aegotheles wallacii	
Vogelkop Owlet-nightjar	Aegotheles affinis	Endemic (country/region) Near-threatened
 
CAPRIMULGIFORMES: Apodidae

Papuan Spinetail	Mearnsia novaeguineae	
White-throated Needletail	Hirundapus caudacutus	
Glossy Swiftlet	Collocalia esculenta	
Mountain Swiftlet	Aerodramus hirundinaceus	
Uniform Swiftlet	Aerodramus vanikorensis	
Pacific Swift	Apus pacificus	
 
CAPRIMULGIFORMES: Hemiprocnidae

Moustached Treeswift	Hemiprocne mystacea	
 
GRUIFORMES: Rallidae

Barred Rail	Gallirallus torquatus	
Black-backed Swamphen	Porphyrio indicus	
Australasian Swamphen	Porphyrio melanotus	
Pale-vented Bush-hen	Amaurornis moluccana	
Red-necked Crake	Rallina tricolor	
 
CHARADRIIFORMES: Burhinidae

