
 
ANSERIFORMES: Anatidae

Wandering Whistling Duck	Dendrocygna arcuata	
Lesser Whistling Duck	Dendrocygna javanica	
Cotton Pygmy Goose	Nettapus coromandelianus	
Garganey	Spatula querquedula	
Pacific Black Duck	Anas superciliosa	
Sunda Teal	Anas gibberifrons	Near-threatened
 
GALLIFORMES: Megapodiidae

Orange-footed Scrubfowl	Megapodius reinwardt	
 
GALLIFORMES: Phasianidae

Great Argus	Argusianus argus	Vulnerable
Green Peafowl	Pavo muticus	Endangered
Green Junglefowl	Gallus varius	Endemic (country/region)
Red Junglefowl	Gallus gallus	
King Quail	Synoicus chinensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Grey Nightjar	Caprimulgus jotaka	
Large-tailed Nightjar	Caprimulgus macrurus	
Savanna Nightjar	Caprimulgus affinis	
 
PODARGIFORMES: Podargidae

Javan Frogmouth	Batrachostomus javensis	Endemic (country/region)
 
APODIFORMES: Hemiprocnidae

Grey-rumped Treeswift	Hemiprocne longipennis	
 
APODIFORMES: Apodidae

Giant Swiftlet	Hydrochous gigas	Near-threatened
Cave Swiftlet	Collocalia linchi	
Volcano Swiftlet	Aerodramus vulcanorum	Endemic
Mossy-nest Swiftlet	Aerodramus salangana	
Black-nest Swiftlet	Aerodramus maximus	
Edible-nest Swiftlet	Aerodramus fuciphagus	
Silver-rumped Spinetail	Rhaphidura leucopygialis	
White-throated Needletail	Hirundapus caudacutus	
Silver-backed Needletail	Hirundapus cochinchinensis	
Brown-backed Needletail	Hirundapus giganteus	
Asian Palm Swift	Cypsiurus balasiensis	
Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Sunda Coucal	Centropus nigrorufus	Endemic (country/region) Vulnerable
Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Red-billed Malkoha	Zanclostomus javanicus	
Chestnut-breasted Malkoha	Phaenicophaeus curvirostris	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Horsfield's Bronze Cuckoo	Chalcites basalis	
Little Bronze Cuckoo	Chalcites minutillus	
Banded Bay Cuckoo	Cacomantis sonneratii	
Plaintive Cuckoo	Cacomantis merulinus	
Sunda Brush Cuckoo	Cacomantis sepulcralis	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Malaysian Hawk-Cuckoo	Hierococcyx fugax	
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Oriental Cuckoo	Cuculus optatus	
Sunda Cuckoo	Cuculus lepidus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Sunda Collared Dove	Streptopelia bitorquata	
Spotted Dove	Spilopelia chinensis	
Barred Cuckoo-Dove	Macropygia unchall	
Ruddy Cuckoo-Dove	Macropygia emiliana	
Enggano Cuckoo-Dove	Macropygia cinnamomea	Near-threatened
Little Cuckoo-Dove	Macropygia ruficeps	
Common Emerald Dove	Chalcophaps indica	
Zebra Dove	Geopelia striata	
Little Green Pigeon	Treron olax	
Pink-necked Green Pigeon	Treron vernans	
Orange-breasted Green Pigeon	Treron bicinctus	
Thick-billed Green Pigeon	Treron curvirostra	
Grey-cheeked Green Pigeon	Treron griseicauda	Endemic (country/region)
Large Green Pigeon	Treron capellei	Vulnerable
Wedge-tailed Green Pigeon	Treron sphenurus	
Pink-headed Fruit Dove	Ptilinopus porphyreus	Endemic (country/region)
Jambu Fruit Dove	Ptilinopus jambu	Rare/Accidental Near-threatened
Black-naped Fruit Dove	Ptilinopus melanospilus	
Green Imperial Pigeon	Ducula aenea	Near-threatened
Pink-headed Imperial Pigeon	Ducula rosacea	Endemic (country/region) Near-threatened
Pied Imperial Pigeon	Ducula bicolor	
 
GRUIFORMES: Heliornithidae

Masked Finfoot	Heliopais personatus	Rare/Accidental Critically endangered
 
GRUIFORMES: Rallidae

Slaty-breasted Rail	Lewinia striata	
Common Moorhen	Gallinula chloropus	
Black-backed Swamphen	Porphyrio indicus	
