
 
ANSERIFORMES: Anatidae

Wandering Whistling Duck	Dendrocygna arcuata	
Lesser Whistling Duck	Dendrocygna javanica	
Cotton Pygmy Goose	Nettapus coromandelianus	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Eurasian Wigeon	Mareca penelope	Rare/Accidental
Pacific Black Duck	Anas superciliosa	
Eastern Spot-billed Duck	Anas zonorhyncha	Rare/Accidental
Mallard	Anas platyrhynchos	Rare/Accidental
Northern Pintail	Anas acuta	Rare/Accidental
Eurasian Teal	Anas crecca	
Sunda Teal	Anas gibberifrons	
Tufted Duck	Aythya fuligula	Rare/Accidental
 
GALLIFORMES: Megapodiidae

Philippine Megapode	Megapodius cumingii	
Orange-footed Scrubfowl	Megapodius reinwardt	
 
GALLIFORMES: Phasianidae

Ferruginous Partridge	Caloperdix oculeus	
Crested Partridge	Rollulus rouloul	
Black Partridge	Melanoperdix niger	
Red-breasted Partridge	Arborophila hyperythra	Endemic
Long-billed Partridge	Rhizothera longirostris	
Dulit Partridge	Rhizothera dulitensis	Endemic
Bulwer's Pheasant	Lophura bulweri	Endemic
Bornean Crestless Fireback	Lophura pyronota	Endemic
Bornean Crested Fireback	Lophura ignita	
Great Argus	Argusianus argus	
Chestnut-necklaced Partridge	Tropicoperdix charltonii	
Sabah Partridge	Tropicoperdix graydoni	Endemic
Crimson-headed Partridge	Haematortyx sanguiniceps	Endemic
Bornean Peacock-Pheasant	Polyplectron schleiermacheri	Endemic
Red Junglefowl	Gallus gallus	Introduced species
King Quail	Synoicus chinensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Malaysian Eared Nightjar	Lyncornis temminckii	
Grey Nightjar	Caprimulgus jotaka	
Large-tailed Nightjar	Caprimulgus macrurus	
Savanna Nightjar	Caprimulgus affinis	
Bonaparte's Nightjar	Caprimulgus concretus	
Salvadori's Nightjar	Caprimulgus pulchellus	Endemic (country/region)
 
PODARGIFORMES: Podargidae

Large Frogmouth	Batrachostomus auritus	
Dulit Frogmouth	Batrachostomus harterti	Endemic
Gould's Frogmouth	Batrachostomus stellatus	
Sumatran Frogmouth	Batrachostomus poliolophus	
Bornean Frogmouth	Batrachostomus mixtus	Endemic
Javan Frogmouth	Batrachostomus javensis	Endemic (country/region)
Blyth's Frogmouth	Batrachostomus affinis	
Palawan Frogmouth	Batrachostomus chaseni	
Sunda Frogmouth	Batrachostomus cornutus	
 
APODIFORMES: Hemiprocnidae

Grey-rumped Treeswift	Hemiprocne longipennis	
Whiskered Treeswift	Hemiprocne comata	
 
APODIFORMES: Apodidae

Giant Swiftlet	Hydrochous gigas	
Plume-toed Swiftlet	Collocalia affinis	
Bornean Swiftlet	Collocalia dodgei	Endemic
Cave Swiftlet	Collocalia linchi	
Mossy-nest Swiftlet	Aerodramus salangana	
Ameline Swiftlet	Aerodramus amelis	
Black-nest Swiftlet	Aerodramus maximus	
Edible-nest Swiftlet	Aerodramus fuciphagus	
Germain's Swiftlet	Aerodramus germani	
Silver-rumped Spinetail	Rhaphidura leucopygialis	
White-throated Needletail	Hirundapus caudacutus	
Silver-backed Needletail	Hirundapus cochinchinensis	
Brown-backed Needletail	Hirundapus giganteus	
Asian Palm Swift	Cypsiurus balasiensis	
Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Short-toed Coucal	Centropus rectunguis	
Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Bornean Ground Cuckoo	Carpococcyx radiceus	Endemic
Raffles's Malkoha	Rhinortha chlorophaea	
Red-billed Malkoha	Zanclostomus javanicus	
Chestnut-breasted Malkoha	Phaenicophaeus curvirostris	
Chestnut-bellied Malkoha	Phaenicophaeus sumatranus	
Black-bellied Malkoha	Phaenicophaeus diardi	
Green-billed Malkoha	Phaenicophaeus tristis	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Horsfield's Bronze Cuckoo	Chrysococcyx basalis	
Little Bronze Cuckoo	Chrysococcyx minutillus	
Banded Bay Cuckoo	Cacomantis sonneratii	
Plaintive Cuckoo	Cacomantis merulinus	
