
 
ANSERIFORMES: Anatidae

Lesser Whistling Duck	Dendrocygna javanica	
Swan Goose	Anser cygnoides	Rare/Accidental Endangered
Knob-billed Duck	Sarkidiornis melanotos	
Ruddy Shelduck	Tadorna ferruginea	
Mandarin Duck	Aix galericulata	
Cotton Pygmy Goose	Nettapus coromandelianus	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Indian Spot-billed Duck	Anas poecilorhyncha	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Baer's Pochard	Aythya baeri	Critically endangered
Red-breasted Merganser	Mergus serrator	Rare/Accidental
 
GALLIFORMES: Phasianidae

Green Peafowl	Pavo muticus	Rare/Accidental Endangered
King Quail	Synoicus chinensis	
Rain Quail	Coturnix coromandelica	
 
CAPRIMULGIFORMES: Caprimulgidae

Great Eared Nightjar	Lyncornis macrotis	
Grey Nightjar	Caprimulgus jotaka	
Large-tailed Nightjar	Caprimulgus macrurus	
Indian Nightjar	Caprimulgus asiaticus	
Savanna Nightjar	Caprimulgus affinis	
 
APODIFORMES: Hemiprocnidae

Crested Treeswift	Hemiprocne coronata	
 
APODIFORMES: Apodidae

Himalayan Swiftlet	Aerodramus brevirostris	
Edible-nest Swiftlet	Aerodramus fuciphagus	
Silver-backed Needletail	Hirundapus cochinchinensis	
Brown-backed Needletail	Hirundapus giganteus	
Asian Palm Swift	Cypsiurus balasiensis	
Pacific Swift	Apus pacificus	
Cook's Swift	Apus cooki	
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Green-billed Malkoha	Phaenicophaeus tristis	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Asian Emerald Cuckoo	Chrysococcyx maculatus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Banded Bay Cuckoo	Cacomantis sonneratii	
Plaintive Cuckoo	Cacomantis merulinus	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Fork-tailed Drongo-Cuckoo	Surniculus dicruroides	
Moustached Hawk-Cuckoo	Hierococcyx vagans	Near-threatened
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Red Collared Dove	Streptopelia tranquebarica	
Spotted Dove	Spilopelia chinensis	
Common Emerald Dove	Chalcophaps indica	
Zebra Dove	Geopelia striata	Introduced species
Pink-necked Green Pigeon	Treron vernans	
Orange-breasted Green Pigeon	Treron bicinctus	
Ashy-headed Green Pigeon	Treron phayrei	Near-threatened
Thick-billed Green Pigeon	Treron curvirostra	
Yellow-vented Green Pigeon	Treron seimundi	
Wedge-tailed Green Pigeon	Treron sphenurus	
Green Imperial Pigeon	Ducula aenea	Near-threatened
Mountain Imperial Pigeon	Ducula badia	
 
GRUIFORMES: Rallidae

Brown-cheeked Rail	Rallus indicus	
Slaty-breasted Rail	Lewinia striata	
Spotted Crake	Porzana porzana	Rare/Accidental
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Grey-headed Swamphen	Porphyrio poliocephalus	
Ruddy-breasted Crake	Zapornia fusca	
Band-bellied Crake	Zapornia paykullii	Rare/Accidental Near-threatened
Baillon's Crake	Zapornia pusilla	
Slaty-legged Crake	Rallina eurizonoides	
Red-legged Crake	Rallina fasciata	
White-browed Crake	Poliolimnas cinereus	
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
 
CHARADRIIFORMES: Turnicidae

Yellow-legged Buttonquail	Turnix tanki	
Barred Buttonquail	Turnix suscitator	
Common Buttonquail	Turnix sylvaticus	
 
CHARADRIIFORMES: Burhinidae

Indian Stone-curlew	Burhinus indicus	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	
Pacific Golden Plover	Pluvialis fulva	
Little Ringed Plover	Charadrius dubius	
Northern Lapwing	Vanellus vanellus	Near-threatened
Grey-headed Lapwing	Vanellus cinereus	
Red-wattled Lapwing	Vanellus indicus	
Oriental Plover	Anarhynchus veredus	
Tibetan Sand Plover	Anarhynchus atrifrons	
Greater Sand Plover	Anarhynchus leschenaultii	
Malaysian Plover	Anarhynchus peronii	Near-threatened
Kentish Plover	Anarhynchus alexandrinus	
White-faced Plover	Anarhynchus dealbatus	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	
 
CHARADRIIFORMES: Jacanidae

Pheasant-tailed Jacana	Hydrophasianus chirurgus	
Bronze-winged Jacana	Metopidius indicus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Asian Dowitcher	Limnodromus semipalmatus	Near-threatened
Eurasian Woodcock	Scolopax rusticola	
Pin-tailed Snipe	Gallinago stenura	
Common Snipe	Gallinago gallinago	
Red-necked Phalarope	Phalaropus lobatus	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Grey-tailed Tattler	Tringa brevipes	Near-threatened
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	
Great Knot	Calidris tenuirostris	Endangered
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	
Broad-billed Sandpiper	Calidris falcinellus	
Curlew Sandpiper	Calidris ferruginea	Near-threatened
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	
Red-necked Stint	Calidris ruficollis	Near-threatened
Spoon-billed Sandpiper	Calidris pygmaea	Critically endangered
Sanderling	Calidris alba	
Little Stint	Calidris minuta	
 
CHARADRIIFORMES: Glareolidae

Small Pratincole	Glareola lactea	
Oriental Pratincole	Glareola maldivarum	
 
CHARADRIIFORMES: Laridae

Aleutian Tern	Onychoprion aleuticus	Rare/Accidental Vulnerable
Sooty Tern	Onychoprion fuscatus	
Bridled Tern	Onychoprion anaethetus	
Little Tern	Sternula albifrons	
Gull-billed Tern	Gelochelidon nilotica	
Caspian Tern	Hydroprogne caspia	
Whiskered Tern	Chlidonias hybrida	
White-winged Tern	Chlidonias leucopterus	
River Tern	Sterna aurantia	Vulnerable
Common Tern	Sterna hirundo	
Black-naped Tern	Sterna sumatrana	
Lesser Crested Tern	Thalasseus bengalensis	
Greater Crested Tern	Thalasseus bergii	
Slender-billed Gull	Chroicocephalus genei	
Black-headed Gull	Chroicocephalus ridibundus	
Brown-headed Gull	Chroicocephalus brunnicephalus	
Pallas's Gull	Ichthyaetus ichthyaetus	
Lesser Black-backed Gull	Larus fuscus	
Slaty-backed Gull	Larus schistisagus	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	
Pomarine Jaeger	Stercorarius pomarinus	
 
PROCELLARIIFORMES: Procellariidae

Wedge-tailed Shearwater	Ardenna pacifica	Rare/Accidental
Short-tailed Shearwater	Ardenna tenuirostris	
 
CICONIIFORMES: Ciconiidae

Asian Openbill	Anastomus oscitans	
Lesser Adjutant	Leptoptilos javanicus	Near-threatened
Greater Adjutant	Leptoptilos dubius	Extirpated Near-threatened
Painted Stork	Mycteria leucocephala	
Milky Stork	Mycteria cinerea	Introduced species Endangered
Black-necked Stork	Ephippiorhynchus asiaticus	Extirpated Near-threatened
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	
 
SULIFORMES: Anhingidae

Oriental Darter	Anhinga melanogaster	Near-threatened
 
SULIFORMES: Phalacrocoracidae

Little Cormorant	Microcarbo niger	
Indian Cormorant	Phalacrocorax fuscicollis	
Great Cormorant	Phalacrocorax carbo	
 
PELECANIFORMES: Threskiornithidae

African Sacred Ibis	Threskiornis aethiopicus	Introduced species
Black-headed Ibis	Threskiornis melanocephalus	Introduced species Near-threatened
Glossy Ibis	Plegadis falcinellus	
Black-faced Spoonbill	Platalea minor	Endangered
 
PELECANIFORMES: Ardeidae

Eurasian Bittern	Botaurus stellaris	
Black Bittern	Botaurus flavicollis	
Cinnamon Bittern	Botaurus cinnamomeus	
Von Schrenck's Bittern	Botaurus eurhythmus	
Yellow Bittern	Botaurus sinensis	
Black-crowned Night Heron	Nycticorax nycticorax	
Malayan Night Heron	Gorsachius melanolophus	
Pacific Reef Heron	Egretta sacra	
Little Egret	Egretta garzetta	
Striated Heron	Butorides striata	
Indian Pond Heron	Ardeola grayii	
Chinese Pond Heron	Ardeola bacchus	
Javan Pond Heron	Ardeola speciosa	
Great Egret	Ardea alba	
Medium Egret	Ardea intermedia	
Eastern Cattle Egret	Ardea coromanda	
Grey Heron	Ardea cinerea	
Purple Heron	Ardea purpurea	
 
PELECANIFORMES: Pelecanidae

Great White Pelican	Pelecanus onocrotalus	Uncertain origin
Spot-billed Pelican	Pelecanus philippensis	Near-threatened
 
ACCIPITRIFORMES: Pandionidae

Osprey	Pandion haliaetus	
 
