
 
ANSERIFORMES: Anatidae

Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Lesser Whistling Duck	Dendrocygna javanica	
Cotton Pygmy Goose	Nettapus coromandelianus	
Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Swan Goose	Anser cygnoides	Rare/Accidental Endangered
Lesser White-fronted Goose	Anser erythropus	Rare/Accidental Vulnerable
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Mandarin Duck	Aix galericulata	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Long-tailed Duck	Clangula hyemalis	Rare/Accidental Vulnerable
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Scaly-sided Merganser	Mergus squamatus	Rare/Accidental Endangered
Knob-billed Duck	Sarkidiornis melanotos	
White-winged Duck	Asarcornis scutulata	Critically endangered
Red-crested Pochard	Netta rufina	
Ferruginous Duck	Aythya nyroca	Near-threatened
Baer's Pochard	Aythya baeri	Critically endangered
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	Rare/Accidental
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Falcated Duck	Mareca falcata	Rare/Accidental
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Eastern Spot-billed Duck	Anas zonorhyncha	
Indian Spot-billed Duck	Anas poecilorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
 
GALLIFORMES: Phasianidae

Ferruginous Partridge	Caloperdix oculeus	Near-threatened
Crested Partridge	Rollulus rouloul	Vulnerable
Rufous-throated Partridge	Arborophila rufogularis	
Chestnut-headed Partridge	Arborophila cambodiana	Near-threatened
Bar-backed Partridge	Arborophila brunneopectus	
Malayan Partridge	Arborophila campbelli	
Long-billed Partridge	Rhizothera longirostris	Near-threatened
Mrs. Hume's Pheasant	Syrmaticus humiae	Vulnerable
Kalij Pheasant	Lophura leucomelanos	
Silver Pheasant	Lophura nycthemera	
Siamese Fireback	Lophura diardi	Near-threatened
Malayan Crested Fireback	Lophura rufa	Vulnerable
Great Argus	Argusianus argus	Vulnerable
Green Peafowl	Pavo muticus	Endangered
Green-legged Partridge	Tropicoperdix chloropus	
Chestnut-necklaced Partridge	Tropicoperdix charltonii	Vulnerable
Malayan Peacock-Pheasant	Polyplectron malacense	Endangered
Grey Peacock-Pheasant	Polyplectron bicalcaratum	
Mountain Peacock-Pheasant	Polyplectron inopinatum	Rare/Accidental Near-threatened
Mountain Bamboo Partridge	Bambusicola fytchii	
Red Junglefowl	Gallus gallus	
Chinese Francolin	Francolinus pintadeanus	
King Quail	Synoicus chinensis	
Japanese Quail	Coturnix japonica	Near-threatened
Common Quail	Coturnix coturnix	
Rain Quail	Coturnix coromandelica	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Horned Grebe	Podiceps auritus	Rare/Accidental Vulnerable
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
 
CUCULIFORMES: Cuculidae

Coral-billed Ground Cuckoo	Carpococcyx renauldi	Endangered
Short-toed Coucal	Centropus rectunguis	Rare/Accidental Vulnerable
Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Raffles's Malkoha	Rhinortha chlorophaea	
Red-billed Malkoha	Zanclostomus javanicus	
Chestnut-breasted Malkoha	Phaenicophaeus curvirostris	
Chestnut-bellied Malkoha	Phaenicophaeus sumatranus	Near-threatened
Black-bellied Malkoha	Phaenicophaeus diardi	Near-threatened
Green-billed Malkoha	Phaenicophaeus tristis	
Chestnut-winged Cuckoo	Clamator coromandus	
Jacobin Cuckoo	Clamator jacobinus	
Asian Koel	Eudynamys scolopaceus	
Asian Emerald Cuckoo	Chrysococcyx maculatus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Little Bronze Cuckoo	Chalcites minutillus	
Banded Bay Cuckoo	Cacomantis sonneratii	
Plaintive Cuckoo	Cacomantis merulinus	
Sunda Brush Cuckoo	Cacomantis sepulcralis	
Fork-tailed Drongo-Cuckoo	Surniculus dicruroides	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Moustached Hawk-Cuckoo	Hierococcyx vagans	Near-threatened
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Dark Hawk-Cuckoo	Hierococcyx bocki	
Common Hawk-Cuckoo	Hierococcyx varius	Rare/Accidental
Northern Hawk-Cuckoo	Hierococcyx hyperythrus	Rare/Accidental
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	
Malaysian Hawk-Cuckoo	Hierococcyx fugax	
Lesser Cuckoo	Cuculus poliocephalus	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Sunda Cuckoo	Cuculus lepidus	
Common Cuckoo	Cuculus canorus	
Oriental Cuckoo	Cuculus optatus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Barred Cuckoo-Dove	Macropygia unchall	
Little Cuckoo-Dove	Macropygia ruficeps	
Spotted Dove	Spilopelia chinensis	
Red Collared Dove	Streptopelia tranquebarica	
Oriental Turtle Dove	Streptopelia orientalis	
Ashy Wood Pigeon	Columba pulchricollis	
Pale-capped Pigeon	Columba punicea	Vulnerable
Speckled Wood Pigeon	Columba hodgsonii	
Rock Dove	Columba livia	Introduced species
Common Emerald Dove	Chalcophaps indica	
Little Green Pigeon	Treron olax	
Pink-necked Green Pigeon	Treron vernans	
Cinnamon-headed Green Pigeon	Treron fulvicollis	Vulnerable
Orange-breasted Green Pigeon	Treron bicinctus	
Ashy-headed Green Pigeon	Treron phayrei	Near-threatened
Thick-billed Green Pigeon	Treron curvirostra	
Large Green Pigeon	Treron capellei	Vulnerable
Yellow-footed Green Pigeon	Treron phoenicopterus	
Yellow-vented Green Pigeon	Treron seimundi	
Pin-tailed Green Pigeon	Treron apicauda	
Wedge-tailed Green Pigeon	Treron sphenurus	
White-bellied Green Pigeon	Treron sieboldii	
Zebra Dove	Geopelia striata	
Nicobar Pigeon	Caloenas nicobarica	Near-threatened
Green Imperial Pigeon	Ducula aenea	Near-threatened
Mountain Imperial Pigeon	Ducula badia	
Pied Imperial Pigeon	Ducula bicolor	
Jambu Fruit Dove	Ramphiculus jambu	Vulnerable
 
GRUIFORMES: Gruidae

Sarus Crane	Antigone antigone	Introduced species Vulnerable
Demoiselle Crane	Grus virgo	Rare/Accidental
Common Crane	Grus grus	
 
GRUIFORMES: Heliornithidae

Masked Finfoot	Heliopais personatus	Critically endangered
 
GRUIFORMES: Rallidae

Brown-cheeked Rail	Rallus indicus	
Slaty-breasted Rail	Lewinia striata	
Spotted Crake	Porzana porzana	Rare/Accidental
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Purple Swamphen	Porphyrio porphyrio	
White-browed Crake	Poliolimnas cinereus	
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
Red-legged Crake	Rallina fasciata	
Slaty-legged Crake	Rallina eurizonoides	
Ruddy-breasted Crake	Zapornia fusca	
Band-bellied Crake	Zapornia paykullii	Rare/Accidental Near-threatened
Baillon's Crake	Zapornia pusilla	
Black-tailed Crake	Zapornia bicolor	
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	Near-threatened
Great Stone-curlew	Esacus recurvirostris	Near-threatened
Indian Stone-curlew	Burhinus indicus	
 
CHARADRIIFORMES: Recurvirostridae

Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Common Ringed Plover	Charadrius hiaticula	
Long-billed Plover	Thinornis placidus	
Little Ringed Plover	Thinornis dubius	
Northern Lapwing	Vanellus vanellus	Near-threatened
River Lapwing	Vanellus duvaucelii	Near-threatened
Grey-headed Lapwing	Vanellus cinereus	
Red-wattled Lapwing	Vanellus indicus	
Oriental Plover	Anarhynchus veredus	
Tibetan Sand Plover	Anarhynchus atrifrons	
Greater Sand Plover	Anarhynchus leschenaultii	
Malaysian Plover	Anarhynchus peronii	Near-threatened
White-faced Plover	Anarhynchus dealbatus	
Kentish Plover	Anarhynchus alexandrinus	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	
 
CHARADRIIFORMES: Jacanidae

Pheasant-tailed Jacana	Hydrophasianus chirurgus	
Bronze-winged Jacana	Metopidius indicus	
 
CHARADRIIFORMES: Scolopacidae

Little Curlew	Numenius minutus	
Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	Endangered
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Asian Dowitcher	Limnodromus semipalmatus	Near-threatened
Long-billed Dowitcher	Limnodromus scolopaceus	Near-threatened
Jack Snipe	Lymnocryptes minimus	
Eurasian Woodcock	Scolopax rusticola	
Wood Snipe	Gallinago nemoricola	Vulnerable
Swinhoe's Snipe	Gallinago megala	Rare/Accidental
Pin-tailed Snipe	Gallinago stenura	
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Red-necked Phalarope	Phalaropus lobatus	
Green Sandpiper	Tringa ochropus	
Grey-tailed Tattler	Tringa brevipes	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Lesser Yellowlegs	Tringa flavipes	Rare/Accidental Vulnerable
Nordmann's Greenshank	Tringa guttifer	Endangered
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Near-threatened
Great Knot	Calidris tenuirostris	Endangered
Ruff	Calidris pugnax	
Sharp-tailed Sandpiper	Calidris acuminata	Vulnerable
Broad-billed Sandpiper	Calidris falcinellus	Vulnerable
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Spoon-billed Sandpiper	Calidris pygmaea	Critically endangered
Red-necked Stint	Calidris ruficollis	Near-threatened
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Near-threatened
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Little Stint	Calidris minuta	
 
CHARADRIIFORMES: Turnicidae

Yellow-legged Buttonquail	Turnix tanki	
Barred Buttonquail	Turnix suscitator	
Common Buttonquail	Turnix sylvaticus	
 
CHARADRIIFORMES: Dromadidae

Crab-plover	Dromas ardeola	
 
CHARADRIIFORMES: Glareolidae

Small Pratincole	Glareola lactea	
Oriental Pratincole	Glareola maldivarum	
Collared Pratincole	Glareola pratincola	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	
Long-tailed Jaeger	Stercorarius longicaudus	
Pomarine Jaeger	Stercorarius pomarinus	
 
CHARADRIIFORMES: Alcidae

Ancient Murrelet	Synthliboramphus antiquus	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Indian Skimmer	Rynchops albicollis	Endangered
Brown Noddy	Anous stolidus	
Aleutian Tern	Onychoprion aleuticus	Rare/Accidental Vulnerable
Sooty Tern	Onychoprion fuscatus	
Bridled Tern	Onychoprion anaethetus	
Little Tern	Sternula albifrons	
Caspian Tern	Hydroprogne caspia	
Australian Tern	Gelochelidon macrotarsa	Rare/Accidental
Gull-billed Tern	Gelochelidon nilotica	
Whiskered Tern	Chlidonias hybrida	
White-winged Tern	Chlidonias leucopterus	
Chinese Crested Tern	Thalasseus bernsteini	Rare/Accidental Critically endangered
Greater Crested Tern	Thalasseus bergii	
Lesser Crested Tern	Thalasseus bengalensis	
River Tern	Sterna aurantia	Vulnerable
Arctic Tern	Sterna paradisaea	Rare/Accidental
Common Tern	Sterna hirundo	
Black-naped Tern	Sterna sumatrana	
Roseate Tern	Sterna dougallii	
Black-bellied Tern	Sterna acuticauda	Extirpated Endangered
Little Gull	Hydrocoloeus minutus	Rare/Accidental
Black-legged Kittiwake	Rissa tridactyla	Vulnerable
Sabine's Gull	Xema sabini	Rare/Accidental
Slender-billed Gull	Chroicocephalus genei	
Black-headed Gull	Chroicocephalus ridibundus	
Brown-headed Gull	Chroicocephalus brunnicephalus	
Pallas's Gull	Ichthyaetus ichthyaetus	
Sooty Gull	Ichthyaetus hemprichii	Rare/Accidental
Black-tailed Gull	Larus crassirostris	
Common Gull	Larus canus	
Caspian Gull	Larus cachinnans	Rare/Accidental
Mongolian Gull	Larus mongolicus	
European Herring Gull	Larus argentatus	
Lesser Black-backed Gull	Larus fuscus	Rare/Accidental
Slaty-backed Gull	Larus schistisagus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	Rare/Accidental
Red-tailed Tropicbird	Phaethon rubricauda	Rare/Accidental
White-tailed Tropicbird	Phaethon lepturus	Rare/Accidental
 
PROCELLARIIFORMES: Diomedeidae

Laysan Albatross	Phoebastria immutabilis	Rare/Accidental Near-threatened
 
PROCELLARIIFORMES: Hydrobatidae

Swinhoe's Storm Petrel	Hydrobates monorhis	Near-threatened
 
PROCELLARIIFORMES: Procellariidae

Northern Fulmar	Fulmarus glacialis	Rare/Accidental
Streaked Shearwater	Calonectris leucomelas	Near-threatened
Wedge-tailed Shearwater	Ardenna pacifica	
Short-tailed Shearwater	Ardenna tenuirostris	
White-necked Petrel	Pterodroma cervicalis	Rare/Accidental Vulnerable
 
CICONIIFORMES: Ciconiidae

Asian Openbill	Anastomus oscitans	
Greater Adjutant	Leptoptilos dubius	Near-threatened
Lesser Adjutant	Leptoptilos javanicus	Near-threatened
Milky Stork	Mycteria cinerea	Introduced species Endangered
Painted Stork	Mycteria leucocephala	
Black-necked Stork	Ephippiorhynchus asiaticus	Extirpated
Black Stork	Ciconia nigra	
Oriental Stork	Ciconia boyciana	Endangered
White Stork	Ciconia ciconia	Rare/Accidental
Storm's Stork	Ciconia stormi	Endangered
Asian Woolly-necked Stork	Ciconia episcopus	Near-threatened
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	
Christmas Frigatebird	Fregata andrewsi	Vulnerable
Great Frigatebird	Fregata minor	
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	Rare/Accidental
Brown Booby	Sula leucogaster	Rare/Accidental
Masked Booby	Sula dactylatra	
 
SULIFORMES: Anhingidae

Oriental Darter	Anhinga melanogaster	
 
SULIFORMES: Phalacrocoracidae

Little Cormorant	Microcarbo niger	
Great Cormorant	Phalacrocorax carbo	
Indian Cormorant	Phalacrocorax fuscicollis	
 
PELECANIFORMES: Threskiornithidae

Glossy Ibis	Plegadis falcinellus	
White-shouldered Ibis	Pseudibis davisoni	Extirpated Critically endangered
Giant Ibis	Pseudibis gigantea	Extirpated Critically endangered
Eurasian Spoonbill	Platalea leucorodia	Rare/Accidental
Black-faced Spoonbill	Platalea minor	Vulnerable
African Sacred Ibis	Threskiornis aethiopicus	Introduced species
Black-headed Ibis	Threskiornis melanocephalus	
 
PELECANIFORMES: Pelecanidae

Great White Pelican	Pelecanus onocrotalus	Uncertain origin
Spot-billed Pelican	Pelecanus philippensis	Near-threatened
 
PELECANIFORMES: Ardeidae

Eurasian Bittern	Botaurus stellaris	
Black Bittern	Botaurus flavicollis	
Cinnamon Bittern	Botaurus cinnamomeus	
Von Schrenck's Bittern	Botaurus eurhythmus	Near-threatened
Yellow Bittern	Botaurus sinensis	
Malayan Night Heron	Gorsachius melanolophus	
Chinese Egret	Egretta eulophotes	Vulnerable
Pacific Reef Heron	Egretta sacra	
Little Egret	Egretta garzetta	
Black-crowned Night Heron	Nycticorax nycticorax	
Little Heron	Butorides atricapilla	
