
 
ANSERIFORMES: Anatidae

Fulvous Whistling Duck	Dendrocygna bicolor	
Lesser Whistling Duck	Dendrocygna javanica	
Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Taiga Bean Goose	Anser fabalis	Rare/Accidental
Tundra Bean Goose	Anser serrirostris	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	
Knob-billed Duck	Sarkidiornis melanotos	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
White-winged Duck	Asarcornis scutulata	
Mandarin Duck	Aix galericulata	Rare/Accidental
Cotton Pygmy Goose	Nettapus coromandelianus	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	
Eurasian Wigeon	Mareca penelope	
Indian Spot-billed Duck	Anas poecilorhyncha	
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Pink-headed Duck	Rhodonessa caryophyllacea	Extirpated
Red-crested Pochard	Netta rufina	
Common Pochard	Aythya ferina	
Baer's Pochard	Aythya baeri	
Ferruginous Duck	Aythya nyroca	
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
Scaly-sided Merganser	Mergus squamatus	
 
GALLIFORMES: Megapodiidae

Philippine Megapode	Megapodius cumingii	
 
GALLIFORMES: Phasianidae

Ferruginous Partridge	Caloperdix oculeus	
Crested Partridge	Rollulus rouloul	
Hill Partridge	Arborophila torqueola	
Rufous-throated Partridge	Arborophila rufogularis	
White-cheeked Partridge	Arborophila atrogularis	
Bar-backed Partridge	Arborophila brunneopectus	
Snow Partridge	Lerwa lerwa	Rare/Accidental
Blood Pheasant	Ithaginis cruentus	
Blyth's Tragopan	Tragopan blythii	
Temminck's Tragopan	Tragopan temminckii	
Himalayan Monal	Lophophorus impejanus	
Sclater's Monal	Lophophorus sclateri	
Long-billed Partridge	Rhizothera longirostris	
Mrs. Hume's Pheasant	Syrmaticus humiae	
Lady Amherst's Pheasant	Chrysolophus amherstiae	
Common Pheasant	Phasianus colchicus	
Kalij Pheasant	Lophura leucomelanos	
Silver Pheasant	Lophura nycthemera	
Siamese Fireback	Lophura diardi	
Malayan Crested Fireback	Lophura rufa	
Great Argus	Argusianus argus	
Green Peafowl	Pavo muticus	
Green-legged Partridge	Tropicoperdix chloropus	
Chestnut-necklaced Partridge	Tropicoperdix charltonii	
Malayan Peacock-Pheasant	Polyplectron malacense	
Grey Peacock-Pheasant	Polyplectron bicalcaratum	
Mountain Bamboo Partridge	Bambusicola fytchii	
Red Junglefowl	Gallus gallus	
Chinese Francolin	Francolinus pintadeanus	
King Quail	Synoicus chinensis	
Common Quail	Coturnix coturnix	
Japanese Quail	Coturnix japonica	
Rain Quail	Coturnix coromandelica	
 
CAPRIMULGIFORMES: Caprimulgidae

Great Eared Nightjar	Lyncornis macrotis	
Grey Nightjar	Caprimulgus jotaka	
Large-tailed Nightjar	Caprimulgus macrurus	
Indian Nightjar	Caprimulgus asiaticus	
Savanna Nightjar	Caprimulgus affinis	
 
