
 
ANSERIFORMES: Anatidae

Wandering Whistling Duck	Dendrocygna arcuata	
Mandarin Duck	Aix galericulata	Rare/Accidental
Cotton Pygmy Goose	Nettapus coromandelianus	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Eurasian Wigeon	Mareca penelope	
Philippine Duck	Anas luzonica	Endemic (country/region)
Eastern Spot-billed Duck	Anas zonorhyncha	Rare/Accidental
Mallard	Anas platyrhynchos	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Common Pochard	Aythya ferina	Rare/Accidental
Tufted Duck	Aythya fuligula	
 
GALLIFORMES: Megapodiidae

Philippine Megapode	Megapodius cumingii	
 
GALLIFORMES: Phasianidae

Daurian Partridge	Perdix dauurica	Extirpated
Red Junglefowl	Gallus gallus	
King Quail	Synoicus chinensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Great Eared Nightjar	Lyncornis macrotis	
Grey Nightjar	Caprimulgus jotaka	
Philippine Nightjar	Caprimulgus manillensis	Endemic (country/region)
Savanna Nightjar	Caprimulgus affinis	
Chirruping Nightjar	Caprimulgus griseatus	
 
PODARGIFORMES: Podargidae

Philippine Frogmouth	Batrachostomus septimus	Endemic (country/region)
 
APODIFORMES: Hemiprocnidae

Whiskered Treeswift	Hemiprocne comata	
 
APODIFORMES: Apodidae

Grey-rumped Swiftlet	Collocalia marginata	
Ridgetop Swiftlet	Collocalia isonota	
Pygmy Swiftlet	Collocalia troglodytes	Endemic (country/region)
Philippine Swiftlet	Aerodramus mearnsi	Endemic (country/region)
Whitehead's Swiftlet	Aerodramus whiteheadi	Endemic (country/region)
Mossy-nest Swiftlet	Aerodramus salangana	
Ameline Swiftlet	Aerodramus amelis	
Purple Needletail	Hirundapus celebensis	
Asian Palm Swift	Cypsiurus balasiensis	
Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Rufous Coucal	Centropus unirufus	Endemic (country/region)
Philippine Coucal	Centropus viridis	Endemic (country/region)
Lesser Coucal	Centropus bengalensis	
Rough-crested Malkoha	Dasylophus superciliosus	Endemic (country/region)
Scale-feathered Malkoha	Dasylophus cumingi	Endemic (country/region)
Chestnut-winged Cuckoo	Clamator coromandus	
Jacobin Cuckoo	Clamator jacobinus	Rare/Accidental
Asian Koel	Eudynamys scolopaceus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Plaintive Cuckoo	Cacomantis merulinus	
Rusty-breasted Cuckoo	Cacomantis sepulcralis	
Philippine Drongo-Cuckoo	Surniculus velutinus	Endemic (country/region)
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Philippine Hawk-Cuckoo	Hierococcyx pectoralis	Endemic (country/region)
Indian Cuckoo	Cuculus micropterus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Metallic Pigeon	Columba vitiensis	
Philippine Collared Dove	Streptopelia dusumieri	
Red Collared Dove	Streptopelia tranquebarica	
Spotted Dove	Spilopelia chinensis	
Philippine Cuckoo-Dove	Macropygia tenuirostris	
Common Emerald Dove	Chalcophaps indica	
Zebra Dove	Geopelia striata	Introduced species
Nicobar Pigeon	Caloenas nicobarica	
Luzon Bleeding-heart	Gallicolumba luzonica	Endemic (country/region)
White-eared Brown Dove	Phapitreron leucotis	Endemic (country/region)
Amethyst Brown Dove	Phapitreron amethystinus	Endemic (country/region)
Pink-necked Green Pigeon	Treron vernans	
Philippine Green Pigeon	Treron axillaris	
Taiwan Green Pigeon	Treron formosae	
Flame-breasted Fruit Dove	Ptilinopus marchei	Endemic (country/region)
Cream-breasted Fruit Dove	Ptilinopus merrilli	Endemic (country/region)
Yellow-breasted Fruit Dove	Ptilinopus occipitalis	Endemic (country/region)
Black-chinned Fruit Dove	Ptilinopus leclancheri	Endemic (country/region)
Pink-bellied Imperial Pigeon	Ducula poliocephala	Endemic (country/region)
Spotted Imperial Pigeon	Ducula carola	Endemic (country/region)
Green Imperial Pigeon	Ducula aenea	
 
GRUIFORMES: Rallidae

Slaty-breasted Rail	Lewinia striata	
Brown-banded Rail	Lewinia mirifica	Endemic (country/region)
Calayan Rail	Aptenorallus calayanensis	Endemic (country/region)
Barred Rail	Hypotaenidia torquata	
Buff-banded Rail	Hypotaenidia philippensis	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Philippine Swamphen	Porphyrio pulverulentus	Endemic (country/region)
Ruddy-breasted Crake	Zapornia fusca	
Baillon's Crake	Zapornia pusilla	
Spotless Crake	Zapornia tabuensis	
Slaty-legged Crake	Rallina eurizonoides	
Red-legged Crake	Rallina fasciata	
White-browed Crake	Poliolimnas cinereus	
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
Plain Bush-hen	Amaurornis olivacea	Endemic (country/region)
 
GRUIFORMES: Gruidae

Demoiselle Crane	Grus virgo	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
 
CHARADRIIFORMES: Turnicidae

Common Buttonquail	Turnix sylvaticus	
Spotted Buttonquail	Turnix ocellatus	Endemic (country/region)
Barred Buttonquail	Turnix suscitator	
Worcester's Buttonquail	Turnix worcesteri	Endemic (country/region)
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Stilt	Himantopus leucocephalus	
Pied Avocet	Recurvirostra avosetta	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	Rare/Accidental
Grey-headed Lapwing	Vanellus cinereus	Rare/Accidental
Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Little Ringed Plover	Charadrius dubius	
Kentish Plover	Charadrius alexandrinus	
Malaysian Plover	Charadrius peronii	
Greater Sand Plover	Charadrius leschenaultii	
Siberian Sand Plover	Charadrius mongolus	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	
 
CHARADRIIFORMES: Jacanidae

Pheasant-tailed Jacana	Hydrophasianus chirurgus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	
Eurasian Curlew	Numenius arquata	
Bar-tailed Godwit	Limosa lapponica	
