
 
GALLIFORMES: Megapodiidae

Philippine Megapode	Megapodius cumingii	
 
GALLIFORMES: Phasianidae

Chinese Francolin	Francolinus pintadeanus	
Daurian Partridge	Perdix dauurica	Extirpated
King Quail	Excalfactoria chinensis	
Red Junglefowl	Gallus gallus	
 
ANSERIFORMES: Anatidae

Wandering Whistling Duck	Dendrocygna arcuata	
Bar-headed Goose	Anser indicus	Rare/Accidental
Tundra Bean Goose	Anser serrirostris	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Common Shelduck	Tadorna tadorna	Rare/Accidental
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Mandarin Duck	Aix galericulata	Rare/Accidental
Cotton Pygmy Goose	Nettapus coromandelianus	
Baikal Teal	Sibirionetta formosa	Rare/Accidental
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Falcated Duck	Mareca falcata	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
Philippine Duck	Anas luzonica	Endemic (country/region)
Eastern Spot-billed Duck	Anas zonorhyncha	Rare/Accidental
Mallard	Anas platyrhynchos	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Common Pochard	Aythya ferina	Rare/Accidental
Baer's Pochard	Aythya baeri	Rare/Accidental
Ferruginous Duck	Aythya nyroca	Rare/Accidental
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	Rare/Accidental
Scaly-sided Merganser	Mergus squamatus	Rare/Accidental
 
CAPRIMULGIFORMES: Podargidae

Philippine Frogmouth	Batrachostomus septimus	Endemic (country/region)
 
CAPRIMULGIFORMES: Caprimulgidae

Great Eared Nightjar	Lyncornis macrotis	
Grey Nightjar	Caprimulgus jotaka	
Philippine Nightjar	Caprimulgus manillensis	Endemic (country/region)
Savanna Nightjar	Caprimulgus affinis	
 
APODIFORMES: Hemiprocnidae

Whiskered Treeswift	Hemiprocne comata	
 
APODIFORMES: Apodidae

Grey-rumped Swiftlet	Collocalia marginata	
Ridgetop Swiftlet	Collocalia isonota	
Pygmy Swiftlet	Collocalia troglodytes	Endemic (country/region)
Philippine Swiftlet	Aerodramus mearnsi	Endemic (country/region)
Whitehead's Swiftlet	Aerodramus whiteheadi	Endemic (country/region)
Mossy-nest Swiftlet	Aerodramus salangana	
Ameline Swiftlet	Aerodramus amelis	
Edible-nest Swiftlet	Aerodramus fuciphagus	
Germain's Swiftlet	Aerodramus germani	
White-throated Needletail	Hirundapus caudacutus	Rare/Accidental
Brown-backed Needletail	Hirundapus giganteus	
Purple Needletail	Hirundapus celebensis	
Asian Palm Swift	Cypsiurus balasiensis	
Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Rufous Coucal	Centropus unirufus	Endemic
Philippine Coucal	Centropus viridis	Endemic (country/region)
Lesser Coucal	Centropus bengalensis	
Rough-crested Malkoha	Dasylophus superciliosus	Endemic (country/region)
Scale-feathered Malkoha	Dasylophus cumingi	Endemic
Chestnut-winged Cuckoo	Clamator coromandus	
Jacobin Cuckoo	Clamator jacobinus	Rare/Accidental
Asian Koel	Eudynamys scolopaceus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Plaintive Cuckoo	Cacomantis merulinus	
Rusty-breasted Cuckoo	Cacomantis sepulcralis	
Philippine Drongo-Cuckoo	Surniculus velutinus	Endemic (country/region)
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Philippine Hawk-Cuckoo	Hierococcyx pectoralis	Endemic (country/region)
Indian Cuckoo	Cuculus micropterus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Metallic Pigeon	Columba vitiensis	
Oriental Turtle Dove	Streptopelia orientalis	Rare/Accidental
Island Collared Dove	Streptopelia bitorquata	
Red Collared Dove	Streptopelia tranquebarica	
Spotted Dove	Spilopelia chinensis	
Philippine Cuckoo-Dove	Macropygia tenuirostris	
Common Emerald Dove	Chalcophaps indica	
Zebra Dove	Geopelia striata	Introduced species
Nicobar Pigeon	Caloenas nicobarica	
Luzon Bleeding-heart	Gallicolumba luzonica	Endemic
Mindanao Bleeding-heart	Gallicolumba crinigera	Endemic (country/region)
Mindoro Bleeding-heart	Gallicolumba platenae	Endemic (country/region)
Negros Bleeding-heart	Gallicolumba keayi	Endemic (country/region)
Sulu Bleeding-heart	Gallicolumba menagei	Endemic (country/region)
White-eared Brown Dove	Phapitreron leucotis	
Amethyst Brown Dove	Phapitreron amethystinus	Endemic (country/region)
Pink-necked Green Pigeon	Treron vernans	
Philippine Green Pigeon	Treron axillaris	
Whistling Green Pigeon	Treron formosae	
