
 
ANSERIFORMES: Anatidae

Wandering Whistling Duck	Dendrocygna arcuata	
Garganey	Spatula querquedula	
Philippine Duck	Anas luzonica	Endemic (country/region)
 
GALLIFORMES: Megapodiidae

Philippine Megapode	Megapodius cumingii	
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	
King Quail	Synoicus chinensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Grey Nightjar	Caprimulgus jotaka	
Philippine Nightjar	Caprimulgus manillensis	Endemic (country/region)
Savanna Nightjar	Caprimulgus affinis	
Chirruping Nightjar	Caprimulgus griseatus	
 
APODIFORMES: Hemiprocnidae

Whiskered Treeswift	Hemiprocne comata	
 
APODIFORMES: Apodidae

Grey-rumped Swiftlet	Collocalia marginata	
Ridgetop Swiftlet	Collocalia isonota	
Pygmy Swiftlet	Collocalia troglodytes	Endemic (country/region)
Philippine Swiftlet	Aerodramus mearnsi	Endemic (country/region)
Whitehead's Swiftlet	Aerodramus whiteheadi	
Mossy-nest Swiftlet	Aerodramus salangana	
Ameline Swiftlet	Aerodramus amelis	
Philippine Spinetail	Mearnsia picina	Endemic (country/region)
Purple Needletail	Hirundapus celebensis	
Asian Palm Swift	Cypsiurus balasiensis	
Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Philippine Coucal	Centropus viridis	Endemic (country/region)
Lesser Coucal	Centropus bengalensis	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Little Bronze Cuckoo	Chrysococcyx minutillus	
Plaintive Cuckoo	Cacomantis merulinus	
Rusty-breasted Cuckoo	Cacomantis sepulcralis	
Philippine Drongo-Cuckoo	Surniculus velutinus	Endemic (country/region)
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Philippine Hawk-Cuckoo	Hierococcyx pectoralis	Endemic (country/region)
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Metallic Pigeon	Columba vitiensis	
Philippine Collared Dove	Streptopelia dusumieri	
Red Collared Dove	Streptopelia tranquebarica	
Spotted Dove	Spilopelia chinensis	
Philippine Cuckoo-Dove	Macropygia tenuirostris	
