
 
ANSERIFORMES: Anatidae

Spotted Whistling Duck	Dendrocygna guttata	Rare/Accidental
Wandering Whistling Duck	Dendrocygna arcuata	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Philippine Duck	Anas luzonica	Endemic (country/region) Vulnerable
Northern Pintail	Anas acuta	
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
 
GALLIFORMES: Megapodiidae

Philippine Megapode	Megapodius cumingii	
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	
King Quail	Synoicus chinensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Great Eared Nightjar	Lyncornis macrotis	
Grey Nightjar	Caprimulgus jotaka	
Large-tailed Nightjar	Caprimulgus macrurus	
Philippine Nightjar	Caprimulgus manillensis	Endemic (country/region)
Chirruping Nightjar	Caprimulgus griseatus	Endemic (country/region)
 
PODARGIFORMES: Podargidae

Philippine Frogmouth	Batrachostomus septimus	Endemic (country/region)
 
APODIFORMES: Hemiprocnidae

Grey-rumped Treeswift	Hemiprocne longipennis	
Whiskered Treeswift	Hemiprocne comata	
 
APODIFORMES: Apodidae

Ridgetop Swiftlet	Collocalia isonota	Endemic (country/region)
Pygmy Swiftlet	Collocalia troglodytes	Endemic (country/region)
Philippine Swiftlet	Aerodramus mearnsi	Endemic (country/region)
Whitehead's Swiftlet	Aerodramus whiteheadi	Endemic (country/region) Data deficient
Ameline Swiftlet	Aerodramus amelis	
Edible-nest Swiftlet	Aerodramus fuciphagus	
Philippine Spinetail	Mearnsia picina	Endemic (country/region) Near-threatened
White-throated Needletail	Hirundapus caudacutus	Rare/Accidental
Brown-backed Needletail	Hirundapus giganteus	
Purple Needletail	Hirundapus celebensis	
Asian Palm Swift	Cypsiurus balasiensis	
Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Black-faced Coucal	Centropus melanops	Endemic (country/region)
Greater Coucal	Centropus sinensis	
Philippine Coucal	Centropus viridis	Endemic (country/region)
Lesser Coucal	Centropus bengalensis	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Channel-billed Cuckoo	Scythrops novaehollandiae	Rare/Accidental
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Little Bronze Cuckoo	Chalcites minutillus	
Plaintive Cuckoo	Cacomantis merulinus	
Sunda Brush Cuckoo	Cacomantis sepulcralis	
Philippine Drongo-Cuckoo	Surniculus velutinus	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Philippine Hawk-Cuckoo	Hierococcyx pectoralis	Endemic (country/region)
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Metallic Pigeon	Columba vitiensis	
Philippine Collared Dove	Streptopelia dusumieri	Endemic (country/region) Vulnerable
Red Collared Dove	Streptopelia tranquebarica	
Spotted Dove	Spilopelia chinensis	
Philippine Cuckoo-Dove	Macropygia tenuirostris	
Common Emerald Dove	Chalcophaps indica	
Zebra Dove	Geopelia striata	
Nicobar Pigeon	Caloenas nicobarica	Near-threatened
Mindanao Bleeding-heart	Gallicolumba crinigera	Endemic Vulnerable
Sulu Bleeding-heart	Gallicolumba menagei	Endemic Critically endangered
White-eared Brown Dove	Phapitreron leucotis	
Amethyst Brown Dove	Phapitreron amethystinus	Endemic (country/region)
Tawitawi Brown Dove	Phapitreron cinereiceps	Endemic Endangered
Mindanao Brown Dove	Phapitreron brunneiceps	Endemic (country/region) Vulnerable
Pink-necked Green Pigeon	Treron vernans	
Philippine Green Pigeon	Treron axillaris	Endemic (country/region)
Yellow-breasted Fruit Dove	Ptilinopus occipitalis	
Black-chinned Fruit Dove	Ptilinopus leclancheri	Endemic (country/region)
Superb Fruit Dove	Ptilinopus superbus	Rare/Accidental
Black-naped Fruit Dove	Ptilinopus melanospilus	
Pink-bellied Imperial Pigeon	Ducula poliocephala	Endemic (country/region) Near-threatened
Spotted Imperial Pigeon	Ducula carola	Endemic (country/region) Vulnerable
Green Imperial Pigeon	Ducula aenea	Near-threatened
Grey Imperial Pigeon	Ducula pickeringii	Vulnerable
Pied Imperial Pigeon	Ducula bicolor	
 
GRUIFORMES: Rallidae

Slaty-breasted Rail	Lewinia striata	
Brown-banded Rail	Lewinia mirifica	Endemic (country/region) Data deficient
Barred Rail	Hypotaenidia torquata	
Buff-banded Rail	Hypotaenidia philippensis	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Philippine Swamphen	Porphyrio pulverulentus	Endemic (country/region)
Ruddy-breasted Crake	Zapornia fusca	
Baillon's Crake	Zapornia pusilla	
Slaty-legged Crake	Rallina eurizonoides	
Red-legged Crake	Rallina fasciata	
White-browed Crake	Poliolimnas cinereus	
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
Plain Bush-hen	Amaurornis olivacea	Endemic (country/region)
 
GRUIFORMES: Gruidae

Hooded Crane	Grus monacha	Rare/Accidental Vulnerable
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
 
CHARADRIIFORMES: Turnicidae

Barred Buttonquail	Turnix suscitator	
Spotted Buttonquail	Turnix ocellatus	Endemic (country/region)
Common Buttonquail	Turnix sylvaticus	Rare/Accidental
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Stilt	Himantopus leucocephalus	
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Little Ringed Plover	Charadrius dubius	
Oriental Plover	Anarhynchus veredus	Rare/Accidental
Siberian Sand Plover	Anarhynchus mongolus	Endangered
Greater Sand Plover	Anarhynchus leschenaultii	
Malaysian Plover	Anarhynchus peronii	Near-threatened
Kentish Plover	Anarhynchus alexandrinus	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	
 
CHARADRIIFORMES: Jacanidae

Pheasant-tailed Jacana	Hydrophasianus chirurgus	
Comb-crested Jacana	Irediparra gallinacea	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	Endangered
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Asian Dowitcher	Limnodromus semipalmatus	Near-threatened
Bukidnon Woodcock	Scolopax bukidnonensis	Endemic (country/region)
Swinhoe's Snipe	Gallinago megala	
Pin-tailed Snipe	Gallinago stenura	
Common Snipe	Gallinago gallinago	
Red-necked Phalarope	Phalaropus lobatus	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Grey-tailed Tattler	Tringa brevipes	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Nordmann's Greenshank	Tringa guttifer	Endangered
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Great Knot	Calidris tenuirostris	Endangered
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	
Broad-billed Sandpiper	Calidris falcinellus	Vulnerable
Sharp-tailed Sandpiper	Calidris acuminata	Vulnerable
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Long-toed Stint	Calidris subminuta	
Red-necked Stint	Calidris ruficollis	Near-threatened
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Rare/Accidental Near-threatened
Little Stint	Calidris minuta	Rare/Accidental
 
CHARADRIIFORMES: Glareolidae

Oriental Pratincole	Glareola maldivarum	
 
CHARADRIIFORMES: Laridae

White Tern	Gygis alba	Rare/Accidental
Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Aleutian Tern	Onychoprion aleuticus	Rare/Accidental Vulnerable
Sooty Tern	Onychoprion fuscatus	
Bridled Tern	Onychoprion anaethetus	
Little Tern	Sternula albifrons	
Gull-billed Tern	Gelochelidon nilotica	
Whiskered Tern	Chlidonias hybrida	
White-winged Tern	Chlidonias leucopterus	
Common Tern	Sterna hirundo	
Black-naped Tern	Sterna sumatrana	
Roseate Tern	Sterna dougallii	
Greater Crested Tern	Thalasseus bergii	
Chinese Crested Tern	Thalasseus bernsteini	Rare/Accidental Critically endangered
Black-headed Gull	Chroicocephalus ridibundus	
Franklin's Gull	Leucophaeus pipixcan	Rare/Accidental
Black-tailed Gull	Larus crassirostris	
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger	Stercorarius pomarinus	
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	Rare/Accidental
White-tailed Tropicbird	Phaethon lepturus	Rare/Accidental
 
PROCELLARIIFORMES: Procellariidae

Streaked Shearwater	Calonectris leucomelas	Near-threatened
Wedge-tailed Shearwater	Ardenna pacifica	
Bulwer's Petrel	Bulweria bulwerii	Rare/Accidental
 
CICONIIFORMES: Ciconiidae

Asian Woolly-necked Stork	Ciconia episcopus	Near-threatened
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	
Great Frigatebird	Fregata minor	
Christmas Frigatebird	Fregata andrewsi	Vulnerable
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
 
SULIFORMES: Anhingidae

Oriental Darter	Anhinga melanogaster	
 
SULIFORMES: Phalacrocoracidae

Little Black Cormorant	Phalacrocorax sulcirostris	Rare/Accidental
Great Cormorant	Phalacrocorax carbo	
 
PELECANIFORMES: Threskiornithidae

Glossy Ibis	Plegadis falcinellus	
 
PELECANIFORMES: Ardeidae

Black Bittern	Botaurus flavicollis	
Cinnamon Bittern	Botaurus cinnamomeus	
Von Schrenck's Bittern	Botaurus eurhythmus	
Yellow Bittern	Botaurus sinensis	
Black-crowned Night Heron	Nycticorax nycticorax	
Nankeen Night Heron	Nycticorax caledonicus	
Malayan Night Heron	Gorsachius melanolophus	
Japanese Night Heron	Gorsachius goisagi	Vulnerable
Pacific Reef Heron	Egretta sacra	
Chinese Egret	Egretta eulophotes	Vulnerable
Little Egret	Egretta garzetta	
Striated Heron	Butorides striata	
Javan Pond Heron	Ardeola speciosa	
Great Egret	Ardea alba	
Medium Egret	Ardea intermedia	
Eastern Cattle Egret	Ardea coromanda	
Grey Heron	Ardea cinerea	
Purple Heron	Ardea purpurea	
Great-billed Heron	Ardea sumatrana	
 
PELECANIFORMES: Pelecanidae

Spot-billed Pelican	Pelecanus philippensis	Extirpated Near-threatened
Australian Pelican	Pelecanus conspicillatus	Rare/Accidental
 
ACCIPITRIFORMES: Pandionidae

Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

Black-winged Kite	Elanus caeruleus	
Crested Honey Buzzard	Pernis ptilorhynchus	
Philippine Honey Buzzard	Pernis steerei	Endemic (country/region)
Jerdon's Baza	Aviceda jerdoni	
Crested Serpent Eagle	Spilornis cheela	
Philippine Serpent Eagle	Spilornis holospilus	Endemic (country/region)
Philippine Eagle	Pithecophaga jefferyi	Endemic (country/region) Critically endangered
Pinsker's Hawk-Eagle	Nisaetus pinskeri	Endangered
Philippine Hawk-Eagle	Nisaetus philippensis	Endemic (country/region) Endangered
Changeable Hawk-Eagle	Nisaetus cirrhatus	
Rufous-bellied Eagle	Lophotriorchis kienerii	Near-threatened
Crested Goshawk	Lophospiza trivirgata	
Chinese Sparrowhawk	Tachyspiza soloensis	
Japanese Sparrowhawk	Tachyspiza gularis	
Besra	Tachyspiza virgata	
Eastern Marsh Harrier	Circus spilonotus	
Pied Harrier	Circus melanoleucos	
Brahminy Kite	Haliastur indus	
White-bellied Sea Eagle	Icthyophaga leucogaster	
Grey-headed Fish Eagle	Icthyophaga ichthyaetus	Near-threatened
Grey-faced Buzzard	Butastur indicus	
 
STRIGIFORMES: Tytonidae

Eastern Grass Owl	Tyto longimembris	
 
STRIGIFORMES: Strigidae

Northern Boobook	Ninox japonica	
Brown Boobook	Ninox scutulata	
Chocolate Boobook	Ninox randi	Endemic (country/region) Near-threatened
Mindanao Boobook	Ninox spilocephala	Endemic Near-threatened
Camiguin Boobook	Ninox leventisi	Endemic Vulnerable
Sulu Boobook	Ninox reyi	Endemic Vulnerable
Romblon Boobook	Ninox spilonotus	Endangered
Giant Scops Owl	Otus gurneyi	Endemic Vulnerable
Mindanao Scops Owl	Otus mirus	Endemic
Mindoro Scops Owl	Otus mindorensis	Near-threatened
Mantanani Scops Owl	Otus mantananensis	Endemic (country/region)
Collared Scops Owl	Otus lettia	
Philippine Scops Owl	Otus megalotis	Endemic (country/region)
Everett's Scops Owl	Otus everetti	
Philippine Eagle-Owl	Ketupa philippensis	Endemic (country/region) Vulnerable
 
TROGONIFORMES: Trogonidae

Philippine Trogon	Harpactes ardens	Endemic (country/region)
 
BUCEROTIFORMES: Bucerotidae

Rufous Hornbill	Buceros hydrocorax	
Sulu Hornbill	Anthracoceros montani	Endemic Critically endangered
Writhed Hornbill	Rhabdotorrhinus leucocephalus	Endemic Near-threatened
Mindoro Hornbill	Penelopides mindorensis	Endemic (country/region) Endangered
Mindanao Hornbill	Penelopides affinis	Endemic
 
CORACIIFORMES: Coraciidae

Oriental Dollarbird	Eurystomus orientalis	
 
CORACIIFORMES: Alcedinidae

Blue-capped Kingfisher	Actenoides hombroni	Endemic
Stork-billed Kingfisher	Pelargopsis capensis	
Ruddy Kingfisher	Halcyon coromanda	
Brown-breasted Kingfisher	Halcyon gularis	Endemic (country/region)
Black-capped Kingfisher	Halcyon pileata	Vulnerable
Rufous-lored Kingfisher	Todiramphus winchelli	Vulnerable
Collared Kingfisher	Todiramphus chloris	
Sacred Kingfisher	Todiramphus sanctus	Rare/Accidental
Blue-eared Kingfisher	Alcedo meninting	
Common Kingfisher	Alcedo atthis	
Philippine Dwarf Kingfisher	Ceyx melanurus	Endemic (country/region)
Dimorphic Dwarf Kingfisher	Ceyx margarethae	Endemic (country/region)
Southern Silvery Kingfisher	Ceyx argentatus	Endemic (country/region) Near-threatened
 
CORACIIFORMES: Meropidae

Blue-tailed Bee-eater	Merops philippinus	
Rainbow Bee-eater	Merops ornatus	Rare/Accidental
Rufous-crowned Bee-eater	Merops americanus	
 
PICIFORMES: Megalaimidae

Coppersmith Barbet	Psilopogon haemacephalus	
 
PICIFORMES: Picidae

Philippine Pygmy Woodpecker	Yungipicus maculatus	
Sulu Pygmy Woodpecker	Yungipicus ramsayi	Endemic (country/region) Vulnerable
White-bellied Woodpecker	Dryocopus javensis	
Buff-spotted Flameback	Chrysocolaptes lucidus	
Red-headed Flameback	Chrysocolaptes erythrocephalus	Near-threatened
Southern Sooty Woodpecker	Mulleripicus fuliginosus	Vulnerable
 
FALCONIFORMES: Falconidae

Philippine Falconet	Microhierax erythrogenys	Endemic (country/region)
Common Kestrel	Falco tinnunculus	
Spotted Kestrel	Falco moluccensis	Rare/Accidental
Oriental Hobby	Falco severus	
Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Cacatuidae

Red-vented Cockatoo	Cacatua haematuropygia	Endemic (country/region) Critically endangered
 
PSITTACIFORMES: Psittaculidae

Mindanao Racket-tail	Prioniturus waterstradti	Endemic Near-threatened
Montane Racket-tail	Prioniturus montanus	Near-threatened
Blue-winged Racket-tail	Prioniturus verticalis	Endemic Critically endangered
Blue-crowned Racket-tail	Prioniturus discurus	Endemic (country/region)
Great-billed Parrot	Tanygnathus megalorynchos	
Blue-naped Parrot	Tanygnathus lucionensis	Near-threatened
Blue-backed Parrot	Tanygnathus everetti	Endangered
Rose-ringed Parakeet	Psittacula krameri	Introduced species
Mindanao Lorikeet	Saudareos johnstoniae	Near-threatened
Guaiabero	Bolbopsittacus lunulatus	Endemic (country/region)
Philippine Hanging Parrot	Loriculus philippensis	
Camiguin Hanging Parrot	Loriculus camiguinensis	Endemic
Black-billed Hanging Parrot	Loriculus bonapartei	Endemic
 
PASSERIFORMES: Eurylaimidae

Visayan Broadbill	Sarcophanops samarensis	Endemic Vulnerable
Wattled Broadbill	Sarcophanops steerii	Endemic (country/region) Vulnerable
 
PASSERIFORMES: Pittidae

Philippine Pitta	Erythropitta erythrogaster	
Blue-winged Pitta	Pitta moluccensis	Rare/Accidental
