
 
GALLIFORMES: Megapodiidae

Philippine Megapode	Megapodius cumingii	
 
GALLIFORMES: Phasianidae

King Quail	Excalfactoria chinensis	
Red Junglefowl	Gallus gallus	
 
ANSERIFORMES: Anatidae

Wandering Whistling Duck	Dendrocygna arcuata	
Garganey	Spatula querquedula	
Eurasian Wigeon	Mareca penelope	
Philippine Duck	Anas luzonica	Endemic (country/region)
Common Pochard	Aythya ferina	Rare/Accidental
Tufted Duck	Aythya fuligula	
 
CAPRIMULGIFORMES: Caprimulgidae

Great Eared Nightjar	Lyncornis macrotis	
Grey Nightjar	Caprimulgus jotaka	
Philippine Nightjar	Caprimulgus manillensis	Endemic (country/region)
Savanna Nightjar	Caprimulgus affinis	
 
APODIFORMES: Hemiprocnidae

Whiskered Treeswift	Hemiprocne comata	
 
APODIFORMES: Apodidae

Grey-rumped Swiftlet	Collocalia marginata	
Ridgetop Swiftlet	Collocalia isonota	
Pygmy Swiftlet	Collocalia troglodytes	Endemic (country/region)
Philippine Swiftlet	Aerodramus mearnsi	Endemic (country/region)
Whitehead's Swiftlet	Aerodramus whiteheadi	
Mossy-nest Swiftlet	Aerodramus salangana	
Ameline Swiftlet	Aerodramus amelis	
Purple Needletail	Hirundapus celebensis	
Asian Palm Swift	Cypsiurus balasiensis	
Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Black-hooded Coucal	Centropus steerii	Endemic
Philippine Coucal	Centropus viridis	
Lesser Coucal	Centropus bengalensis	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Plaintive Cuckoo	Cacomantis merulinus	
Rusty-breasted Cuckoo	Cacomantis sepulcralis	
Philippine Drongo-Cuckoo	Surniculus velutinus	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Philippine Hawk-Cuckoo	Hierococcyx pectoralis	Endemic (country/region)
Indian Cuckoo	Cuculus micropterus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Metallic Pigeon	Columba vitiensis	
Island Collared Dove	Streptopelia bitorquata	
Red Collared Dove	Streptopelia tranquebarica	
Spotted Dove	Spilopelia chinensis	
Philippine Cuckoo-Dove	Macropygia tenuirostris	
Common Emerald Dove	Chalcophaps indica	
Zebra Dove	Geopelia striata	Introduced species
Nicobar Pigeon	Caloenas nicobarica	
Mindoro Bleeding-heart	Gallicolumba platenae	Endemic
White-eared Brown Dove	Phapitreron leucotis	
Pink-necked Green Pigeon	Treron vernans	
Philippine Green Pigeon	Treron axillaris	
Thick-billed Green Pigeon	Treron curvirostra	
Yellow-breasted Fruit Dove	Ptilinopus occipitalis	Endemic (country/region)
Black-chinned Fruit Dove	Ptilinopus leclancheri	Endemic (country/region)
Pink-bellied Imperial Pigeon	Ducula poliocephala	Endemic (country/region)
Mindoro Imperial Pigeon	Ducula mindorensis	Endemic
Spotted Imperial Pigeon	Ducula carola	Endemic (country/region)
Green Imperial Pigeon	Ducula aenea	
Pied Imperial Pigeon	Ducula bicolor	
 
GRUIFORMES: Rallidae

Slaty-breasted Rail	Lewinia striata	
Barred Rail	Hypotaenidia torquata	
Buff-banded Rail	Hypotaenidia philippensis	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Philippine Swamphen	Porphyrio pulverulentus	Endemic (country/region)
Ruddy-breasted Crake	Zapornia fusca	
Baillon's Crake	Zapornia pusilla	
Spotless Crake	Zapornia tabuensis	
Slaty-legged Crake	Rallina eurizonoides	
Red-legged Crake	Rallina fasciata	
White-browed Crake	Poliolimnas cinereus	
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
Plain Bush-hen	Amaurornis olivacea	Endemic (country/region)
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
 
CHARADRIIFORMES: Turnicidae

Barred Buttonquail	Turnix suscitator	
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Little Ringed Plover	Charadrius dubius	
Kentish Plover	Charadrius alexandrinus	
Malaysian Plover	Charadrius peronii	
Lesser Sand Plover	Charadrius mongolus	
Greater Sand Plover	Charadrius leschenaultii	
Oriental Plover	Charadrius veredus	Rare/Accidental
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	
 
CHARADRIIFORMES: Jacanidae

Pheasant-tailed Jacana	Hydrophasianus chirurgus	
 
