GALLIFORMES: Megapodiidae

Philippine Megapode	Megapodius cumingii	
 
GALLIFORMES: Phasianidae

Chinese Francolin	Francolinus pintadeanus	
Daurian Partridge	Perdix dauurica	
Common Quail	Coturnix coturnix	Rare/Accidental
Japanese Quail	Coturnix japonica	Rare/Accidental
King Quail	Excalfactoria chinensis	
Red Junglefowl	Gallus gallus	
Palawan Peacock-Pheasant	Polyplectron napoleonis	Endemic
 
ANSERIFORMES: Anatidae

Spotted Whistling Duck	Dendrocygna guttata	
Wandering Whistling Duck	Dendrocygna arcuata	
Brant Goose	Branta bernicla	Rare/Accidental
Bar-headed Goose	Anser indicus	Rare/Accidental
Tundra Bean Goose	Anser serrirostris	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Tundra Swan	Cygnus columbianus	Rare/Accidental
Common Shelduck	Tadorna tadorna	Rare/Accidental
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Mandarin Duck	Aix galericulata	Rare/Accidental
Cotton Pygmy Goose	Nettapus coromandelianus	Rare/Accidental
Baikal Teal	Sibirionetta formosa	Rare/Accidental
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Falcated Duck	Mareca falcata	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
Philippine Duck	Anas luzonica	Endemic
Eastern Spot-billed Duck	Anas zonorhyncha	Rare/Accidental
Mallard	Anas platyrhynchos	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Canvasback	Aythya valisineria	Rare/Accidental
Common Pochard	Aythya ferina	Rare/Accidental
Baer's Pochard	Aythya baeri	Rare/Accidental
Ferruginous Duck	Aythya nyroca	Rare/Accidental
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	Rare/Accidental
Scaly-sided Merganser	Mergus squamatus	Rare/Accidental
 
CAPRIMULGIFORMES: Podargidae

Philippine Frogmouth	Batrachostomus septimus	Endemic
Palawan Frogmouth	Batrachostomus chaseni	
 
CAPRIMULGIFORMES: Caprimulgidae

Great Eared Nightjar	Lyncornis macrotis	
Grey Nightjar	Caprimulgus jotaka	
Large-tailed Nightjar	Caprimulgus macrurus	
Philippine Nightjar	Caprimulgus manillensis	Endemic
Savanna Nightjar	Caprimulgus affinis	
 
APODIFORMES: Hemiprocnidae

Grey-rumped Treeswift	Hemiprocne longipennis	
Whiskered Treeswift	Hemiprocne comata	
 
APODIFORMES: Apodidae

Grey-rumped Swiftlet	Collocalia marginata	
Ridgetop Swiftlet	Collocalia isonota	
Pygmy Swiftlet	Collocalia troglodytes	Endemic
Philippine Swiftlet	Aerodramus mearnsi	Endemic
Whitehead's Swiftlet	Aerodramus whiteheadi	Endemic
Mossy-nest Swiftlet	Aerodramus salangana	
Ameline Swiftlet	Aerodramus amelis	
Black-nest Swiftlet	Aerodramus maximus	
Edible-nest Swiftlet	Aerodramus fuciphagus	
Germain's Swiftlet	Aerodramus germani	
Philippine Spine-tailed Swift	Mearnsia picina	Endemic
White-throated Needletail	Hirundapus caudacutus	Rare/Accidental
Brown-backed Needletail	Hirundapus giganteus	
Purple Needletail	Hirundapus celebensis	
Asian Palm Swift	Cypsiurus balasiensis	
Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Rufous Coucal	Centropus unirufus	Endemic
Black-faced Coucal	Centropus melanops	Endemic
Black-hooded Coucal	Centropus steerii	Endemic
Greater Coucal	Centropus sinensis	
Philippine Coucal	Centropus viridis	Endemic
Lesser Coucal	Centropus bengalensis	
Chestnut-breasted Malkoha	Phaenicophaeus curvirostris	
Rough-crested Malkoha	Dasylophus superciliosus	Endemic
Scale-feathered Malkoha	Dasylophus cumingi	Endemic
Chestnut-winged Cuckoo	Clamator coromandus	
Jacobin Cuckoo	Clamator jacobinus	Rare/Accidental
Asian Koel	Eudynamys scolopaceus	
Channel-billed Cuckoo	Scythrops novaehollandiae	Rare/Accidental
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Little Bronze Cuckoo	Chrysococcyx minutillus	
Banded Bay Cuckoo	Cacomantis sonneratii	
Plaintive Cuckoo	Cacomantis merulinus	
Brush Cuckoo	Cacomantis variolosus	
Rusty-breasted Cuckoo	Cacomantis sepulcralis	
Philippine Drongo-Cuckoo	Surniculus velutinus	Endemic
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Philippine Hawk-Cuckoo	Hierococcyx pectoralis	Endemic
Indian Cuckoo	Cuculus micropterus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Metallic Pigeon	Columba vitiensis	
Oriental Turtle Dove	Streptopelia orientalis	Rare/Accidental
