
 
ANSERIFORMES: Anatidae

Lesser Whistling Duck	Dendrocygna javanica	
Bar-headed Goose	Anser indicus	Rare/Accidental
Greylag Goose	Anser anser	
Knob-billed Duck	Sarkidiornis melanotos	
Common Shelduck	Tadorna tadorna	Rare/Accidental
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
White-winged Duck	Asarcornis scutulata	
Mandarin Duck	Aix galericulata	
Cotton Pygmy Goose	Nettapus coromandelianus	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
Indian Spot-billed Duck	Anas poecilorhyncha	
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Red-crested Pochard	Netta rufina	Rare/Accidental
Common Pochard	Aythya ferina	
Baer's Pochard	Aythya baeri	
Ferruginous Duck	Aythya nyroca	
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	Rare/Accidental
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Scaly-sided Merganser	Mergus squamatus	Rare/Accidental
 
GALLIFORMES: Phasianidae

Chinese Francolin	Francolinus pintadeanus	
Japanese Quail	Coturnix japonica	
Rain Quail	Coturnix coromandelica	Rare/Accidental
King Quail	Excalfactoria chinensis	
Hill Partridge	Arborophila torqueola	
Rufous-throated Partridge	Arborophila rufogularis	
Bar-backed Partridge	Arborophila brunneopectus	
Orange-necked Partridge	Arborophila davidi	Endemic
Green-legged Partridge	Tropicoperdix chloropus	
Mountain Bamboo Partridge	Bambusicola fytchii	
Temminck's Tragopan	Tragopan temminckii	
Red Junglefowl	Gallus gallus	
Silver Pheasant	Lophura nycthemera	
Edwards's Pheasant	Lophura edwardsi	Endemic
Siamese Fireback	Lophura diardi	
Common Pheasant	Phasianus colchicus	
Germain's Peacock-Pheasant	Polyplectron germaini	Endemic
Grey Peacock-Pheasant	Polyplectron bicalcaratum	
Vietnamese Crested Argus	Rheinardia ocellata	Endemic
Green Peafowl	Pavo muticus	
 
CAPRIMULGIFORMES: Podargidae

Hodgson's Frogmouth	Batrachostomus hodgsoni	
Blyth's Frogmouth	Batrachostomus affinis	
 
CAPRIMULGIFORMES: Caprimulgidae

Great Eared Nightjar	Lyncornis macrotis	
Grey Nightjar	Caprimulgus jotaka	
Large-tailed Nightjar	Caprimulgus macrurus	
Indian Nightjar	Caprimulgus asiaticus	
Savanna Nightjar	Caprimulgus affinis	
 
APODIFORMES: Hemiprocnidae

Crested Treeswift	Hemiprocne coronata	
 
APODIFORMES: Apodidae

Himalayan Swiftlet	Aerodramus brevirostris	
Black-nest Swiftlet	Aerodramus maximus	
Edible-nest Swiftlet	Aerodramus fuciphagus	
Germain's Swiftlet	Aerodramus germani	
White-throated Needletail	Hirundapus caudacutus	
Silver-backed Needletail	Hirundapus cochinchinensis	
Brown-backed Needletail	Hirundapus giganteus	
Asian Palm Swift	Cypsiurus balasiensis	
Pacific Swift	Apus pacificus	
Cook's Swift	Apus cooki	
House Swift	Apus nipalensis	
 
OTIDIFORMES: Otididae

Bengal Florican	Houbaropsis bengalensis	
 
CUCULIFORMES: Cuculidae

Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Coral-billed Ground Cuckoo	Carpococcyx renauldi	
Black-bellied Malkoha	Phaenicophaeus diardi	
Green-billed Malkoha	Phaenicophaeus tristis	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Asian Emerald Cuckoo	Chrysococcyx maculatus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Little Bronze Cuckoo	Chrysococcyx minutillus	
Banded Bay Cuckoo	Cacomantis sonneratii	
Plaintive Cuckoo	Cacomantis merulinus	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Rufous Hawk-Cuckoo	Hierococcyx hyperythrus	Rare/Accidental
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	
Lesser Cuckoo	Cuculus poliocephalus	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Oriental Cuckoo	Cuculus optatus	
Common Cuckoo	Cuculus canorus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Ashy Wood Pigeon	Columba pulchricollis	Rare/Accidental
Pale-capped Pigeon	Columba punicea	
Oriental Turtle Dove	Streptopelia orientalis	
Red Collared Dove	Streptopelia tranquebarica	
Spotted Dove	Spilopelia chinensis	
Barred Cuckoo-Dove	Macropygia unchall	
Little Cuckoo-Dove	Macropygia ruficeps	
Common Emerald Dove	Chalcophaps indica	
Zebra Dove	Geopelia striata	Rare/Accidental
Nicobar Pigeon	Caloenas nicobarica	
Pink-necked Green Pigeon	Treron vernans	
Orange-breasted Green Pigeon	Treron bicinctus	
Ashy-headed Green Pigeon	Treron phayrei	
Thick-billed Green Pigeon	Treron curvirostra	
Yellow-footed Green Pigeon	Treron phoenicopterus	
Pin-tailed Green Pigeon	Treron apicauda	
Yellow-vented Green Pigeon	Treron seimundi	
Wedge-tailed Green Pigeon	Treron sphenurus	
White-bellied Green Pigeon	Treron sieboldii	
Green Imperial Pigeon	Ducula aenea	
Mountain Imperial Pigeon	Ducula badia	
Pied Imperial Pigeon	Ducula bicolor	
 
GRUIFORMES: Heliornithidae

Masked Finfoot	Heliopais personatus	
 
GRUIFORMES: Rallidae

Brown-cheeked Rail	Rallus indicus	
Corn Crake	Crex crex	Rare/Accidental
Slaty-breasted Rail	Lewinia striata	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Grey-headed Swamphen	Porphyrio poliocephalus	
Ruddy-breasted Crake	Zapornia fusca	
Band-bellied Crake	Zapornia paykullii	
Black-tailed Crake	Zapornia bicolor	
Brown Crake	Zapornia akool	
Baillon's Crake	Zapornia pusilla	
Slaty-legged Crake	Rallina eurizonoides	
Red-legged Crake	Rallina fasciata	
White-browed Crake	Poliolimnas cinereus	
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
 
GRUIFORMES: Gruidae

Sarus Crane	Antigone antigone	
Common Crane	Grus grus	
Black-necked Crane	Grus nigricollis	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Great Crested Grebe	Podiceps cristatus	Rare/Accidental
Black-necked Grebe	Podiceps nigricollis	Rare/Accidental
