
 
ANSERIFORMES: Anatidae

Wandering Whistling Duck	Dendrocygna arcuata	
 
GALLIFORMES: Megapodiidae

Philippine Megapode	Megapodius cumingii	
 
GALLIFORMES: Phasianidae

King Quail	Excalfactoria chinensis	
Red-breasted Partridge	Arborophila hyperythra	
Chestnut-necklaced Partridge	Tropicoperdix charltonii	
Crimson-headed Partridge	Haematortyx sanguiniceps	
Crested Partridge	Rollulus rouloul	
Red Junglefowl	Gallus gallus	
Crested Fireback	Lophura ignita	
Bulwer's Pheasant	Lophura bulweri	
Great Argus	Argusianus argus	
 
CAPRIMULGIFORMES: Podargidae

Gould's Frogmouth	Batrachostomus stellatus	
Bornean Frogmouth	Batrachostomus mixtus	Endemic (country/region)
Blyth's Frogmouth	Batrachostomus affinis	
 
CAPRIMULGIFORMES: Caprimulgidae

Malaysian Eared Nightjar	Lyncornis temminckii	
Grey Nightjar	Caprimulgus jotaka	
Large-tailed Nightjar	Caprimulgus macrurus	
 
APODIFORMES: Hemiprocnidae

Grey-rumped Treeswift	Hemiprocne longipennis	
Whiskered Treeswift	Hemiprocne comata	
 
APODIFORMES: Apodidae

Giant Swiftlet	Hydrochous gigas	
Plume-toed Swiftlet	Collocalia affinis	
Bornean Swiftlet	Collocalia dodgei	Endemic (country/region)
Mossy-nest Swiftlet	Aerodramus salangana	
Black-nest Swiftlet	Aerodramus maximus	
Edible-nest Swiftlet	Aerodramus fuciphagus	
Germain's Swiftlet	Aerodramus germani	
Silver-rumped Spinetail	Rhaphidura leucopygialis	
Brown-backed Needletail	Hirundapus giganteus	
Asian Palm Swift	Cypsiurus balasiensis	
Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Short-toed Coucal	Centropus rectunguis	
Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Bornean Ground Cuckoo	Carpococcyx radiceus	
Raffles's Malkoha	Rhinortha chlorophaea	
Red-billed Malkoha	Zanclostomus javanicus	
Chestnut-breasted Malkoha	Phaenicophaeus curvirostris	
Chestnut-bellied Malkoha	Phaenicophaeus sumatranus	
Black-bellied Malkoha	Phaenicophaeus diardi	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Little Bronze Cuckoo	Chrysococcyx minutillus	
Banded Bay Cuckoo	Cacomantis sonneratii	
Plaintive Cuckoo	Cacomantis merulinus	
Rusty-breasted Cuckoo	Cacomantis sepulcralis	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Moustached Hawk-Cuckoo	Hierococcyx vagans	
Dark Hawk-Cuckoo	Hierococcyx bocki	
Malaysian Hawk-Cuckoo	Hierococcyx fugax	
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Sunda Cuckoo	Cuculus lepidus	
 
COLUMBIFORMES: Columbidae

Spotted Dove	Spilopelia chinensis	
Philippine Cuckoo-Dove	Macropygia tenuirostris	
Little Cuckoo-Dove	Macropygia ruficeps	
Common Emerald Dove	Chalcophaps indica	
Zebra Dove	Geopelia striata	
Nicobar Pigeon	Caloenas nicobarica	
Little Green Pigeon	Treron olax	
Pink-necked Green Pigeon	Treron vernans	
Thick-billed Green Pigeon	Treron curvirostra	
Large Green Pigeon	Treron capellei	
Jambu Fruit Dove	Ptilinopus jambu	
Green Imperial Pigeon	Ducula aenea	
Mountain Imperial Pigeon	Ducula badia	
 
GRUIFORMES: Rallidae

Slaty-breasted Rail	Lewinia striata	
Common Moorhen	Gallinula chloropus	
Red-legged Crake	Rallina fasciata	
White-breasted Waterhen	Amaurornis phoenicurus	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
Greater Sand Plover	Charadrius leschenaultii	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Pin-tailed Snipe	Gallinago stenura	
Red-necked Phalarope	Phalaropus lobatus	
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
 
CHARADRIIFORMES: Glareolidae

Oriental Pratincole	Glareola maldivarum	
 
CHARADRIIFORMES: Laridae

Black-headed Gull	Chroicocephalus ridibundus	
Gull-billed Tern	Gelochelidon nilotica	
Greater Crested Tern	Thalasseus bergii	
Lesser Crested Tern	Thalasseus bengalensis	
Common Tern	Sterna hirundo	
 
CICONIIFORMES: Ciconiidae

Storm's Stork	Ciconia stormi	
 
SULIFORMES: Anhingidae

Oriental Darter	Anhinga melanogaster	
 
PELECANIFORMES: Ardeidae

Yellow Bittern	Ixobrychus sinensis	
Von Schrenck's Bittern	Ixobrychus eurhythmus	
Cinnamon Bittern	Ixobrychus cinnamomeus	
Black-crowned Night Heron	Nycticorax nycticorax	
Nankeen Night Heron	Nycticorax caledonicus	
Striated Heron	Butorides striata	
Javan Pond Heron	Ardeola speciosa	Rare/Accidental
Eastern Cattle Egret	Bubulcus coromandus	
Purple Heron	Ardea purpurea	
Great Egret	Ardea alba	
Intermediate Egret	Ardea intermedia	
Little Egret	Egretta garzetta	
Pacific Reef Heron	Egretta sacra	
Chinese Egret	Egretta eulophotes	
 
ACCIPITRIFORMES: Pandionidae

Western Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

Black-winged Kite	Elanus caeruleus	
Crested Honey Buzzard	Pernis ptilorhynchus	
Jerdon's Baza	Aviceda jerdoni	
Crested Serpent Eagle	Spilornis cheela	
Mountain Serpent Eagle	Spilornis kinabaluensis	
Bat Hawk	Macheiramphus alcinus	
Changeable Hawk-Eagle	Nisaetus cirrhatus	
Blyth's Hawk-Eagle	Nisaetus alboniger	
Wallace's Hawk-Eagle	Nisaetus nanus	
Rufous-bellied Eagle	Lophotriorchis kienerii	
Black Eagle	Ictinaetus malaiensis	
Crested Goshawk	Accipiter trivirgatus	
Chinese Sparrowhawk	Accipiter soloensis	
Japanese Sparrowhawk	Accipiter gularis	
Besra	Accipiter virgatus	
Brahminy Kite	Haliastur indus	
White-bellied Sea Eagle	Haliaeetus leucogaster	
Lesser Fish Eagle	Haliaeetus humilis	
Grey-headed Fish Eagle	Haliaeetus ichthyaetus	
Grey-faced Buzzard	Butastur indicus	
 
STRIGIFORMES: Tytonidae

Oriental Bay Owl	Phodilus badius	
 
STRIGIFORMES: Strigidae

Brown Hawk-Owl	Ninox scutulata	
Collared Owlet	Taenioptynx brodiei	
Sunda Owlet	Taenioptynx sylvaticum	
Reddish Scops Owl	Otus rufescens	
Mountain Scops Owl	Otus spilocephalus	
Rajah Scops Owl	Otus brookii	
Collared Scops Owl	Otus lettia	
Sunda Scops Owl	Otus lempiji	
Barred Eagle-Owl	Bubo sumatranus	
Buffy Fish Owl	Ketupa ketupu	
Brown Wood Owl	Strix leptogrammica	
 
TROGONIFORMES: Trogonidae

Red-naped Trogon	Harpactes kasumba	
Diard's Trogon	Harpactes diardii	
Whitehead's Trogon	Harpactes whiteheadi	
Cinnamon-rumped Trogon	Harpactes orrhophaeus	
Scarlet-rumped Trogon	Harpactes duvaucelii	
Orange-breasted Trogon	Harpactes oreskios	
 
BUCEROTIFORMES: Bucerotidae

White-crowned Hornbill	Berenicornis comatus	
Rhinoceros Hornbill	Buceros rhinoceros	
Helmeted Hornbill	Rhinoplax vigil	
Oriental Pied Hornbill	Anthracoceros albirostris	
Black Hornbill	Anthracoceros malayanus	
Bushy-crested Hornbill	Anorrhinus galeritus	
Wreathed Hornbill	Rhyticeros undulatus	
Wrinkled Hornbill	Rhabdotorrhinus corrugatus	
 
CORACIIFORMES: Coraciidae

Oriental Dollarbird	Eurystomus orientalis	
 
CORACIIFORMES: Alcedinidae

Rufous-collared Kingfisher	Actenoides concretus	
Banded Kingfisher	Lacedo pulchella	
Stork-billed Kingfisher	Pelargopsis capensis	
Black-capped Kingfisher	Halcyon pileata	
Collared Kingfisher	Todiramphus chloris	
Blue-banded Kingfisher	Alcedo euryzona	
Blue-eared Kingfisher	Alcedo meninting	
Oriental Dwarf Kingfisher	Ceyx erithaca	
 
CORACIIFORMES: Meropidae

Red-bearded Bee-eater	Nyctyornis amictus	
Blue-tailed Bee-eater	Merops philippinus	
Blue-throated Bee-eater	Merops viridis	
 
PICIFORMES: Megalaimidae

Golden-whiskered Barbet	Psilopogon chrysopogon	
Red-crowned Barbet	Psilopogon rafflesii	
Red-throated Barbet	Psilopogon mystacophanos	
Mountain Barbet	Psilopogon monticola	
Yellow-crowned Barbet	Psilopogon henricii	
Golden-naped Barbet	Psilopogon pulcherrimus	
Blue-eared Barbet	Psilopogon duvaucelii	
Bornean Barbet	Psilopogon eximius	
Brown Barbet	Caloramphus fuliginosus	
 
PICIFORMES: Indicatoridae

Malaysian Honeyguide	Indicator archipelagicus	
 
PICIFORMES: Picidae

Speckled Piculet	Picumnus innominatus	
Rufous Piculet	Sasia abnormis	
Grey-and-buff Woodpecker	Hemicircus concretus	
Grey-capped Pygmy Woodpecker	Yungipicus canicapillus	
Sunda Pygmy Woodpecker	Yungipicus moluccensis	
