
 
ANSERIFORMES: Anatidae

Wandering Whistling Duck	Dendrocygna arcuata	
Lesser Whistling Duck	Dendrocygna javanica	
Knob-billed Duck	Sarkidiornis melanotos	
White-winged Duck	Asarcornis scutulata	Extirpated Endangered
Cotton Pygmy Goose	Nettapus coromandelianus	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	Rare/Accidental
Eurasian Wigeon	Mareca penelope	Rare/Accidental
Eastern Spot-billed Duck	Anas zonorhyncha	Rare/Accidental
Mallard	Anas platyrhynchos	Rare/Accidental
Northern Pintail	Anas acuta	Rare/Accidental
Eurasian Teal	Anas crecca	Rare/Accidental
Sunda Teal	Anas gibberifrons	Rare/Accidental Near-threatened
Tufted Duck	Aythya fuligula	
 
GALLIFORMES: Megapodiidae

Philippine Megapode	Megapodius cumingii	
 
GALLIFORMES: Phasianidae

Ferruginous Partridge	Caloperdix oculeus	Near-threatened
Crested Partridge	Rollulus rouloul	Vulnerable
Black Partridge	Melanoperdix niger	Vulnerable
Red-breasted Partridge	Arborophila hyperythra	
Malayan Partridge	Arborophila campbelli	Endemic
Long-billed Partridge	Rhizothera longirostris	Near-threatened
Dulit Partridge	Rhizothera dulitensis	Endemic Vulnerable
Bulwer's Pheasant	Lophura bulweri	Vulnerable
Crestless Fireback	Lophura erythrophthalma	
Crested Fireback	Lophura ignita	
Malayan Crested Argus	Rheinardia nigrescens	Endemic Near-threatened
Great Argus	Argusianus argus	Vulnerable
Green Peafowl	Pavo muticus	Extirpated Endangered
Chestnut-necklaced Partridge	Tropicoperdix charltonii	
Crimson-headed Partridge	Haematortyx sanguiniceps	
Bornean Peacock-Pheasant	Polyplectron schleiermacheri	Endangered
Malayan Peacock-Pheasant	Polyplectron malacense	Endangered
Mountain Peacock-Pheasant	Polyplectron inopinatum	Endemic Vulnerable
Red Junglefowl	Gallus gallus	
King Quail	Synoicus chinensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Malaysian Eared Nightjar	Lyncornis temminckii	
Great Eared Nightjar	Lyncornis macrotis	
Grey Nightjar	Caprimulgus jotaka	
Large-tailed Nightjar	Caprimulgus macrurus	
Savanna Nightjar	Caprimulgus affinis	
Bonaparte's Nightjar	Caprimulgus concretus	Vulnerable
 
PODARGIFORMES: Podargidae

Large Frogmouth	Batrachostomus auritus	Near-threatened
Dulit Frogmouth	Batrachostomus harterti	Endemic Near-threatened
Gould's Frogmouth	Batrachostomus stellatus	Near-threatened
Bornean Frogmouth	Batrachostomus mixtus	Near-threatened
Blyth's Frogmouth	Batrachostomus affinis	
Sunda Frogmouth	Batrachostomus cornutus	
 
APODIFORMES: Hemiprocnidae

Grey-rumped Treeswift	Hemiprocne longipennis	
Whiskered Treeswift	Hemiprocne comata	
 
APODIFORMES: Apodidae

Giant Swiftlet	Hydrochous gigas	Near-threatened
Plume-toed Swiftlet	Collocalia affinis	
Bornean Swiftlet	Collocalia dodgei	Endemic
Cave Swiftlet	Collocalia linchi	
Himalayan Swiftlet	Aerodramus brevirostris	
Mossy-nest Swiftlet	Aerodramus salangana	
Black-nest Swiftlet	Aerodramus maximus	
Edible-nest Swiftlet	Aerodramus fuciphagus	
Germain's Swiftlet	Aerodramus germani	
Silver-rumped Spinetail	Rhaphidura leucopygialis	
White-throated Needletail	Hirundapus caudacutus	
Silver-backed Needletail	Hirundapus cochinchinensis	
Brown-backed Needletail	Hirundapus giganteus	
Asian Palm Swift	Cypsiurus balasiensis	
Pacific Swift	Apus pacificus	
Cook's Swift	Apus cooki	
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Short-toed Coucal	Centropus rectunguis	Vulnerable
Greater Coucal	Centropus sinensis	
Lesser Coucal	Centropus bengalensis	
Bornean Ground Cuckoo	Carpococcyx radiceus	Vulnerable
Raffles's Malkoha	Rhinortha chlorophaea	
Red-billed Malkoha	Zanclostomus javanicus	
Chestnut-breasted Malkoha	Phaenicophaeus curvirostris	
Chestnut-bellied Malkoha	Phaenicophaeus sumatranus	Near-threatened
Black-bellied Malkoha	Phaenicophaeus diardi	Near-threatened
Green-billed Malkoha	Phaenicophaeus tristis	
Chestnut-winged Cuckoo	Clamator coromandus	
