ANSERIFORMES: Anatidae
Cotton Pygmy Goose	Nettapus coromandelianus	Rare/Accidental
White-headed Duck	Oxyura leucocephala	Endangered
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	Rare/Accidental
Whooper Swan	Cygnus cygnus	
Red-breasted Goose	Branta ruficollis	Vulnerable
Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Lesser White-fronted Goose	Anser erythropus	Vulnerable
Greater White-fronted Goose	Anser albifrons	
Tundra Bean Goose	Anser serrirostris	Rare/Accidental
Taiga Bean Goose	Anser fabalis	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Long-tailed Duck	Clangula hyemalis	Rare/AccidentalVulnerable
Velvet Scoter	Melanitta fusca	Vulnerable
Stejneger's Scoter	Melanitta stejnegeri	Rare/Accidental
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Red-breasted Merganser	Mergus serrator	
Common Merganser	Mergus merganser	
Marbled Duck	Marmaronetta angustirostris	Rare/AccidentalNear-threatened
Red-crested Pochard	Netta rufina	
Ferruginous Duck	Aythya nyroca	Near-threatened
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	Rare/Accidental
Baikal Teal	Sibirionetta formosa	Rare/Accidental
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
GALLIFORMES: Phasianidae
Willow Ptarmigan	Lagopus lagopus	
Black Grouse	Lyrurus tetrix	
Daurian Partridge	Perdix dauurica	
Grey Partridge	Perdix perdix	
Common Pheasant	Phasianus colchicus	
Tibetan Snowcock	Tetraogallus tibetanus	
Himalayan Snowcock	Tetraogallus himalayensis	
Common Quail	Coturnix coturnix	
Chukar Partridge	Alectoris chukar	
Rock Partridge	Alectoris graeca	Introduced speciesNear-threatened
PHOENICOPTERIFORMES: Phoenicopteridae
Greater Flamingo	Phoenicopterus roseus	
PODICIPEDIFORMES: Podicipedidae
Little Grebe	Tachybaptus ruficollis	
Horned Grebe	Podiceps auritus	Vulnerable
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
OTIDIFORMES: Otididae
Great Bustard	Otis tarda	Rare/AccidentalEndangered
Asian Houbara	Chlamydotis macqueenii	Vulnerable
Little Bustard	Tetrax tetrax	Near-threatened
CUCULIFORMES: Cuculidae
Common Cuckoo	Cuculus canorus	
Oriental Cuckoo	Cuculus optatus	
PTEROCLIFORMES: Pteroclidae
Pallas's Sandgrouse	Syrrhaptes paradoxus	
Pin-tailed Sandgrouse	Pterocles alchata	
Black-bellied Sandgrouse	Pterocles orientalis	
COLUMBIFORMES: Columbidae
Laughing Dove	Spilopelia senegalensis	
Oriental Turtle Dove	Streptopelia orientalis	
European Turtle Dove	Streptopelia turtur	Vulnerable
Eurasian Collared Dove	Streptopelia decaocto	
Common Wood Pigeon	Columba palumbus	
Snow Pigeon	Columba leuconota	
Hill Pigeon	Columba rupestris	
Rock Dove	Columba livia	
Stock Dove	Columba oenas	
Yellow-eyed Pigeon	Columba eversmanni	Vulnerable
GRUIFORMES: Gruidae
Demoiselle Crane	Grus virgo	
Common Crane	Grus grus	
GRUIFORMES: Rallidae
Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Little Crake	Zapornia parva	
Baillon's Crake	Zapornia pusilla	
CHARADRIIFORMES: Burhinidae
Eurasian Stone-curlew	Burhinus oedicnemus	
CHARADRIIFORMES: Recurvirostridae
Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
CHARADRIIFORMES: Ibidorhynchidae
Ibisbill	Ibidorhyncha struthersii	
CHARADRIIFORMES: Haematopodidae
Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
CHARADRIIFORMES: Charadriidae
Grey Plover	Pluvialis squatarola	Vulnerable
European Golden Plover	Pluvialis apricaria	Rare/Accidental
American Golden Plover	Pluvialis dominica	Rare/Accidental
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
Eurasian Dotterel	Eudromias morinellus	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Thinornis dubius	
Northern Lapwing	Vanellus vanellus	Near-threatened
Sociable Lapwing	Vanellus gregarius	Critically endangered
White-tailed Lapwing	Vanellus leucurus	Rare/Accidental
Caspian Plover	Anarhynchus asiaticus	
Tibetan Sand Plover	Anarhynchus atrifrons	
Siberian Sand Plover	Anarhynchus mongolus	Endangered
Greater Sand Plover	Anarhynchus leschenaultii	
Kentish Plover	Anarhynchus alexandrinus	
CHARADRIIFORMES: Scolopacidae
Eurasian Whimbrel	Numenius phaeopus	
Slender-billed Curlew	Numenius tenuirostris	Rare/AccidentalCritically endangered
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Jack Snipe	Lymnocryptes minimus	
Eurasian Woodcock	Scolopax rusticola	
Solitary Snipe	Gallinago solitaria	
Pin-tailed Snipe	Gallinago stenura	Rare/Accidental
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Red-necked Phalarope	Phalaropus lobatus	
Green Sandpiper	Tringa ochropus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Ruff	Calidris pugnax	
Sharp-tailed Sandpiper	Calidris acuminata	Rare/AccidentalVulnerable
Broad-billed Sandpiper	Calidris falcinellus	Vulnerable
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Red-necked Stint	Calidris ruficollis	Rare/AccidentalNear-threatened
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Near-threatened
Little Stint	Calidris minuta	
CHARADRIIFORMES: Glareolidae
Black-winged Pratincole	Glareola nordmanni	Near-threatened
Collared Pratincole	Glareola pratincola	
CHARADRIIFORMES: Stercorariidae
Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
CHARADRIIFORMES: Laridae
Little Tern	Sternula albifrons	
Caspian Tern	Hydroprogne caspia	
Gull-billed Tern	Gelochelidon nilotica	
Whiskered Tern	Chlidonias hybrida	
