ANSERIFORMES: Anatidae
White-headed Duck	Oxyura leucocephala	Rare/AccidentalEndangered
Mute Swan	Cygnus olor	Rare/Accidental
Tundra Swan	Cygnus columbianus	Rare/Accidental
Whooper Swan	Cygnus cygnus	Rare/Accidental
Red-breasted Goose	Branta ruficollis	Rare/AccidentalVulnerable
Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Taiga Bean Goose	Anser fabalis	Rare/Accidental
Common Shelduck	Tadorna tadorna	Rare/Accidental
Ruddy Shelduck	Tadorna ferruginea	
Long-tailed Duck	Clangula hyemalis	Rare/AccidentalVulnerable
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Common Merganser	Mergus merganser	
Marbled Duck	Marmaronetta angustirostris	Rare/AccidentalNear-threatened
Red-crested Pochard	Netta rufina	
Ferruginous Duck	Aythya nyroca	Rare/AccidentalNear-threatened
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	Rare/Accidental
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
GALLIFORMES: Phasianidae
Daurian Partridge	Perdix dauurica	
Common Pheasant	Phasianus colchicus	
Tibetan Snowcock	Tetraogallus tibetanus	
Himalayan Snowcock	Tetraogallus himalayensis	
See-see Partridge	Ammoperdix griseogularis	
Common Quail	Coturnix coturnix	
Chukar Partridge	Alectoris chukar	
PHOENICOPTERIFORMES: Phoenicopteridae
Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
PODICIPEDIFORMES: Podicipedidae
Little Grebe	Tachybaptus ruficollis	
Horned Grebe	Podiceps auritus	Rare/AccidentalVulnerable
Red-necked Grebe	Podiceps grisegena	Rare/Accidental
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
OTIDIFORMES: Otididae
Great Bustard	Otis tarda	Rare/AccidentalEndangered
Asian Houbara	Chlamydotis macqueenii	Rare/AccidentalVulnerable
Little Bustard	Tetrax tetrax	Rare/AccidentalNear-threatened
CUCULIFORMES: Cuculidae
Common Cuckoo	Cuculus canorus	
Oriental Cuckoo	Cuculus optatus	Rare/Accidental
PTEROCLIFORMES: Pteroclidae
Pallas's Sandgrouse	Syrrhaptes paradoxus	Rare/Accidental
Tibetan Sandgrouse	Syrrhaptes tibetanus	Rare/Accidental
Pin-tailed Sandgrouse	Pterocles alchata	Rare/Accidental
Spotted Sandgrouse	Pterocles senegallus	Rare/Accidental
Black-bellied Sandgrouse	Pterocles orientalis	Rare/Accidental
COLUMBIFORMES: Columbidae
Laughing Dove	Spilopelia senegalensis	
Oriental Turtle Dove	Streptopelia orientalis	
European Turtle Dove	Streptopelia turtur	Vulnerable
Eurasian Collared Dove	Streptopelia decaocto	
Common Wood Pigeon	Columba palumbus	
Snow Pigeon	Columba leuconota	
Hill Pigeon	Columba rupestris	
Rock Dove	Columba livia	Introduced species
Stock Dove	Columba oenas	
Yellow-eyed Pigeon	Columba eversmanni	Vulnerable
GRUIFORMES: Gruidae
Siberian Crane	Leucogeranus leucogeranus	Rare/AccidentalCritically endangered
Demoiselle Crane	Grus virgo	
Common Crane	Grus grus	
Black-necked Crane	Grus nigricollis	Rare/AccidentalNear-threatened
GRUIFORMES: Rallidae
Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	Rare/Accidental
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Little Crake	Zapornia parva	
Baillon's Crake	Zapornia pusilla	
CHARADRIIFORMES: Burhinidae
Eurasian Stone-curlew	Burhinus oedicnemus	
CHARADRIIFORMES: Recurvirostridae
Pied Avocet	Recurvirostra avosetta	Rare/Accidental
Black-winged Stilt	Himantopus himantopus	
CHARADRIIFORMES: Ibidorhynchidae
Ibisbill	Ibidorhyncha struthersii	Rare/Accidental
CHARADRIIFORMES: Haematopodidae
Eurasian Oystercatcher	Haematopus ostralegus	Rare/AccidentalNear-threatened
CHARADRIIFORMES: Charadriidae
Grey Plover	Pluvialis squatarola	Vulnerable
European Golden Plover	Pluvialis apricaria	Rare/Accidental
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Thinornis dubius	
Northern Lapwing	Vanellus vanellus	Near-threatened
Red-wattled Lapwing	Vanellus indicus	Rare/Accidental
Sociable Lapwing	Vanellus gregarius	Rare/AccidentalCritically endangered
White-tailed Lapwing	Vanellus leucurus	Rare/Accidental
Caspian Plover	Anarhynchus asiaticus	Rare/Accidental
Tibetan Sand Plover	Anarhynchus atrifrons	
Siberian Sand Plover	Anarhynchus mongolus	Endangered
Greater Sand Plover	Anarhynchus leschenaultii	
Kentish Plover	Anarhynchus alexandrinus	
CHARADRIIFORMES: Rostratulidae
Greater Painted-snipe	Rostratula benghalensis	Rare/Accidental
CHARADRIIFORMES: Scolopacidae
Eurasian Whimbrel	Numenius phaeopus	Rare/Accidental
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Jack Snipe	Lymnocryptes minimus	
Eurasian Woodcock	Scolopax rusticola	
Solitary Snipe	Gallinago solitaria	
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Red-necked Phalarope	Phalaropus lobatus	
Green Sandpiper	Tringa ochropus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Ruff	Calidris pugnax	
Broad-billed Sandpiper	Calidris falcinellus	Vulnerable
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	Rare/Accidental
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Near-threatened
Little Stint	Calidris minuta	
CHARADRIIFORMES: Glareolidae
Small Pratincole	Glareola lactea	Rare/Accidental
Black-winged Pratincole	Glareola nordmanni	Near-threatened
Collared Pratincole	Glareola pratincola	
CHARADRIIFORMES: Laridae
Little Tern	Sternula albifrons	
Caspian Tern	Hydroprogne caspia	
Gull-billed Tern	Gelochelidon nilotica	
Whiskered Tern	Chlidonias hybrida	Rare/Accidental
White-winged Tern	Chlidonias leucopterus	
Black Tern	Chlidonias niger	
Common Tern	Sterna hirundo	
Little Gull	Hydrocoloeus minutus	
Slender-billed Gull	Chroicocephalus genei	Rare/Accidental
Black-headed Gull	Chroicocephalus ridibundus	
Brown-headed Gull	Chroicocephalus brunnicephalus	Rare/Accidental
Pallas's Gull	Ichthyaetus ichthyaetus	
Common Gull	Larus canus	
Caspian Gull	Larus cachinnans	
Lesser Black-backed Gull	Larus fuscus	
CICONIIFORMES: Ciconiidae
Black Stork	Ciconia nigra	Rare/Accidental
White Stork	Ciconia ciconia	
SULIFORMES: Phalacrocoracidae
Pygmy Cormorant	Microcarbo pygmaeus	
Great Cormorant	Phalacrocorax carbo	
PELECANIFORMES: Threskiornithidae
Glossy Ibis	Plegadis falcinellus	Rare/Accidental
Eurasian Spoonbill	Platalea leucorodia	Rare/Accidental
PELECANIFORMES: Pelecanidae
Great White Pelican	Pelecanus onocrotalus	Rare/Accidental
Dalmatian Pelican	Pelecanus crispus	Rare/AccidentalNear-threatened
PELECANIFORMES: Ardeidae
Eurasian Bittern	Botaurus stellaris	Rare/Accidental
Little Bittern	Botaurus minutus	
Little Egret	Egretta garzetta	Rare/Accidental
Black-crowned Night Heron	Nycticorax nycticorax	
Indian Pond Heron	Ardeola grayii	Rare/Accidental
Squacco Heron	Ardeola ralloides	Rare/Accidental
Great Egret	Ardea alba	
Western Cattle Egret	Ardea ibis	Rare/Accidental
Purple Heron	Ardea purpurea	Rare/Accidental
Grey Heron	Ardea cinerea	
CAPRIMULGIFORMES: Caprimulgidae
European Nightjar	Caprimulgus europaeus	
Egyptian Nightjar	Caprimulgus aegyptius	Rare/Accidental
APODIFORMES: Apodidae
Alpine Swift	Tachymarptis melba	
Little Swift	Apus affinis	
Common Swift	Apus apus	
STRIGIFORMES: Strigidae
Boreal Owl	Aegolius funereus	Rare/Accidental
Little Owl	Athene noctua	
Eurasian Scops Owl	Otus scops	
Pallid Scops Owl	Otus brucei	Rare/Accidental
Short-eared Owl	Asio flammeus	
Long-eared Owl	Asio otus	
Eurasian Eagle-Owl	Bubo bubo	
Tawny Owl	Strix aluco	
ACCIPITRIFORMES: Pandionidae
Osprey	Pandion haliaetus	
ACCIPITRIFORMES: Accipitridae
Black-winged Kite	Elanus caeruleus	Rare/Accidental
Bearded Vulture	Gypaetus barbatus	Near-threatened
Egyptian Vulture	Neophron percnopterus	Endangered
European Honey Buzzard	Pernis apivorus	
Crested Honey Buzzard	Pernis ptilorhynchus	
Cinereous Vulture	Aegypius monachus	Near-threatened
Himalayan Vulture	Gyps himalayensis	Near-threatened
Griffon Vulture	Gyps fulvus	
Short-toed Snake Eagle	Circaetus gallicus	
Greater Spotted Eagle	Clanga clanga	Vulnerable
Booted Eagle	Hieraaetus pennatus	
Steppe Eagle	Aquila nipalensis	Endangered
Eastern Imperial Eagle	Aquila heliaca	Vulnerable
Golden Eagle	Aquila chrysaetos	
Bonelli's Eagle	Aquila fasciata	Rare/Accidental
Shikra	Tachyspiza badia	
Eurasian Sparrowhawk	Accipiter nisus	
Eurasian Goshawk	Astur gentilis	
Pallid Harrier	Circus macrourus	Near-threatened
Hen Harrier	Circus cyaneus	
Montagu's Harrier	Circus pygargus	
Western Marsh Harrier	Circus aeruginosus	
Black Kite	Milvus migrans	
Pallas's Fish Eagle	Haliaeetus leucoryphus	Rare/AccidentalEndangered
White-tailed Eagle	Haliaeetus albicilla	
Rough-legged Buzzard	Buteo lagopus	Rare/Accidental
Common Buzzard	Buteo buteo	
Upland Buzzard	Buteo hemilasius	
Long-legged Buzzard	Buteo rufinus	
Himalayan Buzzard	Buteo refectus	Rare/Accidental
Eastern Buzzard	Buteo japonicus	Rare/Accidental
BUCEROTIFORMES: Upupidae
Common Hoopoe	Upupa epops	
CORACIIFORMES: Coraciidae
European Roller	Coracias garrulus	
CORACIIFORMES: Meropidae
Asian Green Bee-eater	Merops orientalis	Rare/Accidental
European Bee-eater	Merops apiaster	
Blue-cheeked Bee-eater	Merops persicus	
CORACIIFORMES: Alcedinidae
Common Kingfisher	Alcedo atthis	
PICIFORMES: Picidae
Eurasian Wryneck	Jynx torquilla	
White-winged Woodpecker	Dendrocopos leucopterus	
Great Spotted Woodpecker	Dendrocopos major	
FALCONIFORMES: Falconidae
Lesser Kestrel	Falco naumanni	
Common Kestrel	Falco tinnunculus	
Red-footed Falcon	Falco vespertinus	Rare/AccidentalVulnerable
Merlin	Falco columbarius	
Eurasian Hobby	Falco subbuteo	
Peregrine Falcon	Falco peregrinus	
Laggar Falcon	Falco jugger	Rare/AccidentalNear-threatened
Gyrfalcon	Falco rusticolus	Rare/Accidental
Saker Falcon	Falco cherrug	Endangered
PASSERIFORMES: Oriolidae
Indian Golden Oriole	Oriolus kundoo	
Eurasian Golden Oriole	Oriolus oriolus	
PASSERIFORMES: Monarchidae
Indian Paradise Flycatcher	Terpsiphone paradisi	
PASSERIFORMES: Laniidae
Great Grey Shrike	Lanius excubitor	
Northern Shrike	Lanius borealis	Rare/Accidental
Lesser Grey Shrike	Lanius minor	
Isabelline Shrike	Lanius isabellinus	
Red-backed Shrike	Lanius collurio	
Red-tailed Shrike	Lanius phoenicuroides	
Long-tailed Shrike	Lanius schach	
PASSERIFORMES: Corvidae
Alpine Chough	Pyrrhocorax graculus	
Red-billed Chough	Pyrrhocorax pyrrhocorax	
Eurasian Magpie	Pica pica	
Kashmir Nutcracker	Nucifraga multipunctata	
Western Jackdaw	Coloeus monedula	
Rook	Corvus frugilegus	
Brown-necked Raven	Corvus ruficollis	
Northern Raven	Corvus corax	
Carrion Crow	Corvus corone	
Large-billed Crow	Corvus macrorhynchos	
PASSERIFORMES: Remizidae
White-crowned Penduline Tit	Remiz coronatus	
