
 
ANSERIFORMES: Anatidae

Brant Goose	Branta bernicla	
Red-breasted Goose	Branta ruficollis	Endemic (country/region) Vulnerable
Canada Goose	Branta canadensis	Introduced species
Barnacle Goose	Branta leucopsis	
Cackling Goose	Branta hutchinsii	
Emperor Goose	Anser canagicus	Near-threatened
Greylag Goose	Anser anser	
Swan Goose	Anser cygnoides	Vulnerable
Taiga Bean Goose	Anser fabalis	
Tundra Bean Goose	Anser serrirostris	
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	Vulnerable
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Common Shelduck	Tadorna tadorna	
Mandarin Duck	Aix galericulata	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	Near-threatened
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	
Steller's Eider	Polysticta stelleri	Vulnerable
King Eider	Somateria spectabilis	
Common Eider	Somateria mollissima	Near-threatened
Harlequin Duck	Histrionicus histrionicus	
Surf Scoter	Melanitta perspicillata	Rare/Accidental
Velvet Scoter	Melanitta fusca	Vulnerable
White-winged Scoter	Melanitta deglandi	Rare/Accidental
Stejneger's Scoter	Melanitta stejnegeri	
Common Scoter	Melanitta nigra	
Black Scoter	Melanitta americana	Near-threatened
Long-tailed Duck	Clangula hyemalis	Vulnerable
Bufflehead	Bucephala albeola	
Common Goldeneye	Bucephala clangula	
Barrow's Goldeneye	Bucephala islandica	
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
 
GALLIFORMES: Phasianidae

Hazel Grouse	Tetrastes bonasia	
Willow Ptarmigan	Lagopus lagopus	
Rock Ptarmigan	Lagopus muta	
Western Capercaillie	Tetrao urogallus	
Black-billed Capercaillie	Tetrao urogalloides	
Black Grouse	Lyrurus tetrix	
Common Quail	Coturnix coturnix	
Japanese Quail	Coturnix japonica	Near-threatened
 
CAPRIMULGIFORMES: Caprimulgidae

Grey Nightjar	Caprimulgus jotaka	
European Nightjar	Caprimulgus europaeus	
 
APODIFORMES: Apodidae

White-throated Needletail	Hirundapus caudacutus	
Common Swift	Apus apus	
Pacific Swift	Apus pacificus	
 
CUCULIFORMES: Cuculidae

Rufous Hawk-Cuckoo	Hierococcyx hyperythrus	
Oriental Cuckoo	Cuculus optatus	
Common Cuckoo	Cuculus canorus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Stock Dove	Columba oenas	
Common Wood Pigeon	Columba palumbus	
European Turtle Dove	Streptopelia turtur	Vulnerable
Oriental Turtle Dove	Streptopelia orientalis	
White-bellied Green Pigeon	Treron sieboldii	
 
GRUIFORMES: Rallidae

Brown-cheeked Rail	Rallus indicus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	Rare/Accidental
Eurasian Coot	Fulica atra	
Baillon's Crake	Zapornia pusilla	
 
GRUIFORMES: Gruidae

Sandhill Crane	Antigone canadensis	
Common Crane	Grus grus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	
