
 
ANSERIFORMES: Anatidae

Swan Goose	Anser cygnoides	
Lesser White-fronted Goose	Anser erythropus	
Mandarin Duck	Aix galericulata	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	
Eurasian Wigeon	Mareca penelope	
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Common Pochard	Aythya ferina	
Baer's Pochard	Aythya baeri	
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Harlequin Duck	Histrionicus histrionicus	
Stejneger's Scoter	Melanitta stejnegeri	
Black Scoter	Melanitta americana	
Long-tailed Duck	Clangula hyemalis	
Common Goldeneye	Bucephala clangula	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
 
GALLIFORMES: Phasianidae

Hazel Grouse	Tetrastes bonasia	
Siberian Grouse	Falcipennis falcipennis	Endemic (country/region)
Black Grouse	Lyrurus tetrix	
Common Pheasant	Phasianus colchicus	
Common Quail	Coturnix coturnix	
Japanese Quail	Coturnix japonica	
 
CAPRIMULGIFORMES: Caprimulgidae

Grey Nightjar	Caprimulgus jotaka	
 
APODIFORMES: Apodidae

White-throated Needletail	Hirundapus caudacutus	
Pacific Swift	Apus pacificus	
 
CUCULIFORMES: Cuculidae

Rufous Hawk-Cuckoo	Hierococcyx hyperythrus	
Lesser Cuckoo	Cuculus poliocephalus	
Oriental Cuckoo	Cuculus optatus	
Common Cuckoo	Cuculus canorus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Hill Pigeon	Columba rupestris	
Oriental Turtle Dove	Streptopelia orientalis	
 
GRUIFORMES: Rallidae

Brown-cheeked Rail	Rallus indicus	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Ruddy-breasted Crake	Zapornia fusca	
Band-bellied Crake	Zapornia paykullii	
Baillon's Crake	Zapornia pusilla	
Watercock	Gallicrex cinerea	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Horned Grebe	Podiceps auritus	
Black-necked Grebe	Podiceps nigricollis	
 
CHARADRIIFORMES: Turnicidae

Yellow-legged Buttonquail	Turnix tanki	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	
Common Ringed Plover	Charadrius hiaticula	
Long-billed Plover	Charadrius placidus	
Little Ringed Plover	Charadrius dubius	
Kentish Plover	Charadrius alexandrinus	
Lesser Sand Plover	Charadrius mongolus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	
Eurasian Curlew	Numenius arquata	
Bar-tailed Godwit	Limosa lapponica	
Black-tailed Godwit	Limosa limosa	
Ruddy Turnstone	Arenaria interpres	
Sharp-tailed Sandpiper	Calidris acuminata	
Red-necked Stint	Calidris ruficollis	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	
Least Sandpiper	Calidris minutilla	Rare/Accidental
