GALLIFORMES: Phasianidae

Black Francolin	Francolinus francolinus	
Painted Francolin	Francolinus pictus	
Grey Francolin	Francolinus pondicerianus	
Common Quail	Coturnix coturnix	
Rain Quail	Coturnix coromandelica	
King Quail	Excalfactoria chinensis	
Jungle Bush Quail	Perdicula asiatica	
Rock Bush Quail	Perdicula argoondah	Endemic (country/region)
Red Spurfowl	Galloperdix spadicea	Endemic (country/region)
Painted Spurfowl	Galloperdix lunulata	Endemic (country/region)
Red Junglefowl	Gallus gallus	
Grey Junglefowl	Gallus sonneratii	Endemic (country/region)
Grey Peacock-Pheasant	Polyplectron bicalcaratum	
Indian Peafowl	Pavo cristatus	
 
ANSERIFORMES: Anatidae

Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Lesser Whistling Duck	Dendrocygna javanica	
Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Tundra Bean Goose	Anser serrirostris	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	
Whooper Swan	Cygnus cygnus	
Knob-billed Duck	Sarkidiornis melanotos	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Cotton Pygmy Goose	Nettapus coromandelianus	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
Indian Spot-billed Duck	Anas poecilorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Marbled Duck	Marmaronetta angustirostris	
Pink-headed Duck	Rhodonessa caryophyllacea	Endemic (country/region)
Red-crested Pochard	Netta rufina	
Common Pochard	Aythya ferina	
Baer's Pochard	Aythya baeri	Rare/Accidental
Ferruginous Duck	Aythya nyroca	
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	
White-headed Duck	Oxyura leucocephala	
 
CAPRIMULGIFORMES: Caprimulgidae

Jungle Nightjar	Caprimulgus indicus	
Grey Nightjar	Caprimulgus jotaka	
European Nightjar	Caprimulgus europaeus	
Sykes's Nightjar	Caprimulgus mahrattensis	
Jerdon's Nightjar	Caprimulgus atripennis	
Large-tailed Nightjar	Caprimulgus macrurus	
Indian Nightjar	Caprimulgus asiaticus	
Savanna Nightjar	Caprimulgus affinis	
 
APODIFORMES: Hemiprocnidae

Crested Treeswift	Hemiprocne coronata	
 
APODIFORMES: Apodidae

White-rumped Spinetail	Zoonavena sylvatica	
Silver-backed Needletail	Hirundapus cochinchinensis	
Asian Palm Swift	Cypsiurus balasiensis	
Alpine Swift	Tachymarptis melba	
Blyth's Swift	Apus leuconyx	
Little Swift	Apus affinis	
 
OTIDIFORMES: Otididae

Great Indian Bustard	Ardeotis nigriceps	Endemic (country/region)
Macqueen's Bustard	Chlamydotis macqueenii	
Lesser Florican	Sypheotides indicus	
 
CUCULIFORMES: Cuculidae

Greater Coucal	Centropus sinensis	
Sirkeer Malkoha	Taccocua leschenaultii	
Blue-faced Malkoha	Phaenicophaeus viridirostris	
Green-billed Malkoha	Phaenicophaeus tristis	
Chestnut-winged Cuckoo	Clamator coromandus	
Jacobin Cuckoo	Clamator jacobinus	
Asian Koel	Eudynamys scolopaceus	
Banded Bay Cuckoo	Cacomantis sonneratii	
Plaintive Cuckoo	Cacomantis merulinus	
Grey-bellied Cuckoo	Cacomantis passerinus	
Fork-tailed Drongo-Cuckoo	Surniculus dicruroides	
Large Hawk-Cuckoo	Hierococcyx sparverioides	
Common Hawk-Cuckoo	Hierococcyx varius	
Lesser Cuckoo	Cuculus poliocephalus	
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pallas's Sandgrouse	Syrrhaptes paradoxus	
Pin-tailed Sandgrouse	Pterocles alchata	
Chestnut-bellied Sandgrouse	Pterocles exustus	
Spotted Sandgrouse	Pterocles senegallus	
Black-bellied Sandgrouse	Pterocles orientalis	
Painted Sandgrouse	Pterocles indicus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Yellow-eyed Pigeon	Columba eversmanni	
Pale-capped Pigeon	Columba punicea	
Oriental Turtle Dove	Streptopelia orientalis	
Eurasian Collared Dove	Streptopelia decaocto	
Red Turtle Dove	Streptopelia tranquebarica	
Spotted Dove	Spilopelia chinensis	
Laughing Dove	Spilopelia senegalensis	
Common Emerald Dove	Chalcophaps indica	
Orange-breasted Green Pigeon	Treron bicinctus	
Yellow-footed Green Pigeon	Treron phoenicopterus	
 
GRUIFORMES: Heliornithidae

Masked Finfoot	Heliopais personatus	Rare/Accidental
 
GRUIFORMES: Rallidae

Slaty-legged Crake	Rallina eurizonoides	
Slaty-breasted Rail	Gallirallus striatus	
Water Rail	Rallus aquaticus	
Brown Crake	Amaurornis akool	
White-breasted Waterhen	Amaurornis phoenicurus	
Little Crake	Porzana parva	
Baillon's Crake	Porzana pusilla	
Spotted Crake	Porzana porzana	
Ruddy-breasted Crake	Porzana fusca	
Watercock	Gallicrex cinerea	
Grey-headed Swamphen	Porphyrio poliocephalus	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
 
GRUIFORMES: Gruidae

Siberian Crane	Leucogeranus leucogeranus	
Sarus Crane	Antigone antigone	
Demoiselle Crane	Grus virgo	
Common Crane	Grus grus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
Lesser Flamingo	Phoeniconaias minor	
 
CHARADRIIFORMES: Turnicidae

Common Buttonquail	Turnix sylvaticus	
Yellow-legged Buttonquail	Turnix tanki	
Barred Buttonquail	Turnix suscitator	
 
CHARADRIIFORMES: Burhinidae

Indian Stone-curlew	Burhinus indicus	
Great Stone-curlew	Esacus recurvirostris	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	
River Lapwing	Vanellus duvaucelii	
Yellow-wattled Lapwing	Vanellus malabaricus	
Grey-headed Lapwing	Vanellus cinereus	
Red-wattled Lapwing	Vanellus indicus	
Sociable Lapwing	Vanellus gregarius	
White-tailed Lapwing	Vanellus leucurus	
Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	
Long-billed Plover	Charadrius placidus	
Little Ringed Plover	Charadrius dubius	
Kentish Plover	Charadrius alexandrinus	
Lesser Sand Plover	Charadrius mongolus	
Greater Sand Plover	Charadrius leschenaultii	
Caspian Plover	Charadrius asiaticus	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	
 
CHARADRIIFORMES: Jacanidae

Pheasant-tailed Jacana	Hydrophasianus chirurgus	
Bronze-winged Jacana	Metopidius indicus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	
Bar-tailed Godwit	Limosa lapponica	
Black-tailed Godwit	Limosa limosa	
Ruddy Turnstone	Arenaria interpres	
Great Knot	Calidris tenuirostris	
Red Knot	Calidris canutus	Rare/Accidental
Ruff	Calidris pugnax	
Broad-billed Sandpiper	Calidris falcinellus	
Curlew Sandpiper	Calidris ferruginea	
Temminck's Stint	Calidris temminckii	
Spoon-billed Sandpiper	Calidris pygmaea	Rare/Accidental
Red-necked Stint	Calidris ruficollis	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	
Little Stint	Calidris minuta	
Long-billed Dowitcher	Limnodromus scolopaceus	Rare/Accidental
Eurasian Woodcock	Scolopax rusticola	
Jack Snipe	Lymnocryptes minimus	
Pin-tailed Snipe	Gallinago stenura	
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	
Red-necked Phalarope	Phalaropus lobatus	
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Common Redshank	Tringa totanus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Glareolidae

Cream-colored Courser	Cursorius cursor	
Indian Courser	Cursorius coromandelicus	
Collared Pratincole	Glareola pratincola	
Oriental Pratincole	Glareola maldivarum	
Small Pratincole	Glareola lactea	
 
CHARADRIIFORMES: Laridae

Indian Skimmer	Rynchops albicollis	
Slender-billed Gull	Chroicocephalus genei	
Brown-headed Gull	Chroicocephalus brunnicephalus	
Black-headed Gull	Chroicocephalus ridibundus	
Pallas's Gull	Ichthyaetus ichthyaetus	
Mew Gull	Larus canus	
Caspian Gull	Larus cachinnans	
Lesser Black-backed Gull	Larus fuscus	
Gull-billed Tern	Gelochelidon nilotica	
Caspian Tern	Hydroprogne caspia	
Greater Crested Tern	Thalasseus bergii	
Little Tern	Sternula albifrons	
River Tern	Sterna aurantia	
Common Tern	Sterna hirundo	
Black-bellied Tern	Sterna acuticauda	
Whiskered Tern	Chlidonias hybrida	
White-winged Tern	Chlidonias leucopterus	
Black Tern	Chlidonias niger	
 
CICONIIFORMES: Ciconiidae

Painted Stork	Mycteria leucocephala	
Asian Openbill	Anastomus oscitans	
Black Stork	Ciconia nigra	
Woolly-necked Stork	Ciconia episcopus	
White Stork	Ciconia ciconia	
Black-necked Stork	Ephippiorhynchus asiaticus	
Lesser Adjutant	Leptoptilos javanicus	
Greater Adjutant	Leptoptilos dubius	Rare/Accidental
 
SULIFORMES: Phalacrocoracidae

Little Cormorant	Microcarbo niger	
Indian Cormorant	Phalacrocorax fuscicollis	
Great Cormorant	Phalacrocorax carbo	
 
SULIFORMES: Anhingidae

Oriental Darter	Anhinga melanogaster	
 
PELECANIFORMES: Threskiornithidae

Black-headed Ibis	Threskiornis melanocephalus	
Red-naped Ibis	Pseudibis papillosa	
Glossy Ibis	Plegadis falcinellus	
Eurasian Spoonbill	Platalea leucorodia	
 
PELECANIFORMES: Ardeidae

Eurasian Bittern	Botaurus stellaris	
Little Bittern	Ixobrychus minutus	
Yellow Bittern	Ixobrychus sinensis	
Cinnamon Bittern	Ixobrychus cinnamomeus	
Black Bittern	Ixobrychus flavicollis	
Black-crowned Night Heron	Nycticorax nycticorax	
Striated Heron	Butorides striata	
Indian Pond Heron	Ardeola grayii	
Eastern Cattle Egret	Bubulcus coromandus	
Grey Heron	Ardea cinerea	
Purple Heron	Ardea purpurea	
Great Egret	Ardea alba	
Intermediate Egret	Ardea intermedia	
Little Egret	Egretta garzetta	
Western Reef Heron	Egretta gularis	Rare/Accidental
 
PELECANIFORMES: Pelecanidae

Great White Pelican	Pelecanus onocrotalus	
Spot-billed Pelican	Pelecanus philippensis	
Dalmatian Pelican	Pelecanus crispus	
 
ACCIPITRIFORMES: Pandionidae

Western Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

Black-winged Kite	Elanus caeruleus	
Bearded Vulture	Gypaetus barbatus	
Egyptian Vulture	Neophron percnopterus	
Crested Honey Buzzard	Pernis ptilorhynchus	
White-rumped Vulture	Gyps bengalensis	
Indian Vulture	Gyps indicus	
Slender-billed Vulture	Gyps tenuirostris	
Himalayan Vulture	Gyps himalayensis	
Griffon Vulture	Gyps fulvus	
Red-headed Vulture	Sarcogyps calvus	
Cinereous Vulture	Aegypius monachus	
Crested Serpent Eagle	Spilornis cheela	
Short-toed Snake Eagle	Circaetus gallicus	
Changeable Hawk-Eagle	Nisaetus cirrhatus	
Black Eagle	Ictinaetus malaiensis	
Indian Spotted Eagle	Clanga hastata	
Greater Spotted Eagle	Clanga clanga	
Booted Eagle	Hieraaetus pennatus	
Tawny Eagle	Aquila rapax	
Steppe Eagle	Aquila nipalensis	
Eastern Imperial Eagle	Aquila heliaca	
Golden Eagle	Aquila chrysaetos	
Bonelli's Eagle	Aquila fasciata	
Crested Goshawk	Accipiter trivirgatus	
Shikra	Accipiter badius	
Besra	Accipiter virgatus	
Eurasian Sparrowhawk	Accipiter nisus	
Northern Goshawk	Accipiter gentilis	
Western Marsh Harrier	Circus aeruginosus	
Eastern Marsh Harrier	Circus spilonotus	Rare/Accidental
Hen Harrier	Circus cyaneus	
Pallid Harrier	Circus macrourus	
Pied Harrier	Circus melanoleucos	
Montagu's Harrier	Circus pygargus	
Red Kite	Milvus milvus	
Black Kite	Milvus migrans	
Brahminy Kite	Haliastur indus	
White-bellied Sea Eagle	Haliaeetus leucogaster	
Pallas's Fish Eagle	Haliaeetus leucoryphus	
White-tailed Eagle	Haliaeetus albicilla	
Lesser Fish Eagle	Haliaeetus humilis	
Grey-headed Fish Eagle	Haliaeetus ichthyaetus	
White-eyed Buzzard	Butastur teesa	
Long-legged Buzzard	Buteo rufinus	
Common Buzzard	Buteo buteo	
 
STRIGIFORMES: Tytonidae

Eastern Barn Owl	Tyto javanica	
Eastern Grass Owl	Tyto longimembris	
 
STRIGIFORMES: Strigidae

Indian Scops Owl	Otus bakkamoena	
Pallid Scops Owl	Otus brucei	Rare/Accidental
Eurasian Scops Owl	Otus scops	
Oriental Scops Owl	Otus sunia	
Eurasian Eagle-Owl	Bubo bubo	
Indian Eagle-Owl	Bubo bengalensis	
Spot-bellied Eagle-Owl	Bubo nipalensis	
Dusky Eagle-Owl	Bubo coromandus	
Brown Fish Owl	Ketupa zeylonensis	
Mottled Wood Owl	Strix ocellata	
Brown Wood Owl	Strix leptogrammica	
Jungle Owlet	Glaucidium radiatum	
Spotted Owlet	Athene brama	
Forest Owlet	Athene blewitti	Endemic (country/region)
Brown Hawk-Owl	Ninox scutulata	
Long-eared Owl	Asio otus	
Short-eared Owl	Asio flammeus	
 
TROGONIFORMES: Trogonidae

Malabar Trogon	Harpactes fasciatus	
 
BUCEROTIFORMES: Upupidae

Eurasian Hoopoe	Upupa epops	
 
BUCEROTIFORMES: Bucerotidae

Oriental Pied Hornbill	Anthracoceros albirostris	
Indian Grey Hornbill	Ocyceros birostris	
 
CORACIIFORMES: Coraciidae

Indian Roller	Coracias benghalensis	
European Roller	Coracias garrulus	
 
CORACIIFORMES: Alcedinidae

Stork-billed Kingfisher	Pelargopsis capensis	
White-throated Kingfisher	Halcyon smyrnensis	
Black-capped Kingfisher	Halcyon pileata	
Blue-eared Kingfisher	Alcedo meninting	
Common Kingfisher	Alcedo atthis	
Oriental Dwarf Kingfisher	Ceyx erithaca	
Crested Kingfisher	Megaceryle lugubris	
Pied Kingfisher	Ceryle rudis	
 
CORACIIFORMES: Meropidae

Blue-bearded Bee-eater	Nyctyornis athertoni	
Green Bee-eater	Merops orientalis	
Blue-cheeked Bee-eater	Merops persicus	
Blue-tailed Bee-eater	Merops philippinus	
Chestnut-headed Bee-eater	Merops leschenaulti	
European Bee-eater	Merops apiaster	
 
PICIFORMES: Megalaimidae

Brown-headed Barbet	Psilopogon zeylanicus	
Lineated Barbet	Psilopogon lineatus	
White-cheeked Barbet	Psilopogon viridis	Endemic (country/region)
Coppersmith Barbet	Psilopogon haemacephalus	
 
PICIFORMES: Picidae

Eurasian Wryneck	Jynx torquilla	
Speckled Piculet	Picumnus innominatus	
Brown-capped Pygmy Woodpecker	Yungipicus nanus	
Brown-fronted Woodpecker	Dendrocoptes auriceps	
Yellow-crowned Woodpecker	Leiopicus mahrattensis	
Fulvous-breasted Woodpecker	Dendrocopos macei	
Sind Woodpecker	Dendrocopos assimilis	
Lesser Yellownape	Picus chlorolophus	
Streak-throated Woodpecker	Picus xanthopygaeus	
Black-rumped Flameback	Dinopium benghalense	
White-naped Woodpecker	Chrysocolaptes festivus	
Rufous Woodpecker	Micropternus brachyurus	
 
FALCONIFORMES: Falconidae

Lesser Kestrel	Falco naumanni	
Common Kestrel	Falco tinnunculus	
Red-necked Falcon	Falco chicquera	
Amur Falcon	Falco amurensis	
Merlin	Falco columbarius	
Eurasian Hobby	Falco subbuteo	
Oriental Hobby	Falco severus	
Laggar Falcon	Falco jugger	
Saker Falcon	Falco cherrug	
Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Psittaculidae

Blossom-headed Parakeet	Psittacula roseata	
Plum-headed Parakeet	Psittacula cyanocephala	
Alexandrine Parakeet	Psittacula eupatria	
Rose-ringed Parakeet	Psittacula krameri	
 
PASSERIFORMES: Pittidae

Indian Pitta	Pitta brachyura	
 
PASSERIFORMES: Vangidae

Bar-winged Flycatcher-shrike	Hemipus picatus	
Common Woodshrike	Tephrodornis pondicerianus	
 
PASSERIFORMES: Artamidae

Ashy Woodswallow	Artamus fuscus	
 
PASSERIFORMES: Aegithinidae

Common Iora	Aegithina tiphia	
Marshall's Iora	Aegithina nigrolutea	
 
PASSERIFORMES: Campephagidae

White-bellied Minivet	Pericrocotus erythropygius	Endemic (country/region)
Small Minivet	Pericrocotus cinnamomeus	
Short-billed Minivet	Pericrocotus brevirostris	
Long-tailed Minivet	Pericrocotus ethologus	
Orange Minivet	Pericrocotus flammeus	
Rosy Minivet	Pericrocotus roseus	
Large Cuckooshrike	Coracina macei	
Black-winged Cuckooshrike	Lalage melaschistos	
Black-headed Cuckooshrike	Lalage melanoptera	
 
PASSERIFORMES: Pachycephalidae

Mangrove Whistler	Pachycephala cinerea	
 
PASSERIFORMES: Laniidae

Brown Shrike	Lanius cristatus	
Red-backed Shrike	Lanius collurio	
Isabelline Shrike	Lanius isabellinus	
Red-tailed Shrike	Lanius phoenicuroides	
Bay-backed Shrike	Lanius vittatus	
Long-tailed Shrike	Lanius schach	
Grey-backed Shrike	Lanius tephronotus	
Great Grey Shrike	Lanius excubitor	
 
PASSERIFORMES: Oriolidae

Black-hooded Oriole	Oriolus xanthornus	
Indian Golden Oriole	Oriolus kundoo	
Black-naped Oriole	Oriolus chinensis	
 
PASSERIFORMES: Dicruridae

Black Drongo	Dicrurus macrocercus	
Ashy Drongo	Dicrurus leucophaeus	
White-bellied Drongo	Dicrurus caerulescens	
Bronzed Drongo	Dicrurus aeneus	
Hair-crested Drongo	Dicrurus hottentottus	
Greater Racket-tailed Drongo	Dicrurus paradiseus	
 
PASSERIFORMES: Rhipiduridae

White-throated Fantail	Rhipidura albicollis	
White-spotted Fantail	Rhipidura albogularis	Endemic (country/region)
White-browed Fantail	Rhipidura aureola	
 
PASSERIFORMES: Monarchidae

Black-naped Monarch	Hypothymis azurea	
Indian Paradise Flycatcher	Terpsiphone paradisi	
 
PASSERIFORMES: Corvidae

Rufous Treepie	Dendrocitta vagabunda	
Eurasian Magpie	Pica pica	
House Crow	Corvus splendens	
Carrion Crow	Corvus corone	
Large-billed Crow	Corvus macrorhynchos	
Eastern Jungle Crow	Corvus levaillantii	
Indian Jungle Crow	Corvus culminatus	
Pied Crow	Corvus albus	Rare/Accidental
Northern Raven	Corvus corax	
 
PASSERIFORMES: Hypocoliidae

Grey Hypocolius	Hypocolius ampelinus	Rare/Accidental
 
PASSERIFORMES: Stenostiridae

Grey-headed Canary-flycatcher	Culicicapa ceylonensis	
 
PASSERIFORMES: Paridae

Fire-capped Tit	Cephalopyrus flammiceps	
Cinereous Tit	Parus cinereus	
White-naped Tit	Machlolophus nuchalis	Endemic (country/region)
Indian Black-lored Tit	Machlolophus aplonotus	Endemic (country/region)
Yellow-cheeked Tit	Machlolophus spilonotus	
 
PASSERIFORMES: Remizidae

White-crowned Penduline Tit	Remiz coronatus	
 
PASSERIFORMES: Alaudidae

Greater Hoopoe-Lark	Alaemon alaudipes	
Desert Lark	Ammomanes deserti	
Rufous-tailed Lark	Ammomanes phoenicura	Endemic (country/region)
Black-crowned Sparrow-Lark	Eremopterix nigriceps	
Ashy-crowned Sparrow-Lark	Eremopterix griseus	
Singing Bush Lark	Mirafra cantillans	
Bengal Bush Lark	Mirafra assamica	
Indian Bush Lark	Mirafra erythroptera	
Oriental Skylark	Alauda gulgula	
Eurasian Skylark	Alauda arvensis	
Sykes's Lark	Galerida deva	Endemic (country/region)
Crested Lark	Galerida cristata	
Hume's Short-toed Lark	Calandrella acutirostris	
Mongolian Short-toed Lark	Calandrella dukhunensis	
Greater Short-toed Lark	Calandrella brachydactyla	
Bimaculated Lark	Melanocorypha bimaculata	
Lesser Short-toed Lark	Alaudala rufescens	
Sand Lark	Alaudala raytal	
 
PASSERIFORMES: Pycnonotidae

Red-whiskered Bulbul	Pycnonotus jocosus	
Himalayan Bulbul	Pycnonotus leucogenys	
White-eared Bulbul	Pycnonotus leucotis	
Red-vented Bulbul	Pycnonotus cafer	
White-browed Bulbul	Pycnonotus luteolus	
Ashy Bulbul	Hemixos flavala	
 
PASSERIFORMES: Hirundinidae

Grey-throated Martin	Riparia chinensis	
Sand Martin	Riparia riparia	
Pale Martin	Riparia diluta	
Barn Swallow	Hirundo rustica	
Wire-tailed Swallow	Hirundo smithii	
Eurasian Crag Martin	Ptyonoprogne rupestris	
Dusky Crag Martin	Ptyonoprogne concolor	
Common House Martin	Delichon urbicum	
Asian House Martin	Delichon dasypus	
Red-rumped Swallow	Cecropis daurica	
Streak-throated Swallow	Petrochelidon fluvicola	
 
PASSERIFORMES: Cettiidae

Cetti's Warbler	Cettia cetti	
 
PASSERIFORMES: Phylloscopidae

Hume's Leaf Warbler	Phylloscopus humei	
Yellow-browed Warbler	Phylloscopus inornatus	
Brooks's Leaf Warbler	Phylloscopus subviridis	
Lemon-rumped Warbler	Phylloscopus chloronotus	
Tytler's Leaf Warbler	Phylloscopus tytleri	Endemic (country/region)
Sulphur-bellied Warbler	Phylloscopus griseolus	
Tickell's Leaf Warbler	Phylloscopus affinis	
Smoky Warbler	Phylloscopus fuligiventer	
Dusky Warbler	Phylloscopus fuscatus	
Plain Leaf Warbler	Phylloscopus neglectus	
Mountain Chiffchaff	Phylloscopus sindianus	
Common Chiffchaff	Phylloscopus collybita	
Green-crowned Warbler	Phylloscopus burkii	
Whistler's Warbler	Phylloscopus whistleri	
Green Warbler	Phylloscopus nitidus	
Greenish Warbler	Phylloscopus trochiloides	
Large-billed Leaf Warbler	Phylloscopus magnirostris	
Western Crowned Warbler	Phylloscopus occipitalis	
Blyth's Leaf Warbler	Phylloscopus reguloides	
 
PASSERIFORMES: Acrocephalidae

Clamorous Reed Warbler	Acrocephalus stentoreus	
Black-browed Reed Warbler	Acrocephalus bistrigiceps	
Moustached Warbler	Acrocephalus melanopogon	
Blunt-winged Warbler	Acrocephalus concinens	
Paddyfield Warbler	Acrocephalus agricola	
Blyth's Reed Warbler	Acrocephalus dumetorum	
Thick-billed Warbler	Arundinax aedon	
Booted Warbler	Iduna caligata	
Sykes's Warbler	Iduna rama	
 
PASSERIFORMES: Locustellidae

Lanceolated Warbler	Locustella lanceolata	
Common Grasshopper Warbler	Locustella naevia	
Striated Grassbird	Megalurus palustris	
Bristled Grassbird	Schoenicola striatus	
 
PASSERIFORMES: Cisticolidae

Zitting Cisticola	Cisticola juncidis	
Golden-headed Cisticola	Cisticola exilis	
Rufous-fronted Prinia	Prinia buchanani	
Grey-breasted Prinia	Prinia hodgsonii	
Graceful Prinia	Prinia gracilis	
Jungle Prinia	Prinia sylvatica	
Yellow-bellied Prinia	Prinia flaviventris	
Ashy Prinia	Prinia socialis	
Plain Prinia	Prinia inornata	
Common Tailorbird	Orthotomus sutorius	
 
PASSERIFORMES: Timaliidae

Indian Scimitar Babbler	Pomatorhinus horsfieldii	
White-browed Scimitar Babbler	Pomatorhinus schisticeps	
Buff-chested Babbler	Stachyridopsis ambigua	
Tawny-bellied Babbler	Dumetia hyperythra	
Pin-striped Tit-Babbler	Macronus gularis	
Chestnut-capped Babbler	Timalia pileata	
 
PASSERIFORMES: Pellorneidae

Rufous-vented Grass Babbler	Laticilla burnesii	
Brown-cheeked Fulvetta	Alcippe poioicephala	
Marsh Babbler	Pellorneum palustre	Endemic (country/region)
Puff-throated Babbler	Pellorneum ruficeps	
 
PASSERIFORMES: Leiothrichidae

Large Grey Babbler	Argya malcolmi	
Striated Babbler	Argya earlei	
Common Babbler	Argya caudata	
Jungle Babbler	Argya striata	
 
PASSERIFORMES: Sylviidae

Lesser Whitethroat	Sylvia curruca	
Desert Whitethroat	Sylvia minula	
Hume's Whitethroat	Sylvia althaea	
Eastern Orphean Warbler	Sylvia crassirostris	
Asian Desert Warbler	Sylvia nana	
Common Whitethroat	Sylvia communis	
Yellow-eyed Babbler	Chrysomma sinense	
 
PASSERIFORMES: Zosteropidae

Indian White-eye	Zosterops palpebrosus	
 
PASSERIFORMES: Irenidae

Asian Fairy-bluebird	Irena puella	
 
PASSERIFORMES: Sittidae

Indian Nuthatch	Sitta castanea	
Chestnut-bellied Nuthatch	Sitta cinnamoventris	
Velvet-fronted Nuthatch	Sitta frontalis	
 
PASSERIFORMES: Tichodromidae

Wallcreeper	Tichodroma muraria	
 
PASSERIFORMES: Certhiidae

Bar-tailed Treecreeper	Certhia himalayana	
Indian Spotted Creeper	Salpornis spilonota	
 
PASSERIFORMES: Sturnidae

Jungle Myna	Acridotheres fuscus	
Bank Myna	Acridotheres ginginianus	
Common Myna	Acridotheres tristis	
Pied Myna	Gracupica contra	
Daurian Starling	Agropsar sturninus	
Chestnut-tailed Starling	Sturnia malabarica	
Brahminy Starling	Sturnia pagodarum	
Rosy Starling	Pastor roseus	
Common Starling	Sturnus vulgaris	
 
PASSERIFORMES: Turdidae

Orange-headed Thrush	Geokichla citrina	
Scaly Thrush	Zoothera dauma	
