GALLIFORMES: Megapodiidae

Nicobar Megapode	Megapodius nicobariensis	Endemic
 
GALLIFORMES: Phasianidae

Snow Partridge	Lerwa lerwa	
Himalayan Snowcock	Tetraogallus himalayensis	
Tibetan Snowcock	Tetraogallus tibetanus	
Chukar Partridge	Alectoris chukar	
Black Francolin	Francolinus francolinus	
Painted Francolin	Francolinus pictus	
Chinese Francolin	Francolinus pintadeanus	
Grey Francolin	Francolinus pondicerianus	
Swamp Francolin	Francolinus gularis	
Tibetan Partridge	Perdix hodgsoniae	
Common Quail	Coturnix coturnix	
Japanese Quail	Coturnix japonica	
Rain Quail	Coturnix coromandelica	
King Quail	Excalfactoria chinensis	
Jungle Bush Quail	Perdicula asiatica	
Rock Bush Quail	Perdicula argoondah	Endemic
Painted Bush Quail	Perdicula erythrorhyncha	Endemic
Manipur Bush Quail	Perdicula manipurensis	Endemic
Himalayan Quail	Ophrysia superciliosa	Endemic
Hill Partridge	Arborophila torqueola	
Rufous-throated Partridge	Arborophila rufogularis	
White-cheeked Partridge	Arborophila atrogularis	
Chestnut-breasted Partridge	Arborophila mandellii	
Mountain Bamboo Partridge	Bambusicola fytchii	
Red Spurfowl	Galloperdix spadicea	Endemic
Painted Spurfowl	Galloperdix lunulata	Endemic
Blood Pheasant	Ithaginis cruentus	
Western Tragopan	Tragopan melanocephalus	
Satyr Tragopan	Tragopan satyra	
Blyth's Tragopan	Tragopan blythii	
Temminck's Tragopan	Tragopan temminckii	
Koklass Pheasant	Pucrasia macrolopha	
Himalayan Monal	Lophophorus impejanus	
Sclater's Monal	Lophophorus sclateri	
Red Junglefowl	Gallus gallus	
Grey Junglefowl	Gallus sonneratii	Endemic
Kalij Pheasant	Lophura leucomelanos	
Cheer Pheasant	Catreus wallichii	
Mrs. Hume's Pheasant	Syrmaticus humiae	
Grey Peacock-Pheasant	Polyplectron bicalcaratum	
Indian Peafowl	Pavo cristatus	
Green Peafowl	Pavo muticus	
 
ANSERIFORMES: Anatidae

Fulvous Whistling Duck	Dendrocygna bicolor	
Lesser Whistling Duck	Dendrocygna javanica	
Red-breasted Goose	Branta ruficollis	Rare
Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Taiga Bean Goose	Anser fabalis	Rare
Tundra Bean Goose	Anser serrirostris	Rare
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	Rare
Mute Swan	Cygnus olor	Rare
Tundra Swan	Cygnus columbianus	Rare
Whooper Swan	Cygnus cygnus	Rare
Knob-billed Duck	Sarkidiornis melanotos	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
White-winged Duck	Asarcornis scutulata	
Mandarin Duck	Aix galericulata	Rare
Cotton Pygmy Goose	Nettapus coromandelianus	
Baikal Teal	Sibirionetta formosa	Rare
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	
Eurasian Wigeon	Mareca penelope	
Indian Spot-billed Duck	Anas poecilorhyncha	
Eastern Spot-billed Duck	Anas zonorhyncha	Rare
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Andaman Teal	Anas albogularis	Endemic
Marbled Duck	Marmaronetta angustirostris	
Pink-headed Duck	Rhodonessa caryophyllacea	Endemic
Red-crested Pochard	Netta rufina	
Common Pochard	Aythya ferina	
Baer's Pochard	Aythya baeri	
Ferruginous Duck	Aythya nyroca	
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Long-tailed Duck	Clangula hyemalis	Rare
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
