GALLIFORMES: Megapodiidae

Nicobar Megapode	Megapodius nicobariensis	Rare/Accidental Vulnerable
 
GALLIFORMES: Phasianidae

Snow Partridge	Lerwa lerwa	
Himalayan Snowcock	Tetraogallus himalayensis	
Chukar Partridge	Alectoris chukar	
Black Francolin	Francolinus francolinus	
Painted Francolin	Francolinus pictus	
Grey Francolin	Francolinus pondicerianus	Introduced species
Swamp Francolin	Francolinus gularis	Vulnerable
Common Quail	Coturnix coturnix	
Rain Quail	Coturnix coromandelica	
King Quail	Excalfactoria chinensis	
Jungle Bush Quail	Perdicula asiatica	
Rock Bush Quail	Perdicula argoondah	Endemic (country/region)
Painted Bush Quail	Perdicula erythrorhyncha	Endemic (country/region)
Hill Partridge	Arborophila torqueola	
Rufous-throated Partridge	Arborophila rufogularis	
White-cheeked Partridge	Arborophila atrogularis	Near-threatened
Chestnut-breasted Partridge	Arborophila mandellii	Vulnerable
Mountain Bamboo Partridge	Bambusicola fytchii	
Red Spurfowl	Galloperdix spadicea	Endemic (country/region)
Painted Spurfowl	Galloperdix lunulata	Endemic (country/region)
Blood Pheasant	Ithaginis cruentus	
Western Tragopan	Tragopan melanocephalus	Vulnerable
Satyr Tragopan	Tragopan satyra	Near-threatened
Blyth's Tragopan	Tragopan blythii	Vulnerable
Koklass Pheasant	Pucrasia macrolopha	
Himalayan Monal	Lophophorus impejanus	
Red Junglefowl	Gallus gallus	
Grey Junglefowl	Gallus sonneratii	Endemic (country/region)
Kalij Pheasant	Lophura leucomelanos	
Cheer Pheasant	Catreus wallichii	Vulnerable
Grey Peacock-Pheasant	Polyplectron bicalcaratum	
Indian Peafowl	Pavo cristatus	Introduced species
 
ANSERIFORMES: Anatidae

Fulvous Whistling Duck	Dendrocygna bicolor	
Lesser Whistling Duck	Dendrocygna javanica	
Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Greater White-fronted Goose	Anser albifrons	
Knob-billed Duck	Sarkidiornis melanotos	Introduced species
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
White-winged Duck	Asarcornis scutulata	Endangered
Mandarin Duck	Aix galericulata	Rare/Accidental
Cotton Pygmy Goose	Nettapus coromandelianus	
Baikal Teal	Sibirionetta formosa	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	Near-threatened
Eurasian Wigeon	Mareca penelope	Rare/Accidental
Indian Spot-billed Duck	Anas poecilorhyncha	Introduced species
Eastern Spot-billed Duck	Anas zonorhyncha	Rare/Accidental
Mallard	Anas platyrhynchos	Introduced species
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Andaman Teal	Anas albogularis	Endemic Vulnerable
Marbled Duck	Marmaronetta angustirostris	Vulnerable
Red-crested Pochard	Netta rufina	Rare/Accidental
Common Pochard	Aythya ferina	Vulnerable
Baer's Pochard	Aythya baeri	Critically endangered
Ferruginous Duck	Aythya nyroca	Rare/Accidental Near-threatened
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	
 
CAPRIMULGIFORMES: Caprimulgidae

Jungle Nightjar	Caprimulgus indicus	Rare/Accidental
Grey Nightjar	Caprimulgus jotaka	
Large-tailed Nightjar	Caprimulgus macrurus	
Andaman Nightjar	Caprimulgus andamanicus	Endemic
 
APODIFORMES: Apodidae

Plume-toed Swiftlet	Collocalia affinis	
Himalayan Swiftlet	Aerodramus brevirostris	
Edible-nest Swiftlet	Aerodramus fuciphagus	
White-throated Needletail	Hirundapus caudacutus	
Brown-backed Needletail	Hirundapus giganteus	
Common Swift	Apus apus	Rare/Accidental
Pacific Swift	Apus pacificus	
Blyth's Swift	Apus leuconyx	
Dark-rumped Swift	Apus acuticauda	Rare/Accidental Vulnerable
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Andaman Coucal	Centropus andamanensis	
Chestnut-winged Cuckoo	Clamator coromandus	
Jacobin Cuckoo	Clamator jacobinus	Rare/Accidental
Asian Koel	Eudynamys scolopaceus	
Asian Emerald Cuckoo	Chrysococcyx maculatus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Plaintive Cuckoo	Cacomantis merulinus	
Grey-bellied Cuckoo	Cacomantis passerinus	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Large Hawk-Cuckoo	Hierococcyx sparverioides	Rare/Accidental
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	
