GALLIFORMES: Megapodiidae

Nicobar Megapode	Megapodius nicobariensis	Endemic Vulnerable
 
GALLIFORMES: Phasianidae

King Quail	Excalfactoria chinensis	
 
ANSERIFORMES: Anatidae

Lesser Whistling Duck	Dendrocygna javanica	
Cotton Pygmy Goose	Nettapus coromandelianus	
Garganey	Spatula querquedula	
Eurasian Teal	Anas crecca	
Andaman Teal	Anas albogularis	Rare/Accidental Vulnerable
 
CAPRIMULGIFORMES: Caprimulgidae

Grey Nightjar	Caprimulgus jotaka	Rare/Accidental
Large-tailed Nightjar	Caprimulgus macrurus	
Andaman Nightjar	Caprimulgus andamanicus	Endemic (country/region)
 
APODIFORMES: Apodidae

Plume-toed Swiftlet	Collocalia affinis	
Edible-nest Swiftlet	Aerodramus fuciphagus	
Brown-backed Needletail	Hirundapus giganteus	
House Swift	Apus nipalensis	
 
CUCULIFORMES: Cuculidae

Andaman Coucal	Centropus andamanensis	
Chestnut-winged Cuckoo	Clamator coromandus	
Asian Koel	Eudynamys scolopaceus	
Asian Emerald Cuckoo	Chrysococcyx maculatus	
Violet Cuckoo	Chrysococcyx xanthorhynchus	
Horsfield's Bronze Cuckoo	Chrysococcyx basalis	Rare/Accidental
Square-tailed Drongo-Cuckoo	Surniculus lugubris	
Large Hawk-Cuckoo	Hierococcyx sparverioides	Rare/Accidental
Indian Cuckoo	Cuculus micropterus	
Himalayan Cuckoo	Cuculus saturatus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Andaman Wood Pigeon	Columba palumboides	Endemic (country/region) Near-threatened
Eurasian Collared Dove	Streptopelia decaocto	
Red Collared Dove	Streptopelia tranquebarica	
Andaman Cuckoo-Dove	Macropygia rufipennis	Endemic (country/region)
Common Emerald Dove	Chalcophaps indica	
Nicobar Pigeon	Caloenas nicobarica	Near-threatened
Andaman Green Pigeon	Treron chloropterus	Endemic (country/region) Near-threatened
Green Imperial Pigeon	Ducula aenea	
Nicobar Imperial Pigeon	Ducula nicobarica	Endemic
Pied Imperial Pigeon	Ducula bicolor	
 
GRUIFORMES: Rallidae

Corn Crake	Crex crex	Rare/Accidental
Slaty-breasted Rail	Lewinia striata	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Grey-headed Swamphen	Porphyrio poliocephalus	
Baillon's Crake	Zapornia pusilla	
Watercock	Gallicrex cinerea	
White-breasted Waterhen	Amaurornis phoenicurus	
 
CHARADRIIFORMES: Turnicidae

Yellow-legged Buttonquail	Turnix tanki	
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	Near-threatened
 
CHARADRIIFORMES: Charadriidae

Grey-headed Lapwing	Vanellus cinereus	
Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Little Ringed Plover	Charadrius dubius	
Kentish Plover	Charadrius alexandrinus	
Lesser Sand Plover	Charadrius mongolus	
Greater Sand Plover	Charadrius leschenaultii	
 
CHARADRIIFORMES: Jacanidae

Pheasant-tailed Jacana	Hydrophasianus chirurgus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Rare/Accidental Near-threatened
Ruddy Turnstone	Arenaria interpres	
Great Knot	Calidris tenuirostris	Endangered
Broad-billed Sandpiper	Calidris falcinellus	
Curlew Sandpiper	Calidris ferruginea	Near-threatened
Long-toed Stint	Calidris subminuta	
Red-necked Stint	Calidris ruficollis	Near-threatened
Sanderling	Calidris alba	
Pin-tailed Snipe	Gallinago stenura	
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Common Redshank	Tringa totanus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Dromadidae

Crab-plover	Dromas ardeola	
 
CHARADRIIFORMES: Glareolidae

Oriental Pratincole	Glareola maldivarum	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Lesser Noddy	Anous tenuirostris	Rare/Accidental
Black Noddy	Anous minutus	
Brown-headed Gull	Chroicocephalus brunnicephalus	
Greater Crested Tern	Thalasseus bergii	
Lesser Crested Tern	Thalasseus bengalensis	
Little Tern	Sternula albifrons	
Bridled Tern	Onychoprion anaethetus	
Sooty Tern	Onychoprion fuscatus	
Roseate Tern	Sterna dougallii	
Black-naped Tern	Sterna sumatrana	
Whiskered Tern	Chlidonias hybrida	
White-winged Tern	Chlidonias leucopterus	
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger	Stercorarius pomarinus	
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	Rare/Accidental
 
PROCELLARIIFORMES: Oceanitidae

