GALLIFORMES: Phasianidae

Snow Partridge	Lerwa lerwa	
Himalayan Snowcock	Tetraogallus himalayensis	
Tibetan Snowcock	Tetraogallus tibetanus	
Chukar Partridge	Alectoris chukar	
Black Francolin	Francolinus francolinus	
Grey Francolin	Francolinus pondicerianus	
Swamp Francolin	Francolinus gularis	
Tibetan Partridge	Perdix hodgsoniae	
Common Quail	Coturnix coturnix	
Rain Quail	Coturnix coromandelica	Rare
King Quail	Excalfactoria chinensis	
Jungle Bush Quail	Perdicula asiatica	Rare
Hill Partridge	Arborophila torqueola	
Rufous-throated Partridge	Arborophila rufogularis	
Red Spurfowl	Galloperdix spadicea	Rare
Blood Pheasant	Ithaginis cruentus	
Satyr Tragopan	Tragopan satyra	
Koklass Pheasant	Pucrasia macrolopha	
Himalayan Monal	Lophophorus impejanus	
Red Junglefowl	Gallus gallus	
Kalij Pheasant	Lophura leucomelanos	
Cheer Pheasant	Catreus wallichii	
Indian Peafowl	Pavo cristatus	
 
ANSERIFORMES: Anatidae

Fulvous Whistling Duck	Dendrocygna bicolor	Rare
Lesser Whistling Duck	Dendrocygna javanica	
Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Taiga Bean Goose	Anser fabalis	Rare
Tundra Bean Goose	Anser serrirostris	Rare
Greater White-fronted Goose	Anser albifrons	Rare
Tundra Swan	Cygnus columbianus	Rare
Whooper Swan	Cygnus cygnus	Rare
Knob-billed Duck	Sarkidiornis melanotos	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Mandarin Duck	Aix galericulata	Rare
Cotton Pygmy Goose	Nettapus coromandelianus	
Baikal Teal	Sibirionetta formosa	Rare
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	
Eurasian Wigeon	Mareca penelope	
Indian Spot-billed Duck	Anas poecilorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Pink-headed Duck	Rhodonessa caryophyllacea	Rare
Red-crested Pochard	Netta rufina	
Common Pochard	Aythya ferina	
Baer's Pochard	Aythya baeri	Rare
Ferruginous Duck	Aythya nyroca	
