
 
ANSERIFORMES: Anatidae

Fulvous Whistling Duck	Dendrocygna bicolor	
Lesser Whistling Duck	Dendrocygna javanica	
Bar-headed Goose	Anser indicus	Rare/Accidental
Greylag Goose	Anser anser	Rare/Accidental
Knob-billed Duck	Sarkidiornis melanotos	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Cotton Pygmy Goose	Nettapus coromandelianus	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
Indian Spot-billed Duck	Anas poecilorhyncha	
Mallard	Anas platyrhynchos	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Marbled Duck	Marmaronetta angustirostris	Rare/Accidental Near-threatened
Red-crested Pochard	Netta rufina	Rare/Accidental
Common Pochard	Aythya ferina	Rare/Accidental Vulnerable
Ferruginous Duck	Aythya nyroca	Rare/Accidental Near-threatened
Tufted Duck	Aythya fuligula	Rare/Accidental
 
GALLIFORMES: Phasianidae

Indian Peafowl	Pavo cristatus	
Sri Lanka Spurfowl	Galloperdix bicalcarata	Endemic
Sri Lanka Junglefowl	Gallus lafayettii	Endemic
Grey Francolin	Ortygornis pondicerianus	
Painted Francolin	Francolinus pictus	
King Quail	Synoicus chinensis	
Common Quail	Coturnix coturnix	Rare/Accidental
Rain Quail	Coturnix coromandelica	
Jungle Bush Quail	Perdicula asiatica	
 
CAPRIMULGIFORMES: Caprimulgidae

Great Eared Nightjar	Lyncornis macrotis	Rare/Accidental
Jungle Nightjar	Caprimulgus indicus	
Jerdon's Nightjar	Caprimulgus atripennis	
Indian Nightjar	Caprimulgus asiaticus	
 
PODARGIFORMES: Podargidae

Sri Lanka Frogmouth	Batrachostomus moniliger	
 
APODIFORMES: Hemiprocnidae

Crested Treeswift	Hemiprocne coronata	
 
APODIFORMES: Apodidae

Indian Swiftlet	Aerodramus unicolor	
Himalayan Swiftlet	Aerodramus brevirostris	Rare/Accidental
White-throated Needletail	Hirundapus caudacutus	Rare/Accidental
Brown-backed Needletail	Hirundapus giganteus	
Asian Palm Swift	Cypsiurus balasiensis	
Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	Rare/Accidental
Pallid Swift	Apus pallidus	Rare/Accidental
Blyth's Swift	Apus leuconyx	Rare/Accidental
Dark-rumped Swift	Apus acuticauda	Rare/Accidental Near-threatened
Little Swift	Apus affinis	
 
CUCULIFORMES: Cuculidae

Green-billed Coucal	Centropus chlororhynchos	Endemic Vulnerable
Greater Coucal	Centropus sinensis	Rare/Accidental
Lesser Coucal	Centropus bengalensis	Rare/Accidental
Sirkeer Malkoha	Taccocua leschenaultii	
Red-faced Malkoha	Phaenicophaeus pyrrhocephalus	Endemic Vulnerable
Blue-faced Malkoha	Phaenicophaeus viridirostris	
Chestnut-winged Cuckoo	Clamator coromandus	
Jacobin Cuckoo	Clamator jacobinus	
Asian Koel	Eudynamys scolopaceus	
Asian Emerald Cuckoo	Chrysococcyx maculatus	Rare/Accidental
Banded Bay Cuckoo	Cacomantis sonneratii	
Grey-bellied Cuckoo	Cacomantis passerinus	
Fork-tailed Drongo-Cuckoo	Surniculus dicruroides	
Common Hawk-Cuckoo	Hierococcyx varius	
Lesser Cuckoo	Cuculus poliocephalus	
