
 
ANSERIFORMES: Anatidae

Cotton Pygmy Goose	Nettapus coromandelianus	Rare/Accidental
Australian Shelduck	Tadorna tadornoides	
Garganey	Spatula querquedula	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Introduced species
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
 
COLUMBIFORMES: Columbidae

Malagasy Turtle Dove	Nesoenas picturatus	Introduced species
Rock Dove	Columba livia	Introduced species
Zebra Dove	Geopelia striata	Introduced species
 
GRUIFORMES: Rallidae

Common Moorhen	Gallinula chloropus	Rare/Accidental
Watercock	Gallicrex cinerea	Rare/Accidental
White-breasted Waterhen	Amaurornis phoenicurus	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Thinornis dubius	
Oriental Plover	Anarhynchus veredus	
Tibetan Sand Plover	Anarhynchus atrifrons	
Greater Sand Plover	Anarhynchus leschenaultii	
Kentish Plover	Anarhynchus alexandrinus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	Rare/Accidental Endangered
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Pin-tailed Snipe	Gallinago stenura	
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Red-necked Phalarope	Phalaropus lobatus	
Green Sandpiper	Tringa ochropus	
Grey-tailed Tattler	Tringa brevipes	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Rare/Accidental Near-threatened
Ruff	Calidris pugnax	
Sharp-tailed Sandpiper	Calidris acuminata	Vulnerable
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Red-necked Stint	Calidris ruficollis	Near-threatened
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Near-threatened
Pectoral Sandpiper	Calidris melanotos	
Little Stint	Calidris minuta	
 
CHARADRIIFORMES: Dromadidae

Crab-plover	Dromas ardeola	
 
CHARADRIIFORMES: Glareolidae

Oriental Pratincole	Glareola maldivarum	
Collared Pratincole	Glareola pratincola	
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	
Pomarine Jaeger	Stercorarius pomarinus	
South Polar Skua	Stercorarius maccormicki	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Blue-billed White Tern	Gygis candida	
Brown Noddy	Anous stolidus	
Lesser Noddy	Anous tenuirostris	
Sooty Tern	Onychoprion fuscatus	
Bridled Tern	Onychoprion anaethetus	
Little Tern	Sternula albifrons	
Saunders's Tern	Sternula saundersi	
Gull-billed Tern	Gelochelidon nilotica	
Whiskered Tern	Chlidonias hybrida	Rare/Accidental
White-winged Tern	Chlidonias leucopterus	
Black Tern	Chlidonias niger	
Greater Crested Tern	Thalasseus bergii	
Lesser Crested Tern	Thalasseus bengalensis	
Arctic Tern	Sterna paradisaea	
Common Tern	Sterna hirundo	
White-cheeked Tern	Sterna repressa	
Black-naped Tern	Sterna sumatrana	
Roseate Tern	Sterna dougallii	
Kelp Gull	Larus dominicanus	
Lesser Black-backed Gull	Larus fuscus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	
Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	
White-faced Storm Petrel	Pelagodroma marina	
Black-bellied Storm Petrel	Fregetta tropica	
 
PROCELLARIIFORMES: Hydrobatidae

Swinhoe's Storm Petrel	Hydrobates monorhis	Near-threatened
Matsudaira's Storm Petrel	Hydrobates matsudairae	Vulnerable
 
PROCELLARIIFORMES: Procellariidae

Southern Giant Petrel	Macronectes giganteus	Rare/Accidental
Bulwer's Petrel	Bulweria bulwerii	
Jouanin's Petrel	Bulweria fallax	Near-threatened
Tahiti Petrel	Pseudobulweria rostrata	Near-threatened
Wedge-tailed Shearwater	Ardenna pacifica	
Flesh-footed Shearwater	Ardenna carneipes	Near-threatened
Persian Shearwater	Puffinus persicus	Rare/Accidental
Tropical Shearwater	Puffinus bailloni	
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	
Great Frigatebird	Fregata minor	
 
SULIFORMES: Sulidae

Abbott's Booby	Papasula abbotti	Rare/Accidental Endangered
Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	
 
PELECANIFORMES: Threskiornithidae

Glossy Ibis	Plegadis falcinellus	
 
PELECANIFORMES: Ardeidae

Cinnamon Bittern	Botaurus cinnamomeus	
Yellow Bittern	Botaurus sinensis	
Little Egret	Egretta garzetta	
Black-crowned Night Heron	Nycticorax nycticorax	
Little Heron	Butorides atricapilla	
Indian Pond Heron	Ardeola grayii	
Great Egret	Ardea alba	
Yellow-billed Egret	Ardea brachyrhyncha	
Medium Egret	Ardea intermedia	Rare/Accidental
Western Cattle Egret	Ardea ibis	Rare/Accidental
Eastern Cattle Egret	Ardea coromanda	Rare/Accidental
Purple Heron	Ardea purpurea	
Grey Heron	Ardea cinerea	
 
APODIFORMES: Apodidae

White-throated Needletail	Hirundapus caudacutus	
Fork-tailed Swift	Apus pacificus	Rare/Accidental
Common Swift	Apus apus	
 
ACCIPITRIFORMES: Pandionidae

Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

European Honey Buzzard	Pernis apivorus	
Pied Harrier	Circus melanoleucos	Rare/Accidental
White-bellied Sea Eagle	Icthyophaga leucogaster	Rare/Accidental
 
BUCEROTIFORMES: Upupidae

Common Hoopoe	Upupa epops	
 
CORACIIFORMES: Coraciidae

European Roller	Coracias garrulus	
 
CORACIIFORMES: Meropidae

Blue-cheeked Bee-eater	Merops persicus	
 
FALCONIFORMES: Falconidae

Lesser Kestrel	Falco naumanni	
Amur Falcon	Falco amurensis	
Peregrine Falcon	Falco peregrinus	
Lanner Falcon	Falco biarmicus	Rare/Accidental
 
PASSERIFORMES: Corvidae

House Crow	Corvus splendens	Introduced species
 
PASSERIFORMES: Hirundinidae

Sand Martin	Riparia riparia	
Barn Swallow	Hirundo rustica	
Western House Martin	Delichon urbicum	
 
PASSERIFORMES: Pycnonotidae

Mauritius Bulbul	Hypsipetes olivaceus	Extirpated Vulnerable
 
PASSERIFORMES: Sturnidae

Rosy Starling	Pastor roseus	
Common Myna	Acridotheres tristis	Introduced species
 
PASSERIFORMES: Ploceidae

Red Fody	Foudia madagascariensis	Introduced species
 
PASSERIFORMES: Passeridae

House Sparrow	Passer domesticus	Introduced species
 
PASSERIFORMES: Motacillidae

Grey Wagtail	Motacilla cinerea	
Western Yellow Wagtail	Motacilla flava	
