
 
ANSERIFORMES: Anatidae

White-headed Duck	Oxyura leucocephala	Rare/Accidental Endangered
Ruddy Duck	Oxyura jamaicensis	Rare/Accidental
Mute Swan	Cygnus olor	Rare/Accidental
Tundra Swan	Cygnus columbianus	Rare/Accidental
Whooper Swan	Cygnus cygnus	Rare/Accidental
Brant Goose	Branta bernicla	Rare/Accidental
Red-breasted Goose	Branta ruficollis	Rare/Accidental Vulnerable
Greylag Goose	Anser anser	
Lesser White-fronted Goose	Anser erythropus	Rare/Accidental Vulnerable
Greater White-fronted Goose	Anser albifrons	
Egyptian Goose	Alopochen aegyptiaca	Rare/Accidental
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Common Scoter	Melanitta nigra	Rare/Accidental
Common Goldeneye	Bucephala clangula	Rare/Accidental
Smew	Mergellus albellus	Rare/Accidental
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Common Merganser	Mergus merganser	Rare/Accidental
Marbled Duck	Marmaronetta angustirostris	Rare/Accidental Near-threatened
Red-crested Pochard	Netta rufina	
Ferruginous Duck	Aythya nyroca	Near-threatened
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	Rare/Accidental
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Introduced species
Black Francolin	Francolinus francolinus	Introduced species
Common Quail	Coturnix coturnix	
Chukar Partridge	Alectoris chukar	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Lesser Flamingo	Phoeniconaias minor	Rare/Accidental Near-threatened
Greater Flamingo	Phoenicopterus roseus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Horned Grebe	Podiceps auritus	Rare/Accidental Vulnerable
Red-necked Grebe	Podiceps grisegena	Rare/Accidental
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Rare/Accidental Endangered
Asian Houbara	Chlamydotis macqueenii	Rare/Accidental Vulnerable
Little Bustard	Tetrax tetrax	Rare/Accidental Near-threatened
 
CUCULIFORMES: Cuculidae

Great Spotted Cuckoo	Clamator glandarius	
Diederik Cuckoo	Chrysococcyx caprius	Rare/Accidental
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pin-tailed Sandgrouse	Pterocles alchata	Rare/Accidental
Black-bellied Sandgrouse	Pterocles orientalis	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Laughing Dove	Spilopelia senegalensis	
Oriental Turtle Dove	Streptopelia orientalis	Rare/Accidental
European Turtle Dove	Streptopelia turtur	Vulnerable
Eurasian Collared Dove	Streptopelia decaocto	
Common Wood Pigeon	Columba palumbus	
Rock Dove	Columba livia	
Stock Dove	Columba oenas	Rare/Accidental
Namaqua Dove	Oena capensis	Rare/Accidental
 
GRUIFORMES: Gruidae

Demoiselle Crane	Grus virgo	
Common Crane	Grus grus	
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	Rare/Accidental
Spotted Crake	Porzana porzana	
