
 
ANSERIFORMES: Anatidae

Lesser Whistling Duck	Dendrocygna javanica	Rare/Accidental
White-headed Duck	Oxyura leucocephala	Endangered
Ruddy Duck	Oxyura jamaicensis	Introduced species
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	Rare/Accidental
Red-breasted Goose	Branta ruficollis	Rare/Accidental Vulnerable
Greylag Goose	Anser anser	
Lesser White-fronted Goose	Anser erythropus	Rare/Accidental Vulnerable
Greater White-fronted Goose	Anser albifrons	
Egyptian Goose	Alopochen aegyptiaca	Introduced species
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Long-tailed Duck	Clangula hyemalis	Rare/Accidental Vulnerable
Common Goldeneye	Bucephala clangula	Rare/Accidental
Smew	Mergellus albellus	Rare/Accidental
Red-breasted Merganser	Mergus serrator	
Common Merganser	Mergus merganser	Rare/Accidental
Marbled Duck	Marmaronetta angustirostris	Near-threatened
Red-crested Pochard	Netta rufina	
Ferruginous Duck	Aythya nyroca	Near-threatened
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Cape Teal	Anas capensis	Rare/Accidental
Red-billed Teal	Anas erythrorhyncha	Rare/Accidental
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
 
GALLIFORMES: Phasianidae

Black Francolin	Francolinus francolinus	
Sand Partridge	Ammoperdix heyi	
Common Quail	Coturnix coturnix	
Chukar Partridge	Alectoris chukar	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Horned Grebe	Podiceps auritus	Rare/Accidental Vulnerable
Red-necked Grebe	Podiceps grisegena	Rare/Accidental
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Rare/Accidental Endangered
Asian Houbara	Chlamydotis macqueenii	Vulnerable
Little Bustard	Tetrax tetrax	Near-threatened
 
CUCULIFORMES: Cuculidae

Great Spotted Cuckoo	Clamator glandarius	
Diederik Cuckoo	Chrysococcyx caprius	Rare/Accidental
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pin-tailed Sandgrouse	Pterocles alchata	
Chestnut-bellied Sandgrouse	Pterocles exustus	
Spotted Sandgrouse	Pterocles senegallus	
Black-bellied Sandgrouse	Pterocles orientalis	
Crowned Sandgrouse	Pterocles coronatus	
Lichtenstein's Sandgrouse	Pterocles lichtensteinii	
 
COLUMBIFORMES: Columbidae

Spotted Dove	Spilopelia chinensis	Introduced species
Laughing Dove	Spilopelia senegalensis	
Oriental Turtle Dove	Streptopelia orientalis	Rare/Accidental
European Turtle Dove	Streptopelia turtur	Vulnerable
Eurasian Collared Dove	Streptopelia decaocto	
African Collared Dove	Streptopelia roseogrisea	
Common Wood Pigeon	Columba palumbus	
Rock Dove	Columba livia	
Stock Dove	Columba oenas	
Namaqua Dove	Oena capensis	
 
GRUIFORMES: Gruidae

Demoiselle Crane	Grus virgo	
Common Crane	Grus grus	
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Allen's Gallinule	Porphyrio alleni	Rare/Accidental
Purple Swamphen	Porphyrio porphyrio	
Little Crake	Zapornia parva	
Baillon's Crake	Zapornia pusilla	
 
CHARADRIIFORMES: Burhinidae

Eurasian Stone-curlew	Burhinus oedicnemus	
 
CHARADRIIFORMES: Recurvirostridae

Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
