
 
STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	Extirpated
 
ANSERIFORMES: Anatidae

Cotton Pygmy Goose	Nettapus coromandelianus	Rare/Accidental
Mute Swan	Cygnus olor	Rare/Accidental
Greylag Goose	Anser anser	
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Egyptian Goose	Alopochen aegyptiaca	Rare/Accidental
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Marbled Duck	Marmaronetta angustirostris	Rare/Accidental Near-threatened
Red-crested Pochard	Netta rufina	Rare/Accidental
Ferruginous Duck	Aythya nyroca	Rare/Accidental Near-threatened
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Baikal Teal	Sibirionetta formosa	Uncertain origin
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
 
GALLIFORMES: Phasianidae

Grey Francolin	Ortygornis pondicerianus	Introduced species
Black Francolin	Francolinus francolinus	Rare/Accidental
Common Quail	Coturnix coturnix	
Chukar Partridge	Alectoris chukar	
Philby's Partridge	Alectoris philbyi	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
 
CUCULIFORMES: Cuculidae

Great Spotted Cuckoo	Clamator glandarius	Rare/Accidental
Asian Koel	Eudynamys scolopaceus	Rare/Accidental
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pin-tailed Sandgrouse	Pterocles alchata	
Black-bellied Sandgrouse	Pterocles orientalis	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Laughing Dove	Spilopelia senegalensis	
European Turtle Dove	Streptopelia turtur	Vulnerable
Eurasian Collared Dove	Streptopelia decaocto	
African Collared Dove	Streptopelia roseogrisea	Rare/Accidental
Rock Dove	Columba livia	Introduced species
Stock Dove	Columba oenas	Rare/Accidental
Namaqua Dove	Oena capensis	
 
GRUIFORMES: Gruidae

Common Crane	Grus grus	Rare/Accidental
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	Rare/Accidental
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Little Crake	Zapornia parva	
Baillon's Crake	Zapornia pusilla	
 
CHARADRIIFORMES: Burhinidae

Eurasian Stone-curlew	Burhinus oedicnemus	
 
CHARADRIIFORMES: Recurvirostridae

Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
European Golden Plover	Pluvialis apricaria	Rare/Accidental
Pacific Golden Plover	Pluvialis fulva	
Eurasian Dotterel	Eudromias morinellus	Rare/Accidental
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Thinornis dubius	
Northern Lapwing	Vanellus vanellus	Near-threatened
Spur-winged Lapwing	Vanellus spinosus	Rare/Accidental
Red-wattled Lapwing	Vanellus indicus	Rare/Accidental
Sociable Lapwing	Vanellus gregarius	Rare/Accidental Critically endangered
White-tailed Lapwing	Vanellus leucurus	
Caspian Plover	Anarhynchus asiaticus	
Tibetan Sand Plover	Anarhynchus atrifrons	
Greater Sand Plover	Anarhynchus leschenaultii	
Kittlitz's Plover	Anarhynchus pecuarius	Rare/Accidental
Kentish Plover	Anarhynchus alexandrinus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Jack Snipe	Lymnocryptes minimus	
Eurasian Woodcock	Scolopax rusticola	Rare/Accidental
Great Snipe	Gallinago media	Rare/Accidental Near-threatened
Pin-tailed Snipe	Gallinago stenura	
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Red-necked Phalarope	Phalaropus lobatus	
Green Sandpiper	Tringa ochropus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
