GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
 
GALLIFORMES: Phasianidae

Common Quail	Coturnix coturnix	
 
ANSERIFORMES: Anatidae

Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Cotton Pygmy Goose	Nettapus coromandelianus	Rare/Accidental
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Common Pochard	Aythya ferina	Rare/Accidental Vulnerable
Ferruginous Duck	Aythya nyroca	Near-threatened
Tufted Duck	Aythya fuligula	Rare/Accidental
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
Nubian Nightjar	Caprimulgus nubicus	
 
APODIFORMES: Apodidae

Himalayan Swiftlet	Aerodramus brevirostris	Rare/Accidental
Alpine Swift	Tachymarptis melba	Rare/Accidental
Forbes-Watson's Swift	Apus berliozi	
Little Swift	Apus affinis	
 
OTIDIFORMES: Otididae

Macqueen's Bustard	Chlamydotis macqueenii	Rare/Accidental Vulnerable
 
CUCULIFORMES: Cuculidae

White-browed Coucal	Centropus superciliosus	
Jacobin Cuckoo	Clamator jacobinus	Rare/Accidental
Asian Koel	Eudynamys scolopaceus	Rare/Accidental
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Lichtenstein's Sandgrouse	Pterocles lichtensteinii	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Laughing Dove	Spilopelia senegalensis	
Namaqua Dove	Oena capensis	Rare/Accidental
Bruce's Green Pigeon	Treron waalia	
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	Rare/Accidental
Corn Crake	Crex crex	Rare/Accidental
Spotted Crake	Porzana porzana	Rare/Accidental
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	Rare/Accidental
Baillon's Crake	Zapornia pusilla	Rare/Accidental
Little Crake	Zapornia parva	Rare/Accidental
 
GRUIFORMES: Gruidae

Common Crane	Grus grus	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	Rare/Accidental
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	Rare/Accidental Near-threatened
Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Charadrius dubius	
Kentish Plover	Charadrius alexandrinus	
Lesser Sand Plover	Charadrius mongolus	
Greater Sand Plover	Charadrius leschenaultii	
Caspian Plover	Charadrius asiaticus	Rare/Accidental
 
CHARADRIIFORMES: Jacanidae

Pheasant-tailed Jacana	Hydrophasianus chirurgus	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Rare/Accidental Near-threatened
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Rare/Accidental Near-threatened
Ruff	Calidris pugnax	Rare/Accidental
Broad-billed Sandpiper	Calidris falcinellus	Rare/Accidental
Curlew Sandpiper	Calidris ferruginea	Near-threatened
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	Rare/Accidental
Sanderling	Calidris alba	
Dunlin	Calidris alpina	
Little Stint	Calidris minuta	
Jack Snipe	Lymnocryptes minimus	Rare/Accidental
Pin-tailed Snipe	Gallinago stenura	
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	Rare/Accidental
Red-necked Phalarope	Phalaropus lobatus	
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Common Redshank	Tringa totanus	
Marsh Sandpiper	Tringa stagnatilis	Rare/Accidental
Wood Sandpiper	Tringa glareola	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Dromadidae

Crab-plover	Dromas ardeola	Rare/Accidental
 
CHARADRIIFORMES: Glareolidae

Cream-colored Courser	Cursorius cursor	
Collared Pratincole	Glareola pratincola	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Lesser Noddy	Anous tenuirostris	Rare/Accidental
Slender-billed Gull	Chroicocephalus genei	Rare/Accidental
Black-headed Gull	Chroicocephalus ridibundus	
Pallas's Gull	Ichthyaetus ichthyaetus	Rare/Accidental
White-eyed Gull	Ichthyaetus leucophthalmus	
Sooty Gull	Ichthyaetus hemprichii	
Caspian Gull	Larus cachinnans	Rare/Accidental
Armenian Gull	Larus armenicus	Near-threatened
Lesser Black-backed Gull	Larus fuscus	
Gull-billed Tern	Gelochelidon nilotica	Rare/Accidental
Caspian Tern	Hydroprogne caspia	
Greater Crested Tern	Thalasseus bergii	
Lesser Crested Tern	Thalasseus bengalensis	
Sandwich Tern	Thalasseus sandvicensis	
Saunders's Tern	Sternula saundersi	
Bridled Tern	Onychoprion anaethetus	
Sooty Tern	Onychoprion fuscatus	
Roseate Tern	Sterna dougallii	Rare/Accidental
Common Tern	Sterna hirundo	
White-cheeked Tern	Sterna repressa	
Whiskered Tern	Chlidonias hybrida	Rare/Accidental
White-winged Tern	Chlidonias leucopterus	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	
White-bellied Storm Petrel	Fregetta grallaria	
Black-bellied Storm Petrel	Fregetta tropica	
 
PROCELLARIIFORMES: Procellariidae

Wedge-tailed Shearwater	Ardenna pacifica	
Flesh-footed Shearwater	Ardenna carneipes	Near-threatened
Persian Shearwater	Puffinus persicus	
Tropical Shearwater	Puffinus bailloni	
Jouanin's Petrel	Bulweria fallax	Breeding endemic Near-threatened
 
CICONIIFORMES: Ciconiidae

White Stork	Ciconia ciconia	Rare/Accidental
 
SULIFORMES: Fregatidae

Great Frigatebird	Fregata minor	Rare/Accidental
 
SULIFORMES: Sulidae

Masked Booby	Sula dactylatra	
Brown Booby	Sula leucogaster	
 
SULIFORMES: Anhingidae

African Darter	Anhinga rufa	Rare/Accidental
 
SULIFORMES: Phalacrocoracidae

Reed Cormorant	Microcarbo africanus	Rare/Accidental
Socotra Cormorant	Phalacrocorax nigrogularis	Vulnerable
 
PELECANIFORMES: Threskiornithidae

African Sacred Ibis	Threskiornis aethiopicus	Rare/Accidental
Glossy Ibis	Plegadis falcinellus	
African Spoonbill	Platalea alba	Rare/Accidental
 
PELECANIFORMES: Ardeidae

Little Bittern	Ixobrychus minutus	Rare/Accidental
Yellow Bittern	Ixobrychus sinensis	Rare/Accidental
Black-crowned Night Heron	Nycticorax nycticorax	Rare/Accidental
Striated Heron	Butorides striata	
Squacco Heron	Ardeola ralloides	
Indian Pond Heron	Ardeola grayii	Rare/Accidental
Malagasy Pond Heron	Ardeola idae	Rare/Accidental Endangered
Western Cattle Egret	Bubulcus ibis	
Grey Heron	Ardea cinerea	
Black-headed Heron	Ardea melanocephala	Rare/Accidental
Purple Heron	Ardea purpurea	
Great Egret	Ardea alba	
Intermediate Egret	Ardea intermedia	Rare/Accidental
Little Egret	Egretta garzetta	
Western Reef Heron	Egretta gularis	
 
PELECANIFORMES: Pelecanidae

Great White Pelican	Pelecanus onocrotalus	Rare/Accidental
 
ACCIPITRIFORMES: Pandionidae

Western Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

Egyptian Vulture	Neophron percnopterus	Endangered
Crested Honey Buzzard	Pernis ptilorhynchus	Rare/Accidental
Western Marsh Harrier	Circus aeruginosus	Rare/Accidental
Pallid Harrier	Circus macrourus	Rare/Accidental Near-threatened
Black Kite	Milvus migrans	Rare/Accidental
Yellow-billed Kite	Milvus aegyptius	Rare/Accidental
Socotra Buzzard	Buteo socotraensis	Endemic Vulnerable
Common Buzzard	Buteo buteo	
 
STRIGIFORMES: Strigidae

Socotra Scops Owl	Otus socotranus	Endemic
Short-eared Owl	Asio flammeus	Rare/Accidental
 
BUCEROTIFORMES: Upupidae

Eurasian Hoopoe	Upupa epops	
 
CORACIIFORMES: Coraciidae

Indian Roller	Coracias benghalensis	Rare/Accidental
Abyssinian Roller	Coracias abyssinicus	Rare/Accidental
European Roller	Coracias garrulus	
 
CORACIIFORMES: Alcedinidae

Common Kingfisher	Alcedo atthis	Rare/Accidental
 
CORACIIFORMES: Meropidae

Blue-cheeked Bee-eater	Merops persicus	
 
FALCONIFORMES: Falconidae

Common Kestrel	Falco tinnunculus	
Amur Falcon	Falco amurensis	Rare/Accidental
Sooty Falcon	Falco concolor	Vulnerable
Eurasian Hobby	Falco subbuteo	Rare/Accidental
Saker Falcon	Falco cherrug	Rare/Accidental Endangered
Peregrine Falcon	Falco peregrinus	
 
PASSERIFORMES: Laniidae

Red-backed Shrike	Lanius collurio	Rare/Accidental
Isabelline Shrike	Lanius isabellinus	
Red-tailed Shrike	Lanius phoenicuroides	
Great Grey Shrike	Lanius excubitor	
 
PASSERIFORMES: Oriolidae

Eurasian Golden Oriole	Oriolus oriolus	Rare/Accidental
 
PASSERIFORMES: Corvidae

House Crow	Corvus splendens	Introduced species
Pied Crow	Corvus albus	Rare/Accidental
Brown-necked Raven	Corvus ruficollis	
 
PASSERIFORMES: Alaudidae

Black-crowned Sparrow-Lark	Eremopterix nigriceps	
Greater Short-toed Lark	Calandrella brachydactyla	
 
PASSERIFORMES: Hirundinidae

Sand Martin	Riparia riparia	
Barn Swallow	Hirundo rustica	
Pale Crag Martin	Ptyonoprogne obsoleta	
Common House Martin	Delichon urbicum	
 
PASSERIFORMES: Phylloscopidae

Wood Warbler	Phylloscopus sibilatrix	Rare/Accidental
Willow Warbler	Phylloscopus trochilus	Rare/Accidental
Common Chiffchaff	Phylloscopus collybita	Rare/Accidental
 
PASSERIFORMES: Acrocephalidae

Sedge Warbler	Acrocephalus schoenobaenus	Rare/Accidental
Eurasian Reed Warbler	Acrocephalus scirpaceus	
 
PASSERIFORMES: Cisticolidae

Socotra Cisticola	Cisticola haesitatus	Endemic Near-threatened
Socotra Warbler	Incana incana	Endemic
 
PASSERIFORMES: Sylviidae

Desert Whitethroat	Curruca minula	Rare/Accidental
Lesser Whitethroat	Curruca curruca	
Menetries's Warbler	Curruca mystacea	
Common Whitethroat	Curruca communis	Rare/Accidental
 
PASSERIFORMES: Zosteropidae

Abyssinian White-eye	Zosterops abyssinicus	
Socotra White-eye	Zosterops socotranus	
 
PASSERIFORMES: Sturnidae

Common Starling	Sturnus vulgaris	Rare/Accidental
Somali Starling	Onychognathus blythii	
Socotra Starling	Onychognathus frater	Endemic
 
PASSERIFORMES: Muscicapidae

Spotted Flycatcher	Muscicapa striata	
Bluethroat	Luscinia svecica	
Common Nightingale	Luscinia megarhynchos	Rare/Accidental
Black Redstart	Phoenicurus ochruros	
Common Rock Thrush	Monticola saxatilis	Rare/Accidental
Blue Rock Thrush	Monticola solitarius	
Siberian Stonechat	Saxicola maurus	Rare/Accidental
Northern Wheatear	Oenanthe oenanthe	Rare/Accidental
Isabelline Wheatear	Oenanthe isabellina	
Desert Wheatear	Oenanthe deserti	
Pied Wheatear	Oenanthe pleschanka	
Arabian Wheatear	Oenanthe lugentoides	
 
PASSERIFORMES: Nectariniidae

Socotra Sunbird	Chalcomitra balfouri	Endemic
 
PASSERIFORMES: Passeridae

Socotra Sparrow	Passer insularis	Endemic
Abd al-Kuri Sparrow	Passer hemileucus	Endemic Vulnerable
 
PASSERIFORMES: Motacillidae

Western Yellow Wagtail	Motacilla flava	
Citrine Wagtail	Motacilla citreola	Rare/Accidental
Grey Wagtail	Motacilla cinerea	
White Wagtail	Motacilla alba	
Tawny Pipit	Anthus campestris	
Long-billed Pipit	Anthus similis	
Tree Pipit	Anthus trivialis	
Red-throated Pipit	Anthus cervinus	
 
PASSERIFORMES: Fringillidae

Socotra Golden-winged Grosbeak	Rhynchostruthus socotranus	Endemic
 
PASSERIFORMES: Emberizidae

Ortolan Bunting	Emberiza hortulana	Rare/Accidental
Cinnamon-breasted Bunting	Emberiza tahapisi	
Socotra Bunting	Emberiza socotrana	Endemic Near-threatened
