
 
STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	Extirpated
 
ANSERIFORMES: Anatidae

Greylag Goose	Anser anser	
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Lesser White-fronted Goose	Anser erythropus	Rare/Accidental Vulnerable
Mute Swan	Cygnus olor	Rare/Accidental
Tundra Swan	Cygnus columbianus	Rare/Accidental
Whooper Swan	Cygnus cygnus	Rare/Accidental
Egyptian Goose	Alopochen aegyptiaca	Introduced species
Common Shelduck	Tadorna tadorna	Rare/Accidental
Ruddy Shelduck	Tadorna ferruginea	
Cotton Pygmy Goose	Nettapus coromandelianus	Rare/Accidental
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	Rare/Accidental Near-threatened
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Marbled Duck	Marmaronetta angustirostris	Rare/Accidental Vulnerable
Red-crested Pochard	Netta rufina	
Common Pochard	Aythya ferina	Vulnerable
Ferruginous Duck	Aythya nyroca	Near-threatened
Tufted Duck	Aythya fuligula	
Long-tailed Duck	Clangula hyemalis	Rare/Accidental Vulnerable
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Ruddy Duck	Oxyura jamaicensis	Introduced species
White-headed Duck	Oxyura leucocephala	Rare/Accidental Endangered
 
GALLIFORMES: Phasianidae

Black Francolin	Francolinus francolinus	
See-see Partridge	Ammoperdix griseogularis	Introduced species
Sand Partridge	Ammoperdix heyi	
Common Quail	Coturnix coturnix	
Chukar Partridge	Alectoris chukar	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
Egyptian Nightjar	Caprimulgus aegyptius	
Nubian Nightjar	Caprimulgus nubicus	Rare/Accidental
 
APODIFORMES: Apodidae

Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	
Little Swift	Apus affinis	
 
OTIDIFORMES: Otididae

Macqueen's Bustard	Chlamydotis macqueenii	Vulnerable
 
CUCULIFORMES: Cuculidae

Great Spotted Cuckoo	Clamator glandarius	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pin-tailed Sandgrouse	Pterocles alchata	
Chestnut-bellied Sandgrouse	Pterocles exustus	Rare/Accidental
Spotted Sandgrouse	Pterocles senegallus	
Black-bellied Sandgrouse	Pterocles orientalis	
Crowned Sandgrouse	Pterocles coronatus	Rare/Accidental
Lichtenstein's Sandgrouse	Pterocles lichtensteinii	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Stock Dove	Columba oenas	
Common Wood Pigeon	Columba palumbus	
European Turtle Dove	Streptopelia turtur	Vulnerable
Eurasian Collared Dove	Streptopelia decaocto	
African Collared Dove	Streptopelia roseogrisea	Rare/Accidental
Laughing Dove	Spilopelia senegalensis	
Namaqua Dove	Oena capensis	
Bruce's Green Pigeon	Treron waalia	Introduced species
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	Rare/Accidental
African Swamphen	Porphyrio madagascariensis	Rare/Accidental
Grey-headed Swamphen	Porphyrio poliocephalus	Rare/Accidental
Baillon's Crake	Zapornia pusilla	
Little Crake	Zapornia parva	
 
GRUIFORMES: Gruidae

Siberian Crane	Leucogeranus leucogeranus	Rare/Accidental Critically endangered
Demoiselle Crane	Grus virgo	Rare/Accidental
Common Crane	Grus grus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
 
CHARADRIIFORMES: Burhinidae

Eurasian Stone-curlew	Burhinus oedicnemus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	Near-threatened
Spur-winged Lapwing	Vanellus spinosus	
Black-headed Lapwing	Vanellus tectus	Rare/Accidental
Red-wattled Lapwing	Vanellus indicus	Rare/Accidental
Sociable Lapwing	Vanellus gregarius	Critically endangered
White-tailed Lapwing	Vanellus leucurus	Rare/Accidental
